datetime,open,high,low,close,volume
2024-08-01 13:30:00,7.66,7.66,7.66,7.66,805
2024-08-01 13:40:00,7.68,7.68,7.68,7.68,447
2024-08-01 13:50:00,7.61,7.61,7.5997,7.5997,2057
2024-08-01 14:00:00,7.59,7.59,7.55,7.55,1073
2024-08-01 14:10:00,7.56,7.598,7.56,7.56,1974
2024-08-01 14:20:00,7.56,7.56,7.54,7.55,1930
2024-08-01 14:30:00,7.53,7.53,7.51,7.51,4440
2024-08-01 14:40:00,7.52,7.52,7.4701,7.51,6304
2024-08-01 14:50:00,7.5,7.5,7.47,7.5,1767
2024-08-01 15:00:00,7.5,7.51,7.48,7.48,23489
2024-08-01 15:10:00,7.49,7.4944,7.48,7.48,4620
2024-08-01 15:20:00,7.5,7.5,7.48,7.5,460
2024-08-01 15:30:00,7.48,7.48,7.48,7.48,715
2024-08-01 15:40:00,7.48,7.48,7.44,7.45,2090
2024-08-01 15:50:00,7.46,7.47,7.4401,7.47,5340
2024-08-01 16:00:00,7.465,7.47,7.46,7.47,3637
2024-08-01 16:10:00,7.47,7.485,7.47,7.47,868
2024-08-01 16:20:00,7.45,7.46,7.45,7.45,3417
2024-08-01 16:30:00,7.465,7.465,7.43,7.44,6365
2024-08-01 16:40:00,7.45,7.46,7.44,7.46,2178
2024-08-01 16:50:00,7.45,7.45,7.44,7.45,1835
2024-08-01 17:00:00,7.44,7.44,7.43,7.44,3970
2024-08-01 17:10:00,7.43,7.44,7.35,7.35,5350
2024-08-01 17:20:00,7.3374,7.3374,7.3374,7.3374,363
2024-08-01 17:30:00,7.31,7.31,7.27,7.27,1371
2024-08-01 17:40:00,7.25,7.27,7.25,7.27,904
2024-08-01 17:50:00,7.28,7.28,7.27,7.27,870
2024-08-01 18:00:00,7.31,7.31,7.29,7.29,678
2024-08-01 18:10:00,7.29,7.29,7.27,7.29,1411
2024-08-01 18:20:00,7.28,7.3,7.2701,7.3,945
2024-08-01 18:30:00,7.285,7.285,7.26,7.28,2142
2024-08-01 18:40:00,7.29,7.315,7.28,7.315,4357
2024-08-01 18:50:00,7.3182,7.33,7.3,7.33,6057
2024-08-01 19:00:00,7.34,7.34,7.32,7.33,1168
2024-08-01 19:10:00,7.32,7.32,7.3107,7.32,1816
2024-08-01 19:20:00,7.33,7.38,7.33,7.37,2255
2024-08-01 19:30:00,7.39,7.4,7.37,7.4,9245
2024-08-01 19:40:00,7.41,7.42,7.36,7.37,11289
2024-08-01 19:50:00,7.37,7.41,7.37,7.39,21538
2024-08-01 20:00:00,7.4,7.4,7.4,7.4,366
2024-08-01 20:50:00,7.4,7.4,7.4,7.4,1487
2024-08-02 13:20:00,7.06,7.06,7.06,7.06,140
2024-08-02 13:30:00,7.13,7.13,7.1,7.12,8504
2024-08-02 13:40:00,7.14,7.19,7.14,7.185,5490
2024-08-02 13:50:00,7.185,7.23,7.18,7.23,10562
