datetime,open,high,low,close,volume
2024-08-01 10:00:00,4.6,4.62,4.6,4.61,1340.0
2024-08-01 12:00:00,4.61,4.79,4.07,4.52,1445905.0
2024-08-01 14:00:00,4.51,4.515,4.22,4.315,2711311.0
2024-08-01 16:00:00,4.315,4.42,4.24,4.295,1325492.0
2024-08-01 18:00:00,4.32,4.34,4.16,4.26,3153838.0
2024-08-01 20:00:00,4.26,4.26,4.26,4.26,38747.0
2024-08-02 10:00:00,4.18,4.18,4.18,4.18,100.0
2024-08-02 12:00:00,4.18,4.18,3.84,4.08,1178327.0
2024-08-02 14:00:00,4.08,4.29,4.045,4.25,2050395.0
2024-08-02 16:00:00,4.245,4.325,4.22,4.25,979674.0
2024-08-02 18:00:00,4.24,4.335,4.235,4.29,1993985.0
2024-08-02 20:00:00,4.28,4.3,4.28,4.3,451.0
2024-08-02 22:00:00,4.08,4.3281,4.08,4.3281,1011.0
2024-08-05 10:00:00,3.96,3.96,3.94,3.94,306.0
2024-08-05 12:00:00,3.93,4.27,3.85,4.175,902067.0
2024-08-05 14:00:00,4.18,4.295,4.13,4.221,1291792.0
2024-08-05 16:00:00,4.23,4.28,4.215,4.265,871377.0
2024-08-05 18:00:00,4.265,4.27,4.16,4.25,2033087.0
2024-08-05 20:00:00,4.21,4.28,4.21,4.28,1350.0
2024-08-05 22:00:00,4.27,4.38,4.27,4.38,687.0
2024-08-06 10:00:00,4.39,4.39,4.39,4.39,1000.0
2024-08-06 12:00:00,4.39,4.39,4.2,4.27,224152.0
2024-08-06 14:00:00,4.26,4.38,4.255,4.355,682376.0
2024-08-06 16:00:00,4.355,4.43,4.35,4.4,809346.0
2024-08-06 18:00:00,4.395,4.4,4.255,4.29,1687287.0
2024-08-06 20:00:00,4.41,4.41,4.41,4.41,160.0
2024-08-07 10:00:00,4.44,4.44,4.44,4.44,125.0
2024-08-07 12:00:00,4.4,4.4,4.25,4.305,336492.0
2024-08-07 14:00:00,4.305,4.4,4.26,4.385,1036910.0
2024-08-07 16:00:00,4.38,4.385,4.14,4.175,640577.0
2024-08-07 18:00:00,4.17,4.23,4.15,4.16,1504192.0
2024-08-07 20:00:00,4.32,4.32,4.107,4.2,1300.0
2024-08-08 12:00:00,4.26,4.275,4.18,4.235,219286.0
2024-08-08 14:00:00,4.235,4.29,4.18,4.215,730819.0
2024-08-08 16:00:00,4.21,4.34,4.21,4.3,566002.0
2024-08-08 18:00:00,4.3,4.37,4.29,4.335,722741.0
2024-08-08 20:00:00,4.34,4.34,4.34,4.34,4217.0
2024-08-09 12:00:00,4.38,4.408,4.3,4.315,443121.0
2024-08-09 14:00:00,4.31,4.35,4.245,4.255,688234.0
2024-08-09 16:00:00,4.255,4.3,4.225,4.26,919341.0
2024-08-09 18:00:00,4.26,4.285,4.24,4.25,1070700.0
2024-08-09 20:00:00,4.26,4.26,4.26,4.26,5828.0
2024-08-12 10:00:00,4.47,4.48,4.27,4.27,376.0
2024-08-12 12:00:00,4.28,4.32,4.18,4.19,301701.0
2024-08-12 14:00:00,4.19,4.21,4.13,4.195,1298342.0
