datetime,open,high,low,close,volume
2024-08-01 13:30:00,38.56,38.57,38.07,38.4,26062
2024-08-01 13:45:00,38.59,38.79,38.21,38.36,16274
2024-08-01 14:00:00,38.27,38.335,37.8,38.155,22460
2024-08-01 14:15:00,38.155,38.155,37.67,37.72,20640
2024-08-01 14:30:00,37.72,37.8,37.6,37.63,17522
2024-08-01 14:45:00,37.56,37.605,37.31,37.56,17466
2024-08-01 15:00:00,37.5,37.52,37.35,37.38,13121
2024-08-01 15:15:00,37.32,37.465,37.2,37.23,13339
2024-08-01 15:30:00,37.23,37.23,36.69,36.69,23380
2024-08-01 15:45:00,36.63,36.755,36.55,36.55,37879
2024-08-01 16:00:00,36.47,36.65,36.46,36.53,41049
2024-08-01 16:15:00,36.56,36.66,36.22,36.365,36670
2024-08-01 16:30:00,36.405,36.4383,36.01,36.1,41414
2024-08-01 16:45:00,36.1516,36.215,35.99,36.0,52250
2024-08-01 17:00:00,35.98,36.0595,35.76,35.79,39201
2024-08-01 17:15:00,35.76,35.84,35.6,35.73,22194
2024-08-01 17:30:00,35.76,35.76,35.31,35.315,28891
2024-08-01 17:45:00,35.31,35.63,35.28,35.63,26335
2024-08-01 18:00:00,35.65,35.72,35.54,35.54,20290
2024-08-01 18:15:00,35.5101,35.725,35.5,35.59,25966
2024-08-01 18:30:00,35.59,35.675,35.49,35.57,24271
2024-08-01 18:45:00,35.585,35.625,35.43,35.57,24581
2024-08-01 19:00:00,35.61,35.845,35.61,35.845,19475
2024-08-01 19:15:00,35.82,35.97,35.65,35.89,31431
2024-08-01 19:30:00,35.89,35.9,35.75,35.79,50589
2024-08-01 19:45:00,35.79,36.15,35.7525,36.06,141393
2024-08-01 20:00:00,36.02,36.02,36.02,36.02,30819
2024-08-01 20:30:00,36.7,36.7,36.7,36.7,103
2024-08-02 10:45:00,35.99,36.02,35.99,36.02,454
2024-08-02 13:30:00,34.99,35.05,33.82,34.245,50280
2024-08-02 13:45:00,34.105,34.19,33.63,33.9216,63663
2024-08-02 14:00:00,33.9,34.1593,33.75,33.815,27214
2024-08-02 14:15:00,33.82,34.01,33.6101,33.91,54627
2024-08-02 14:30:00,33.94,34.1,33.85,33.99,29123
2024-08-02 14:45:00,33.97,34.2754,33.97,34.12,31310
2024-08-02 15:00:00,34.125,34.29,33.9,34.15,22492
2024-08-02 15:15:00,34.135,34.33,34.12,34.33,14478
2024-08-02 15:30:00,34.32,34.67,34.26,34.58,29058
2024-08-02 15:45:00,34.6,35.31,34.54,35.13,101754
2024-08-02 16:00:00,35.15,35.4,34.81,34.915,55631
2024-08-02 16:15:00,34.915,35.065,34.915,34.99,14693
2024-08-02 16:30:00,34.88,35.08,34.7901,34.99,11700
2024-08-02 16:45:00,34.96,35.04,34.83,35.04,15494
2024-08-02 17:00:00,34.98,35.05,34.83,35.02,7233
2024-08-02 17:15:00,35.0,35.09,34.88,34.9,8180
2024-08-02 17:30:00,34.88,34.9,34.78,34.885,8934
2024-08-02 17:45:00,34.94,35.07,34.94,35.07,12056
2024-08-02 18:00:00,35.04,35.16,34.995,34.995,15453
2024-08-02 18:15:00,35.005,35.01,34.87,34.94,22927
2024-08-02 18:30:00,34.94,35.108,34.71,34.71,25439
2024-08-02 18:45:00,34.71,34.85,34.65,34.69,24214
2024-08-02 19:00:00,34.73,35.06,34.71,35.06,14027
2024-08-02 19:15:00,35.02,35.1,34.99,35.05,16124
2024-08-02 19:30:00,35.07,35.12,34.86,34.95,17020
2024-08-02 19:45:00,34.93,35.11,34.89,34.99,99207
2024-08-02 20:00:00,34.99,34.99,34.99,34.99,12647
2024-08-05 09:15:00,33.24,33.24,33.23,33.23,364
2024-08-05 09:45:00,33.01,33.01,33.01,33.01,200
2024-08-05 10:30:00,33.02,33.02,33.0,33.0,514
2024-08-05 12:00:00,31.9897,31.9897,31.9897,31.9897,412
2024-08-05 12:15:00,32.246,32.246,31.8,31.8,730
2024-08-05 12:30:00,31.96,31.96,31.81,31.81,867
2024-08-05 12:45:00,32.3,32.3,32.3,32.3,211
2024-08-05 13:00:00,31.55,31.55,31.55,31.55,123
