datetime,open,high,low,close,volume
2024-08-01 08:00:00,11.8,11.8,11.8,11.8,343
2024-08-01 08:15:00,11.76,11.76,11.76,11.76,384
2024-08-01 11:15:00,11.82,11.82,11.82,11.82,140
2024-08-01 11:30:00,11.82,11.82,11.82,11.82,961
2024-08-01 12:00:00,11.92,11.9516,11.82,11.8243,3818
2024-08-01 12:15:00,11.9189,11.9189,11.9,11.9,467
2024-08-01 12:30:00,11.9198,11.9263,11.9198,11.9263,1708
2024-08-01 12:45:00,11.87,11.87,11.82,11.87,1619
2024-08-01 13:00:00,11.82,11.9094,11.82,11.83,1262
2024-08-01 13:15:00,11.7,11.7,11.1013,11.35,9994
2024-08-01 13:30:00,11.23,11.74,10.86,10.95,173349
2024-08-01 13:45:00,10.8735,10.91,10.25,10.69,138163
2024-08-01 14:00:00,10.62,10.8,10.4,10.5701,60477
2024-08-01 14:15:00,10.5802,10.67,10.5,10.64,37444
2024-08-01 14:30:00,10.67,10.76,10.38,10.3801,57375
2024-08-01 14:45:00,10.4,10.73,10.375,10.49,36851
2024-08-01 15:00:00,10.462,10.5,10.06,10.23,105359
2024-08-01 15:15:00,10.24,10.5,10.03,10.1101,51977
2024-08-01 15:30:00,10.3,10.3824,10.2201,10.3301,17474
2024-08-01 15:45:00,10.3799,10.4399,10.2801,10.34,20392
2024-08-01 16:00:00,10.34,10.5,10.2906,10.4,16265
2024-08-01 16:15:00,10.4238,10.47,10.31,10.3601,9482
2024-08-01 16:30:00,10.36,10.39,10.2215,10.315,19593
2024-08-01 16:45:00,10.32,10.405,10.25,10.35,13322
2024-08-01 17:00:00,10.34,10.47,10.2,10.2,9623
2024-08-01 17:15:00,10.255,10.2999,10.085,10.085,30434
2024-08-01 17:30:00,10.07,10.15,9.81,9.855,57789
2024-08-01 17:45:00,9.82,10.01,9.81,9.95,25205
2024-08-01 18:00:00,9.9622,10.0,9.79,9.845,28606
2024-08-01 18:15:00,9.845,9.98,9.78,9.9,28956
2024-08-01 18:30:00,9.85,9.8787,9.6,9.7865,23385
2024-08-01 18:45:00,9.745,9.86,9.62,9.86,31672
2024-08-01 19:00:00,9.66,9.8499,9.66,9.795,15778
2024-08-01 19:15:00,9.8299,9.8299,9.68,9.79,21080
2024-08-01 19:30:00,9.8,9.9398,9.8,9.85,27163
2024-08-01 19:45:00,9.875,9.93,9.75,9.82,64010
2024-08-01 20:00:00,10.0518,10.0537,9.78,9.78,656
2024-08-01 20:15:00,9.91,9.91,9.78,9.86,1337
2024-08-01 20:30:00,9.8861,9.8861,9.76,9.76,383
2024-08-01 20:45:00,9.73,9.8,9.73,9.76,889
2024-08-01 21:00:00,9.8752,9.8752,9.8752,9.8752,103
2024-08-01 21:15:00,9.82,9.82,9.82,9.82,711
2024-08-01 21:30:00,9.73,9.76,9.72,9.76,1659
2024-08-01 21:45:00,9.9,9.9,9.78,9.78,391
2024-08-01 22:15:00,9.9,9.9,9.9,9.9,139
2024-08-01 23:00:00,9.75,9.85,9.59,9.85,3161
2024-08-01 23:15:00,9.7,9.7,9.7,9.7,280
2024-08-01 23:30:00,9.66,9.66,9.66,9.66,655
2024-08-02 08:00:00,9.77,9.8,9.77,9.8,1080
2024-08-02 08:15:00,9.72,9.72,9.72,9.72,965
2024-08-02 08:30:00,9.52,9.52,9.52,9.52,252
2024-08-02 09:00:00,9.6,9.6,9.6,9.6,500
2024-08-02 10:30:00,9.53,9.53,9.42,9.42,596
2024-08-02 11:30:00,9.5,9.5,9.31,9.49,1705
2024-08-02 12:00:00,9.58,9.6554,9.3911,9.41,4267
2024-08-02 12:15:00,9.463,9.64,9.463,9.64,2012
2024-08-02 12:30:00,9.55,9.55,9.24,9.24,1889
2024-08-02 12:45:00,9.2402,9.5,9.24,9.47,2908
2024-08-02 13:00:00,9.3,9.4193,9.2417,9.2417,1860
2024-08-02 13:15:00,9.3,9.418,9.3,9.39,1455
2024-08-02 13:30:00,9.39,9.41,8.68,8.992,160528
2024-08-02 13:45:00,9.04,9.06,8.69,8.78,54818
2024-08-02 14:00:00,8.82,8.875,8.5,8.5025,48831
2024-08-02 14:15:00,8.5275,9.1,8.46,9.1,63701
2024-08-02 14:30:00,9.1,9.2,8.8806,9.12,54454
