datetime,open,high,low,close,volume
2024-08-01 13:30:00,8.04,8.09,7.98,8.04,65415
2024-08-01 13:45:00,8.05,8.05,7.9,7.905,32905
2024-08-01 14:00:00,7.9,7.93,7.82,7.82,32289
2024-08-01 14:15:00,7.82,7.82,7.76,7.77,27017
2024-08-01 14:30:00,7.76,7.79,7.73,7.74,24200
2024-08-01 14:45:00,7.73,7.735,7.66,7.675,20157
2024-08-01 15:00:00,7.685,7.685,7.64,7.655,21961
2024-08-01 15:15:00,7.655,7.695,7.63,7.63,16319
2024-08-01 15:30:00,7.635,7.64,7.6,7.63,19506
2024-08-01 15:45:00,7.625,7.645,7.605,7.6308,13657
2024-08-01 16:00:00,7.63,7.64,7.58,7.58,17611
2024-08-01 16:15:00,7.585,7.615,7.585,7.615,17635
2024-08-01 16:30:00,7.615,7.615,7.57,7.585,39566
2024-08-01 16:45:00,7.585,7.63,7.56,7.63,26325
2024-08-01 17:00:00,7.625,7.635,7.59,7.595,24826
2024-08-01 17:15:00,7.595,7.615,7.57,7.615,22513
2024-08-01 17:30:00,7.6188,7.6188,7.58,7.59,16062
2024-08-01 17:45:00,7.595,7.605,7.58,7.6,20205
2024-08-01 18:00:00,7.61,7.615,7.57,7.575,23037
2024-08-01 18:15:00,7.58,7.58,7.54,7.555,26697
2024-08-01 18:30:00,7.55,7.55,7.51,7.515,25372
2024-08-01 18:45:00,7.52,7.555,7.52,7.545,19971
2024-08-01 19:00:00,7.545,7.55,7.52,7.545,22605
2024-08-01 19:15:00,7.54,7.57,7.53,7.555,20822
2024-08-01 19:30:00,7.56,7.6,7.55,7.595,60314
2024-08-01 19:45:00,7.595,7.67,7.58,7.59,214864
2024-08-01 20:00:00,7.6,7.6,7.6,7.6,66046
2024-08-02 13:30:00,7.3,7.46,7.28,7.455,73343
2024-08-02 13:45:00,7.46,7.52,7.43,7.46,40554
2024-08-02 14:00:00,7.455,7.485,7.43,7.45,45392
2024-08-02 14:15:00,7.455,7.505,7.455,7.495,45656
2024-08-02 14:30:00,7.49,7.495,7.47,7.495,35268
2024-08-02 14:45:00,7.495,7.505,7.455,7.46,44876
2024-08-02 15:00:00,7.45,7.505,7.45,7.49,22880
2024-08-02 15:15:00,7.485,7.5,7.47,7.5,71561
2024-08-02 15:30:00,7.5,7.55,7.5,7.55,56788
2024-08-02 15:45:00,7.55,7.56,7.535,7.535,46539
2024-08-02 16:00:00,7.535,7.54,7.515,7.525,35102
2024-08-02 16:15:00,7.525,7.555,7.52,7.535,48512
2024-08-02 16:30:00,7.535,7.55,7.515,7.545,24259
2024-08-02 16:45:00,7.545,7.55,7.485,7.525,80655
2024-08-02 17:00:00,7.525,7.53,7.5,7.53,30054
2024-08-02 17:15:00,7.525,7.5299,7.51,7.525,30977
2024-08-02 17:30:00,7.525,7.525,7.5,7.505,46829
2024-08-02 17:45:00,7.51,7.51,7.42,7.42,36793
2024-08-02 18:00:00,7.42,7.44,7.415,7.435,16605
2024-08-02 18:15:00,7.435,7.475,7.435,7.475,26434
2024-08-02 18:30:00,7.48,7.5,7.455,7.47,25621
2024-08-02 18:45:00,7.465,7.465,7.445,7.45,43576
2024-08-02 19:00:00,7.46,7.495,7.46,7.49,38951
2024-08-02 19:15:00,7.485,7.49,7.47,7.485,26694
2024-08-02 19:30:00,7.485,7.5,7.445,7.445,45345
2024-08-02 19:45:00,7.45,7.5,7.445,7.495,333045
2024-08-02 20:00:00,7.49,7.49,7.49,7.49,23958
2024-08-02 22:00:00,7.49,7.49,7.49,7.49,29694
2024-08-05 13:30:00,7.12,7.16,7.03,7.07,65420
2024-08-05 13:45:00,7.08,7.15,7.03,7.04,61700
2024-08-05 14:00:00,7.03,7.15,7.03,7.085,94159
2024-08-05 14:15:00,7.08,7.09,7.03,7.035,39530
2024-08-05 14:30:00,7.035,7.0813,7.0302,7.065,95921
2024-08-05 14:45:00,7.07,7.145,7.07,7.095,35078
2024-08-05 15:00:00,7.1,7.14,7.085,7.13,44490
2024-08-05 15:15:00,7.13,7.15,7.125,7.14,23461
2024-08-05 15:30:00,7.14,7.195,7.1308,7.145,42176
2024-08-05 15:45:00,7.14,7.15,7.11,7.13,64125
2024-08-05 16:00:00,7.14,7.185,7.13,7.17,37229
2024-08-05 16:15:00,7.165,7.2175,7.16,7.21,56484
2024-08-05 16:30:00,7.21,7.21,7.13,7.1499,55889
2024-08-05 16:45:00,7.145,7.1475,7.075,7.09,43958
2024-08-05 17:00:00,7.09,7.13,7.07,7.09,146633
2024-08-05 17:15:00,7.1,7.13,7.09,7.105,53106
2024-08-05 17:30:00,7.11,7.14,7.09,7.125,39403
2024-08-05 17:45:00,7.125,7.1263,7.09,7.105,49994
2024-08-05 18:00:00,7.1,7.115,7.085,7.105,60033
2024-08-05 18:15:00,7.1,7.16,7.09,7.1401,76404
2024-08-05 18:30:00,7.14,7.15,7.1,7.11,52437
2024-08-05 18:45:00,7.11,7.17,7.11,7.15,71592
