datetime,open,high,low,close,volume
2024-08-01 06:00:00,64.27,64.27,64.27,64.27,130.0
2024-08-01 09:00:00,64.23,65.4,64.23,64.5,4160.0
2024-08-01 12:00:00,63.96,63.96,62.545,62.65,1441779.0
2024-08-01 15:00:00,62.66,62.9446,61.12,61.505,2852127.0
2024-08-01 18:00:00,61.51,62.12,60.84,62.12,3425842.0
2024-08-01 21:00:00,62.12,62.12,62.12,62.12,2386.0
2024-08-02 06:00:00,61.05,61.05,61.05,61.05,130.0
2024-08-02 09:00:00,61.01,61.11,60.5,61.11,1199.0
2024-08-02 12:00:00,60.97,60.97,58.0,59.03,4132652.0
2024-08-02 15:00:00,59.04,59.57,58.4152,58.5,2896697.0
2024-08-02 18:00:00,58.49,59.25,58.33,59.25,3738758.0
2024-08-02 21:00:00,59.13,59.4,58.98,59.4,1677.0
2024-08-05 06:00:00,56.09,56.09,56.09,56.09,106.0
2024-08-05 09:00:00,56.3,56.99,56.0,56.0,6910.0
2024-08-05 12:00:00,55.91,57.27,54.75,56.605,4684159.0
2024-08-05 15:00:00,56.62,58.64,56.46,58.17,3902749.0
2024-08-05 18:00:00,58.16,58.57,57.925,58.383,5411537.0
2024-08-05 21:00:00,58.39,58.7,58.39,58.7,407.0
2024-08-06 06:00:00,59.0,59.0,59.0,59.0,500.0
2024-08-06 09:00:00,58.7,58.7,58.7,58.7,327.0
2024-08-06 12:00:00,59.0,60.25,58.42,59.83,2015238.0
2024-08-06 15:00:00,59.805,60.44,59.385,60.2,2844237.0
2024-08-06 18:00:00,60.2,60.57,59.74,59.88,3597851.0
2024-08-06 21:00:00,59.88,59.88,59.88,59.88,5347.0
2024-08-07 09:00:00,61.0,61.24,60.8,60.9,1219.0
2024-08-07 12:00:00,61.31,61.6,60.63,61.0,1997374.0
2024-08-07 15:00:00,61.03,61.19,59.98,60.08,2886320.0
2024-08-07 18:00:00,60.08,60.48,59.75,60.04,4042329.0
2024-08-07 21:00:00,60.04,60.04,60.04,60.04,206.0
2024-08-08 12:00:00,60.72,61.755,60.67,61.755,1545836.0
2024-08-08 15:00:00,61.755,62.21,61.47,62.18,2155606.0
2024-08-08 18:00:00,62.18,62.51,61.895,62.37,2761080.0
2024-08-08 21:00:00,62.37,62.37,62.37,62.37,703.0
2024-08-09 12:00:00,62.37,62.87,61.94,62.54,1154952.0
2024-08-09 15:00:00,62.54,62.79,61.99,62.48,1166625.0
2024-08-09 18:00:00,62.485,62.65,62.33,62.62,2086906.0
2024-08-12 09:00:00,62.75,62.75,62.75,62.75,418.0
2024-08-12 12:00:00,62.91,63.41,62.61,63.39,712978.0
2024-08-12 15:00:00,63.39,63.59,62.8907,63.145,1107055.0
2024-08-12 18:00:00,63.16,63.3,62.92,63.0983,1669521.0
2024-08-13 09:00:00,63.46,63.46,62.63,62.63,375.0
