datetime,open,high,low,close,volume
2024-08-01 06:00:00,23.18,23.18,23.18,23.18,100
2024-08-01 12:00:00,23.18,23.36,22.091,22.14,34333
2024-08-01 15:00:00,22.16,22.16,21.575,21.69,56788
2024-08-01 18:00:00,21.715,22.01,21.5,21.82,148197
2024-08-02 12:00:00,21.8,21.86,18.75,19.525,152466
2024-08-02 15:00:00,19.55,20.12,19.4,19.6101,166536
2024-08-02 18:00:00,19.62,20.225,19.62,20.14,208088
2024-08-05 12:00:00,18.78,19.38,18.16,18.25,50988
2024-08-05 15:00:00,18.22,18.84,18.18,18.64,115141
2024-08-05 18:00:00,18.635,18.635,18.15,18.3,121684
2024-08-06 09:00:00,18.8,18.8,18.8,18.8,266
2024-08-06 12:00:00,18.51,18.595,18.0,18.435,68409
2024-08-06 15:00:00,18.435,18.6,18.23,18.52,95322
2024-08-06 18:00:00,18.52,18.69,18.33,18.41,146818
2024-08-07 12:00:00,18.79,19.15,18.36,18.63,45614
2024-08-07 15:00:00,18.605,18.74,18.24,18.31,74337
2024-08-07 18:00:00,18.32,18.46,18.21,18.3896,113308
2024-08-08 12:00:00,18.69,19.03,18.61,19.02,24003
2024-08-08 15:00:00,19.02,19.27,19.005,19.19,59490
2024-08-08 18:00:00,19.17,19.24,18.87,19.02,61144
2024-08-08 21:00:00,19.4,19.4,19.4,19.4,200
2024-08-09 12:00:00,19.14,19.5,18.84,18.89,13717
2024-08-09 15:00:00,18.885,18.92,18.7,18.79,22470
2024-08-09 18:00:00,18.84,19.0,18.84,18.97,59105
2024-08-12 12:00:00,19.12,19.34,18.515,18.56,27805
2024-08-12 15:00:00,18.415,18.47,18.25,18.41,22209
2024-08-12 18:00:00,18.45,18.86,18.43,18.81,71636
2024-08-13 12:00:00,18.98,19.15,18.645,18.6809,26951
2024-08-13 15:00:00,18.68,18.94,18.62,18.83,34818
2024-08-13 18:00:00,18.845,19.03,18.792,19.02,72211
2024-08-14 12:00:00,19.02,19.15,18.8,18.8,12184
2024-08-14 15:00:00,18.7955,18.95,18.59,18.735,21142
2024-08-14 18:00:00,18.69,18.71,18.5,18.53,39438
2024-08-15 12:00:00,19.2,19.36,18.79,18.89,17153
2024-08-15 15:00:00,18.895,19.15,18.84,19.05,106529
2024-08-15 18:00:00,19.06,19.255,18.965,19.25,77965
2024-08-15 21:00:00,19.63,19.63,19.63,19.63,100
2024-08-16 12:00:00,19.15,19.61,19.15,19.355,23054
2024-08-16 15:00:00,19.35,19.36,19.03,19.13,21380
2024-08-16 18:00:00,19.09,19.15,18.91,19.07,51387
2024-08-19 12:00:00,18.92,19.1,18.73,18.78,21879
2024-08-19 15:00:00,18.77,19.06,18.73,19.005,36557
2024-08-19 18:00:00,18.98,19.067,18.91,19.01,45019
2024-08-20 12:00:00,19.05,19.08,18.48,18.55,31898
2024-08-20 15:00:00,18.51,18.65,18.42,18.507,22719
2024-08-20 18:00:00,18.49,19.04,18.45,19.04,78116
2024-08-21 12:00:00,19.26,19.26,18.875,18.88,31622
2024-08-21 15:00:00,18.93,19.12,18.88,18.9201,38548
2024-08-21 18:00:00,18.95,19.38,18.93,19.33,52261
2024-08-22 12:00:00,19.49,19.92,19.1,19.89,20874
2024-08-22 15:00:00,19.92,19.95,19.7301,19.795,19757
2024-08-22 18:00:00,19.79,20.155,19.79,19.91,70025
2024-08-23 12:00:00,20.03,20.68,19.935,20.65,24229
2024-08-23 15:00:00,20.635,20.8999,20.63,20.83,38372
2024-08-23 18:00:00,20.84,20.86,20.66,20.72,35705
2024-08-26 09:00:00,20.87,20.87,20.87,20.87,100
2024-08-26 12:00:00,20.8,21.22,20.79,21.1207,15163
2024-08-26 15:00:00,21.1,21.16,20.8101,20.95,18855
2024-08-26 18:00:00,21.0,21.11,20.905,20.99,60480
2024-08-27 12:00:00,20.91,21.145,20.675,21.01,24588
2024-08-27 15:00:00,21.11,21.11,20.92,21.07,32252
2024-08-27 18:00:00,21.06,21.1999,20.98,21.05,43292
2024-08-28 12:00:00,21.05,21.5,21.0,21.48,14415
2024-08-28 15:00:00,21.415,21.695,21.39,21.495,44935
2024-08-28 18:00:00,21.49,21.82,21.49,21.72,47524
2024-08-29 12:00:00,21.74,22.36,21.6,22.1,41493
2024-08-29 15:00:00,22.1,22.22,21.98,22.14,47495
2024-08-29 18:00:00,22.11,22.3,21.895,22.27,109166
2024-08-30 12:00:00,22.49,22.49,22.09,22.45,10451
2024-08-30 15:00:00,22.43,22.44,22.07,22.08,15704
2024-08-30 18:00:00,22.11,22.45,22.11,22.4,35300
2024-09-03 06:00:00,21.27,21.27,21.27,21.27,100
2024-09-03 12:00:00,21.97,22.2,21.31,21.375,56776
2024-09-03 15:00:00,21.42,21.57,21.13,21.33,25153
2024-09-03 18:00:00,21.27,21.34,20.91,20.92,39397
2024-09-04 12:00:00,20.77,21.1399,20.42,21.09,23641
2024-09-04 15:00:00,21.11,21.16,20.885,21.0,14924
2024-09-04 18:00:00,20.98,20.99,20.77,20.83,25871
2024-09-05 12:00:00,20.87,21.01,20.52,20.52,9020
2024-09-05 15:00:00,20.57,20.63,20.41,20.63,14784
2024-09-05 18:00:00,20.65,20.67,20.475,20.61,27405
2024-09-06 12:00:00,20.56,20.57,19.93,19.93,9191
2024-09-06 15:00:00,19.97,20.16,19.39,19.51,48299
2024-09-06 18:00:00,19.485,19.485,18.96,19.1,115856
2024-09-09 12:00:00,19.0,19.28,18.89,18.91,47887
2024-09-09 15:00:00,18.9,19.04,18.74,18.78,65416
2024-09-09 18:00:00,18.78,18.95,18.67,18.94,109224
2024-09-10 12:00:00,18.93,18.955,18.38,18.52,36469
2024-09-10 15:00:00,18.53,18.65,18.39,18.6175,31277
2024-09-10 18:00:00,18.6,18.89,18.6,18.7,38135
2024-09-11 12:00:00,18.59,18.59,18.19,18.28,11151
2024-09-11 15:00:00,18.34,18.77,18.34,18.73,15183
2024-09-11 18:00:00,18.74,18.88,18.74,18.79,33276
2024-09-12 12:00:00,18.88,19.06,18.51,18.9,17216
2024-09-12 15:00:00,18.88,19.0,18.65,19.0,23848
2024-09-12 18:00:00,18.99,18.99,18.76,18.91,25785
2024-09-13 12:00:00,19.02,19.32,18.81,19.23,20679
2024-09-13 15:00:00,19.22,19.43,19.04,19.055,26509
2024-09-13 18:00:00,19.03,19.03,18.84,19.0,26524
2024-09-16 12:00:00,19.1,19.55,19.0,19.0,21887
2024-09-16 15:00:00,18.98,19.1307,18.89,19.04,19414
2024-09-16 18:00:00,19.03,19.3,19.02,19.23,46634
2024-09-17 12:00:00,19.52,19.93,19.3279,19.85,27976
2024-09-17 15:00:00,19.89,19.95,19.46,19.71,39729
2024-09-17 18:00:00,19.72,19.86,19.7,19.86,41853
2024-09-18 12:00:00,19.94,19.99,19.75,19.93,16127
2024-09-18 15:00:00,19.96,19.96,19.73,19.96,12809
2024-09-18 18:00:00,19.95,20.47,19.9,19.98,105184
2024-09-19 12:00:00,20.68,20.68,20.125,20.37,18432
2024-09-19 15:00:00,20.43,20.66,20.37,20.63,40389
2024-09-19 18:00:00,20.57,20.71,20.5,20.7,39720
2024-09-20 12:00:00,20.7,20.74,20.435,20.69,74442
2024-09-20 15:00:00,20.685,20.76,20.42,20.6176,13803
2024-09-20 18:00:00,20.62,20.62,20.42,20.43,54005
2024-09-23 09:00:00,20.43,20.43,20.43,20.43,1467
2024-09-23 12:00:00,20.44,20.615,20.33,20.38,16217
2024-09-23 15:00:00,20.35,20.44,20.27,20.385,12967
2024-09-23 18:00:00,20.34,20.44,20.01,20.16,51504
2024-09-24 12:00:00,20.21,20.21,19.91,20.01,13255
2024-09-24 15:00:00,20.05,20.16,20.0101,20.09,15316
2024-09-24 18:00:00,20.05,20.15,20.03,20.12,22325
2024-09-25 12:00:00,20.11,20.33,20.03,20.29,8269
2024-09-25 15:00:00,20.28,20.34,19.96,19.995,16037
2024-09-25 18:00:00,20.01,20.035,19.84,19.89,20904
2024-09-26 12:00:00,20.25,20.2669,19.94,20.04,10562
