datetime,open,high,low,close,volume
2024-08-01 06:00:00,105.0,105.0,103.2,103.46,4073
2024-08-01 09:00:00,103.45,108.3,103.45,105.4,12944
2024-08-01 12:00:00,107.5281,107.5281,92.05,92.8,579237
2024-08-01 15:00:00,93.025,95.2195,91.5,94.0,429874
2024-08-01 18:00:00,93.9479,94.5199,91.66,92.02,397307
2024-08-01 21:00:00,92.0,92.0,92.0,92.0,101
2024-08-02 09:00:00,90.49,90.49,90.49,90.49,150
2024-08-02 12:00:00,87.45,89.42,82.7,84.345,447723
2024-08-02 15:00:00,84.17,86.58,82.77,83.4,358992
2024-08-02 18:00:00,83.54,84.69,82.8,84.0,522932
2024-08-02 21:00:00,84.09,84.48,84.09,84.48,95645
2024-08-05 06:00:00,79.24,79.93,79.24,79.87,851
2024-08-05 09:00:00,79.37,79.76,77.94,78.25,13322
2024-08-05 12:00:00,78.0,86.795,75.7301,83.955,734983
2024-08-05 15:00:00,84.25,88.2525,84.04,85.2,400939
2024-08-05 18:00:00,85.21,87.0,83.85,87.0,261878
2024-08-05 21:00:00,87.1,87.1,87.1,87.1,558
2024-08-06 06:00:00,87.39,87.39,87.39,87.39,302
2024-08-06 09:00:00,86.02,86.92,86.02,86.92,1720
2024-08-06 12:00:00,87.25,88.01,83.47,86.01,241840
2024-08-06 15:00:00,86.02,87.2399,85.54,86.9525,117186
2024-08-06 18:00:00,86.7,87.48,85.5725,85.76,268374
2024-08-06 21:00:00,85.0,85.25,85.0,85.25,210
2024-08-07 12:00:00,88.7,90.5904,86.23,87.31,135818
2024-08-07 15:00:00,87.43,88.98,86.26,86.65,234717
2024-08-07 18:00:00,86.525,87.22,85.265,85.47,272500
2024-08-08 06:00:00,85.46,85.46,85.46,85.46,163
2024-08-08 09:00:00,86.09,86.25,86.09,86.25,301
2024-08-08 12:00:00,87.25,90.37,86.67,90.37,103779
2024-08-08 15:00:00,90.11,91.08,89.31,90.38,106038
2024-08-08 18:00:00,90.515,91.9,89.07,91.9,353747
2024-08-08 21:00:00,90.46,90.46,90.46,90.46,200
2024-08-09 12:00:00,90.81,92.35,89.9675,90.995,155480
2024-08-09 15:00:00,90.99,93.44,90.82,93.005,236509
2024-08-09 18:00:00,93.25,93.96,90.01,92.95,339142
2024-08-12 06:00:00,91.0,92.17,91.0,92.08,449
2024-08-12 09:00:00,91.69,91.69,91.46,91.68,805
2024-08-12 12:00:00,92.26,94.9,92.0501,93.585,135055
2024-08-12 15:00:00,93.635,94.07,91.11,91.485,126315
2024-08-12 18:00:00,91.65,92.57,91.16,91.55,133872
2024-08-13 09:00:00,91.53,91.53,91.53,91.53,110
2024-08-13 12:00:00,93.98,94.6035,92.23,93.87,62359
2024-08-13 15:00:00,93.74,94.47,92.67,93.12,102371
2024-08-13 18:00:00,92.95,93.58,91.62,92.25,174007
2024-08-14 06:00:00,94.02,94.02,94.02,94.02,100
2024-08-14 09:00:00,92.99,92.99,92.99,92.99,200
2024-08-14 12:00:00,92.67,94.04,90.54,93.6,133740
2024-08-14 15:00:00,93.61,94.12,92.4,93.4,131886
2024-08-14 18:00:00,93.12,93.97,92.87,93.48,195692
2024-08-14 21:00:00,93.0,93.0,93.0,93.0,225
2024-08-15 09:00:00,93.52,93.52,93.5,93.5,1343
2024-08-15 12:00:00,94.17,99.99,94.17,98.96,172946
2024-08-15 15:00:00,99.1259,101.09,98.7901,101.09,155868
2024-08-15 18:00:00,101.035,101.22,99.86,101.03,327397
2024-08-15 21:00:00,101.03,101.03,100.99,101.03,17162
2024-08-16 12:00:00,100.26,101.0,98.43,98.81,201868
2024-08-16 15:00:00,98.69,100.0592,96.378,99.63,255482
2024-08-16 18:00:00,99.615,100.04,99.04,99.93,311261
2024-08-19 06:00:00,98.99,98.99,98.22,98.22,768
2024-08-19 12:00:00,99.59,99.59,95.58,97.535,98890
2024-08-19 15:00:00,97.8387,98.18,96.93,98.18,65375
2024-08-19 18:00:00,98.165,98.71,97.76,98.45,108599
2024-08-20 06:00:00,99.26,99.26,99.26,99.26,119
2024-08-20 12:00:00,98.31,100.33,96.265,96.265,80700
2024-08-20 15:00:00,96.54,98.2304,96.2,97.9,63716
2024-08-20 18:00:00,97.9,98.43,97.21,97.21,112662
2024-08-21 12:00:00,95.66,97.85,95.66,96.1,73878
2024-08-21 15:00:00,96.05,97.5,95.955,97.15,86971
2024-08-21 18:00:00,97.11,99.15,97.11,98.54,147781
2024-08-21 21:00:00,98.24,98.5,98.24,98.48,501
2024-08-22 09:00:00,98.77,99.5,98.77,99.47,1432
2024-08-22 12:00:00,99.6,100.21,98.086,99.23,92430
2024-08-22 15:00:00,99.21,100.6,98.155,98.155,88069
2024-08-22 18:00:00,98.325,98.325,96.17,96.4,185370
2024-08-23 12:00:00,98.06,98.46,94.51,95.72,78575
2024-08-23 15:00:00,95.63,98.03,95.36,97.48,102296
2024-08-23 18:00:00,97.5,97.98,96.96,97.97,118775
2024-08-23 21:00:00,97.97,97.97,97.97,97.97,421
2024-08-26 12:00:00,98.26,98.26,91.13,91.5,168242
2024-08-26 15:00:00,91.755,92.93,91.5701,91.825,119154
2024-08-26 18:00:00,91.83,92.77,91.53,91.99,186977
2024-08-27 12:00:00,91.53,93.98,90.66,93.45,97492
2024-08-27 15:00:00,93.61,94.31,92.47,94.13,107858
2024-08-27 18:00:00,94.18,94.59,93.22,94.51,171949
2024-08-28 09:00:00,94.4,94.4,94.4,94.4,330
2024-08-28 12:00:00,94.74,95.19,93.4296,93.895,59602
2024-08-28 15:00:00,93.38,93.77,91.97,91.97,84298
2024-08-28 18:00:00,91.945,92.67,91.58,92.19,220315
2024-08-28 21:00:00,92.19,92.19,90.9,90.9,17026
2024-08-29 09:00:00,93.62,93.81,93.62,93.8,637
2024-08-29 12:00:00,93.89,95.31,93.21,94.44,106555
2024-08-29 15:00:00,94.615,96.74,94.1,95.75,94958
2024-08-29 18:00:00,95.63,95.67,92.89,93.13,128569
2024-08-30 12:00:00,94.59,94.89,92.37,92.76,116880
2024-08-30 15:00:00,92.74,93.02,90.58,90.9262,118361
2024-08-30 18:00:00,90.7,91.41,89.09,91.02,432224
2024-08-30 21:00:00,91.22,91.62,91.22,91.62,260
2024-09-03 09:00:00,90.5,90.5,90.24,90.24,543
2024-09-03 12:00:00,90.05,90.05,84.14,84.51,216169
2024-09-03 15:00:00,84.36,85.89,83.07,83.555,195244
2024-09-03 18:00:00,83.57,83.5775,81.89,82.16,535984
2024-09-04 06:00:00,82.1,82.1,82.1,82.1,116
2024-09-04 12:00:00,81.21,84.99,80.56,84.68,140548
2024-09-04 15:00:00,84.71,85.94,83.99,84.64,143167
2024-09-04 18:00:00,84.8,84.99,83.225,83.56,129496
2024-09-05 12:00:00,84.39,84.39,82.13,83.14,71815
2024-09-05 15:00:00,83.14,84.5,82.71,83.41,64105
2024-09-05 18:00:00,83.59,83.59,82.74,82.92,150113
2024-09-06 12:00:00,82.13,83.14,78.65,78.785,124181
2024-09-06 15:00:00,78.755,79.695,76.87,77.99,362816
2024-09-06 18:00:00,77.97,78.52,77.38,77.88,429189
2024-09-06 21:00:00,77.02,77.02,77.02,77.02,100
2024-09-09 06:00:00,78.36,78.44,78.36,78.44,528
2024-09-09 09:00:00,78.41,79.03,78.41,79.03,1744
2024-09-09 12:00:00,77.88,79.355,76.0259,76.245,192208
2024-09-09 15:00:00,76.24,77.0,75.56,75.65,317547
2024-09-09 18:00:00,75.64,76.9,75.4725,76.9,354470
2024-09-09 21:00:00,76.92,77.07,76.05,76.05,2452
2024-09-10 06:00:00,76.51,76.72,76.49,76.7,608
2024-09-10 09:00:00,76.76,77.07,76.73,77.07,920
2024-09-10 12:00:00,76.79,77.88,75.75,77.46,141547
2024-09-10 15:00:00,77.45,78.68,77.36,77.51,181503
2024-09-10 18:00:00,77.67,78.02,73.84,73.84,211347
2024-09-11 12:00:00,78.37,79.215,76.47,77.1,66037
2024-09-11 15:00:00,77.3,79.205,77.185,78.145,141289
2024-09-11 18:00:00,78.5,79.59,78.23,79.33,215819
2024-09-11 21:00:00,79.93,79.93,79.33,79.33,595
2024-09-12 09:00:00,80.34,80.34,80.2,80.2,746
2024-09-12 12:00:00,80.25,81.4,76.785,80.12,388220
2024-09-12 15:00:00,80.03,81.07,79.6,80.1,150098
2024-09-12 18:00:00,80.055,80.055,78.465,79.16,161345
2024-09-12 21:00:00,79.16,79.16,79.16,79.16,275
2024-09-13 09:00:00,81.0,81.0,81.0,81.0,180
2024-09-13 12:00:00,79.7,80.75,79.62,80.03,75644
2024-09-13 15:00:00,80.254,81.88,80.0,81.77,82823
2024-09-13 18:00:00,81.685,81.96,80.66,81.13,155493
2024-09-13 21:00:00,81.13,81.13,81.13,81.13,6933
2024-09-16 09:00:00,79.62,79.62,79.62,79.62,538
2024-09-16 12:00:00,79.21,79.25,76.54,77.68,118348
2024-09-16 15:00:00,77.6,78.2799,76.86,77.145,162900
2024-09-16 18:00:00,77.145,77.68,76.31,77.5,273941
2024-09-16 21:00:00,77.5,77.5,77.5,77.5,679
2024-09-17 06:00:00,77.5,77.6,77.5,77.6,874
2024-09-17 09:00:00,77.71,77.71,77.71,77.71,200
2024-09-17 12:00:00,77.59,78.1,75.07,75.675,275107
2024-09-17 15:00:00,75.765,76.5772,74.32,75.02,214419
2024-09-17 18:00:00,74.95,75.21,74.04,74.89,357520
2024-09-17 21:00:00,75.03,75.03,75.03,75.03,100
2024-09-18 06:00:00,75.05,75.05,75.05,75.05,159
2024-09-18 09:00:00,75.25,75.34,75.2,75.34,1544
2024-09-18 12:00:00,75.4,76.07,72.91,73.07,287438
2024-09-18 15:00:00,73.0,73.76,72.38,73.17,276919
2024-09-18 18:00:00,73.19,73.95,70.84,71.0,1151653
2024-09-18 21:00:00,70.9975,72.248,70.9975,72.248,1550
2024-09-19 06:00:00,72.7,72.92,72.7,72.92,337
2024-09-19 09:00:00,73.62,73.62,73.16,73.16,739
2024-09-19 12:00:00,73.83,75.9699,73.2,74.55,255578
2024-09-19 15:00:00,74.53,76.2,73.9201,75.99,215914
2024-09-19 18:00:00,76.04,76.45,75.01,75.94,311395
2024-09-20 12:00:00,76.14,76.33,73.52,74.045,53684
2024-09-20 15:00:00,74.07,74.92,73.782,74.33,65142
2024-09-20 18:00:00,74.42,74.96,74.06,74.34,110541
2024-09-23 06:00:00,74.27,74.27,74.25,74.25,492
2024-09-23 09:00:00,74.35,74.44,74.35,74.44,1092
2024-09-23 12:00:00,74.61,77.07,74.6,75.7,85512
2024-09-23 15:00:00,75.7,75.8441,74.38,75.14,102863
2024-09-23 18:00:00,75.06,75.323476,74.1,74.35,226196
2024-09-24 09:00:00,74.99,75.15,74.99,75.15,362
2024-09-24 12:00:00,75.0799,75.99,74.28,75.17,135246
2024-09-24 15:00:00,75.23,76.51,74.87,75.55,209255
2024-09-24 18:00:00,75.42,76.125,74.975,75.7003,212980
2024-09-25 06:00:00,75.68,75.68,75.68,75.68,114
2024-09-25 09:00:00,75.9,75.9,75.9,75.9,500
2024-09-25 12:00:00,76.36,78.78,75.7,76.82,156496
2024-09-25 15:00:00,76.8,77.09,75.63,76.63,128678
2024-09-25 18:00:00,76.56,79.0,76.197,78.5,210490
2024-09-25 21:00:00,79.0,79.0,78.47,78.8,6427
2024-09-26 06:00:00,80.77,80.77,80.64,80.64,203
2024-09-26 09:00:00,80.61,86.36,80.52,86.36,10680
2024-09-26 12:00:00,84.44,89.0,83.86,84.175,710316
2024-09-26 15:00:00,84.09,86.95,83.86,86.92,381308
2024-09-26 18:00:00,86.93,87.7457,85.78,85.9,450621
2024-09-27 12:00:00,86.27,86.75,82.26,83.52,187203
2024-09-27 15:00:00,83.41,83.95,82.16,83.95,205868
2024-09-27 18:00:00,83.83,84.0,82.57,82.67,250750
2024-09-30 06:00:00,82.58,82.66,82.22,82.38,2212
2024-09-30 09:00:00,81.89,81.9,81.89,81.9,682
2024-09-30 12:00:00,81.39,81.39,79.75,80.035,112693
2024-09-30 15:00:00,80.11,80.905,79.85,80.065,134187
2024-09-30 18:00:00,80.0903,80.18,79.145,79.9,197988
2024-09-30 21:00:00,79.4,79.4,79.4,79.4,402
