datetime,open,high,low,close,volume
2024-08-01 08:00:00,40.58,40.58,40.18,40.24,2564.0
2024-08-01 12:00:00,40.0183,40.46,39.97,39.985,3084611.0
2024-08-01 16:00:00,39.98,40.07,39.46,40.03,4467402.0
2024-08-01 20:00:00,40.04,40.3,39.325,39.76,125380.0
2024-08-02 08:00:00,39.28,39.79,39.28,39.5,2611.0
2024-08-02 12:00:00,39.27,39.6,38.53,38.915,2258136.0
2024-08-02 16:00:00,38.92,39.07,38.64,38.94,3266032.0
2024-08-02 20:00:00,38.94,39.83,38.66,39.83,41855.0
2024-08-05 08:00:00,37.79,38.03,37.4,37.4,7359.0
2024-08-05 12:00:00,37.99,38.1,37.09,37.91,2579361.0
2024-08-05 16:00:00,37.91,38.12,37.59,37.775,3215899.0
2024-08-05 20:00:00,37.76,37.7615,37.755468,37.76,106558.0
2024-08-06 12:00:00,38.7,38.88,37.89,38.505,2188755.0
2024-08-06 16:00:00,38.51,38.7,38.2,38.31,3757667.0
2024-08-06 20:00:00,38.33,38.39,38.0,38.0,59682.0
2024-08-07 08:00:00,38.81,38.81,38.69,38.8,2299.0
2024-08-07 12:00:00,38.7,38.93,38.01,38.06,1501900.0
2024-08-07 16:00:00,38.055,38.12,37.755,37.86,2748307.0
2024-08-07 20:00:00,37.85,38.25,37.07,37.55,52685.0
2024-08-08 08:00:00,37.86,37.86,37.86,37.86,147.0
2024-08-08 12:00:00,37.6338,38.38,37.6338,38.35,844558.0
2024-08-08 16:00:00,38.35,38.65,38.25,38.61,1874682.0
2024-08-08 20:00:00,38.61,38.87,38.61,38.85,49161.0
2024-08-09 12:00:00,38.65,38.66,38.31,38.39,659961.0
2024-08-09 16:00:00,38.395,38.73,38.3625,38.44,1670909.0
2024-08-09 20:00:00,38.45,38.45,38.1062,38.1062,17509.0
2024-08-12 08:00:00,38.6,38.6,38.6,38.6,1074.0
2024-08-12 12:00:00,38.4083,39.07,38.4083,39.0299,887754.0
2024-08-12 16:00:00,39.025,39.36,38.945,39.33,2309475.0
2024-08-12 20:00:00,39.31,39.55,38.65,39.29,103026.0
2024-08-13 08:00:00,39.31,39.32,39.31,39.32,200.0
2024-08-13 12:00:00,39.44,40.04,39.03,39.94,2489037.0
2024-08-13 16:00:00,39.94,40.04,39.56,39.77,2282706.0
2024-08-13 20:00:00,39.77,39.77,39.31,39.31,60156.0
2024-08-14 08:00:00,40.0,40.0,40.0,40.0,137.0
2024-08-14 12:00:00,39.91,39.91,39.265,39.65,635623.0
2024-08-14 16:00:00,39.65,39.67,39.325,39.59,1962456.0
2024-08-14 20:00:00,39.59,40.0,39.2194,40.0,51990.0
2024-08-15 12:00:00,39.6,40.56,39.47,40.515,1278540.0
2024-08-15 16:00:00,40.51,40.53,40.2125,40.27,2287450.0
2024-08-15 20:00:00,40.26,40.26,39.8,40.01,29502.0
2024-08-16 12:00:00,40.2067,40.2899,39.75,39.845,980976.0
2024-08-16 16:00:00,39.85,40.25,39.795,40.21,1851985.0
2024-08-16 20:00:00,40.2,40.2,39.95,40.11,39900.0
2024-08-19 08:00:00,40.21,40.21,40.21,40.21,213.0
2024-08-19 12:00:00,40.2,40.425,39.995,40.335,693869.0
2024-08-19 16:00:00,40.335,40.63,40.285,40.61,1573424.0
2024-08-19 20:00:00,40.61,40.61,40.22,40.22,62102.0
2024-08-20 08:00:00,40.53,40.6,40.39,40.6,3716.0
2024-08-20 12:00:00,40.4,40.7499,40.35,40.5999,1055977.0
2024-08-20 16:00:00,40.595,40.79,40.55,40.7399,1216600.0
2024-08-20 20:00:00,40.73,40.79,40.53,40.53,329751.0
2024-08-21 08:00:00,40.99,41.7,40.99,41.59,14767.0
2024-08-21 12:00:00,41.67,41.87,41.2,41.795,1498951.0
2024-08-21 16:00:00,41.795,42.105,41.7,42.08,2152866.0
2024-08-21 20:00:00,42.08,42.35,42.08,42.1499,136976.0
2024-08-22 08:00:00,42.08,42.08,41.99,42.0,1712.0
2024-08-22 12:00:00,41.99,42.11,41.28,41.32,1093499.0
2024-08-22 16:00:00,41.325,41.475,41.21,41.28,1814069.0
2024-08-22 20:00:00,41.27,41.45,41.21,41.45,36484.0
2024-08-23 08:00:00,41.66,41.66,41.65,41.65,5000.0
2024-08-23 12:00:00,41.5,42.02,41.49,41.7,1153850.0
2024-08-23 16:00:00,41.685,41.99,41.55,41.94,1135505.0
2024-08-23 20:00:00,41.94,41.99,41.75,41.75,17899.0
2024-08-26 08:00:00,42.04,42.04,42.04,42.04,174.0
2024-08-26 12:00:00,42.09,42.37,41.93,42.27,808793.0
2024-08-26 16:00:00,42.27,42.37,42.19,42.23,1289810.0
2024-08-26 20:00:00,42.22,42.22,42.22,42.22,34765.0
2024-08-27 12:00:00,42.21,42.28,41.88,42.215,827660.0
2024-08-27 16:00:00,42.217,42.56,42.18,42.54,1771724.0
2024-08-27 20:00:00,42.52,42.68,42.52,42.52,69495.0
2024-08-28 12:00:00,42.52,42.73,42.265,42.385,892162.0
2024-08-28 16:00:00,42.385,42.475,42.0245,42.32,1831462.0
2024-08-28 20:00:00,42.32,42.32,42.0,42.0086,121727.0
2024-08-29 08:00:00,42.6,42.6,42.6,42.6,420.0
2024-08-29 12:00:00,42.59,42.6699,42.1,42.52,1220068.0
2024-08-29 16:00:00,42.525,42.6352,41.785,41.87,2534547.0
2024-08-29 20:00:00,41.87,42.0,41.47,42.0,24115.0
2024-08-30 12:00:00,41.83,41.92,41.115,41.165,925228.0
2024-08-30 16:00:00,41.155,41.88,41.09,41.84,2223340.0
2024-08-30 20:00:00,41.85,41.85,41.29,41.29,67551.0
2024-09-03 08:00:00,41.63,41.63,41.51,41.51,717.0
2024-09-03 12:00:00,41.7885,41.85,40.56,40.77,1486314.0
2024-09-03 16:00:00,40.765,40.87,40.57,40.685,2470176.0
2024-09-03 20:00:00,40.67,40.99,40.5,40.5,35788.0
2024-09-04 12:00:00,40.3349,41.3,40.3349,41.11,954187.0
2024-09-04 16:00:00,41.111,41.315,41.04,41.24,1636438.0
2024-09-04 20:00:00,41.24,41.24,41.05,41.24,22662.0
2024-09-05 12:00:00,41.15,41.47,40.97,41.185,1157283.0
2024-09-05 16:00:00,41.185,41.675,41.15,41.37,2198439.0
2024-09-05 20:00:00,41.37,41.37,41.25,41.25,45704.0
2024-09-06 08:00:00,41.21,41.3,41.21,41.22,3775.0
2024-09-06 12:00:00,41.27,42.15,40.67,40.795,1708609.0
