datetime,open,high,low,close,volume
2024-08-01 12:00:00,34.85,35.21,33.3838,33.55,69697
2024-08-01 16:00:00,33.5,33.52,32.56,33.16,73744
2024-08-01 20:00:00,33.13,33.13,33.13,33.13,8986
2024-08-02 08:00:00,32.65,32.65,32.65,32.65,100
2024-08-02 12:00:00,32.5,32.5,30.58,30.83,123797
2024-08-02 16:00:00,30.75,30.76,29.685,29.81,130272
2024-08-02 20:00:00,29.78,29.78,29.78,29.78,286
2024-08-05 12:00:00,28.36,28.84,27.69,28.485,116361
2024-08-05 16:00:00,28.49,29.28,28.25,28.64,103633
2024-08-06 12:00:00,28.68,28.92,28.19,28.44,27435
2024-08-06 16:00:00,28.533,29.55,28.32,29.02,166334
2024-08-06 20:00:00,29.08,29.08,29.08,29.08,2589
2024-08-07 12:00:00,29.9,29.9,28.77,28.86,25703
2024-08-07 16:00:00,28.89,29.0,28.36,28.49,147996
2024-08-07 20:00:00,28.46,28.46,28.46,28.46,4429
2024-08-08 12:00:00,28.86,29.735,28.555,29.735,22340
2024-08-08 16:00:00,29.735,30.09,29.37,30.08,139460
2024-08-08 20:00:00,30.03,30.03,30.03,30.03,3436
2024-08-09 12:00:00,29.92,31.74,29.77,30.54,85189
2024-08-09 16:00:00,30.6,31.01,30.47,30.88,123152
2024-08-09 20:00:00,30.87,30.87,30.87,30.87,3241
2024-08-12 12:00:00,31.02,31.02,30.29,30.49,57705
2024-08-12 16:00:00,30.465,30.91,30.27,30.89,70632
2024-08-12 20:00:00,30.95,30.95,30.95,30.95,1777
2024-08-13 12:00:00,31.02,31.3677,30.34,31.0,55126
2024-08-13 16:00:00,31.02,31.87,30.985,31.76,99373
2024-08-13 20:00:00,31.78,31.78,31.78,31.78,4121
2024-08-14 12:00:00,31.8,31.9,31.27,31.7025,52979
2024-08-14 16:00:00,31.71,31.81,31.225,31.74,84544
2024-08-14 20:00:00,31.75,31.75,31.75,31.75,2725
2024-08-15 12:00:00,32.49,32.89,32.1341,32.78,29942
2024-08-15 16:00:00,32.71,33.05,32.61,33.02,89657
2024-08-15 20:00:00,33.03,33.03,33.03,33.03,2570
2024-08-16 12:00:00,32.86,33.0,32.265,32.37,23036
2024-08-16 16:00:00,32.4,32.5,32.045,32.15,69257
2024-08-16 20:00:00,32.14,32.14,32.14,32.14,841
2024-08-19 12:00:00,32.42,32.42,31.6,31.67,24988
2024-08-19 16:00:00,31.65,32.24,31.55,32.24,77706
2024-08-19 20:00:00,32.23,32.23,32.23,32.23,2667
2024-08-20 12:00:00,31.93,31.97,31.14,31.2842,26399
2024-08-20 16:00:00,31.26,31.315,30.935,31.26,71159
2024-08-20 20:00:00,31.24,31.24,31.24,31.24,1583
2024-08-21 12:00:00,31.59,31.99,31.38,31.68,16970
2024-08-21 16:00:00,31.67,32.57,31.64,32.4,70857
2024-08-21 20:00:00,32.37,33.98,32.37,33.98,1787
2024-08-22 12:00:00,32.52,32.988,31.59,31.59,13322
2024-08-22 16:00:00,31.77,31.96,31.21,31.43,54053
2024-08-22 20:00:00,31.37,31.37,31.37,31.37,1453
2024-08-23 12:00:00,31.71,32.66,31.26,32.04,36110
2024-08-23 16:00:00,32.01,32.146,31.57,31.81,69028
2024-08-23 20:00:00,31.81,31.81,31.81,31.81,1307
2024-08-26 12:00:00,31.84,31.88,31.46,31.46,30920
2024-08-26 16:00:00,31.56,31.67,31.34,31.48,60077
2024-08-26 20:00:00,31.44,31.44,31.44,31.44,718
2024-08-27 12:00:00,31.26,31.26,30.825,31.07,7644
2024-08-27 16:00:00,31.04,31.618,31.04,31.37,56826
