datetime,open,high,low,close,volume
2024-08-01 12:00:00,86.41,86.9377,81.17,81.36,109833
2024-08-01 16:00:00,81.4,81.965,79.83,81.52,303695
2024-08-01 20:00:00,81.42,81.42,81.42,81.42,11406
2024-08-02 12:00:00,77.29,78.5214,74.67,75.56,190344
2024-08-02 16:00:00,75.435,75.58,73.53,75.06,249106
2024-08-02 20:00:00,75.12,75.12,75.12,75.12,1370
2024-08-05 12:00:00,70.99,73.62,70.23,71.895,115768
2024-08-05 16:00:00,71.77,73.1,70.97,72.345,248640
2024-08-05 20:00:00,72.28,72.28,72.28,72.28,2706
2024-08-06 12:00:00,72.51,73.41,71.1,71.46,98474
2024-08-06 16:00:00,71.635,72.65,71.2515,71.95,184065
2024-08-06 20:00:00,71.96,71.96,71.96,71.96,6402
2024-08-07 12:00:00,73.4,73.87,70.68,71.4,95316
2024-08-07 16:00:00,71.34,71.7,67.85,68.03,358942
2024-08-07 20:00:00,68.09,68.09,68.09,68.09,32442
2024-08-08 12:00:00,71.5,71.98,67.83,71.655,365478
2024-08-08 16:00:00,71.75,72.51,70.93,72.33,657675
2024-08-08 20:00:00,72.33,74.5,72.32,73.0,18196
2024-08-09 12:00:00,76.11,76.11,70.9,72.3,162527
2024-08-09 16:00:00,72.3,73.67,72.05,72.64,411640
2024-08-09 20:00:00,72.71,72.71,72.5,72.5,9244
2024-08-12 12:00:00,72.55,72.7046,70.21,71.525,58214
2024-08-12 16:00:00,71.37,71.66,70.61,71.49,220147
2024-08-12 20:00:00,71.51,71.51,71.51,71.51,9388
2024-08-13 12:00:00,72.49,73.565,71.685,73.565,49930
2024-08-13 16:00:00,73.53,75.39,73.32,75.37,216167
2024-08-13 20:00:00,75.31,75.31,75.31,75.31,9732
2024-08-14 08:00:00,75.31,75.31,75.31,75.31,118
2024-08-14 12:00:00,75.95,75.95,72.82,74.61,42957
2024-08-14 16:00:00,74.53,74.53,73.1,73.53,108786
2024-08-14 20:00:00,73.57,73.57,73.57,73.57,3566
2024-08-15 12:00:00,75.69,77.03,75.55,76.61,104453
2024-08-15 16:00:00,76.625,77.35,76.26,76.51,211229
2024-08-15 20:00:00,76.49,76.49,76.49,76.49,10542
2024-08-16 12:00:00,76.12,76.75,72.77,76.355,45647
2024-08-16 16:00:00,76.27,76.74,76.14,76.45,114476
2024-08-16 20:00:00,76.38,76.38,76.38,76.38,8163
2024-08-19 12:00:00,76.41,76.445,75.46,75.72,39727
2024-08-19 16:00:00,75.59,77.51,75.52,77.49,174455
2024-08-19 20:00:00,77.49,77.49,77.49,77.49,4478
2024-08-20 12:00:00,76.6,77.26,75.42,76.19,75495
2024-08-20 16:00:00,76.21,76.79,75.38,76.14,109365
2024-08-20 20:00:00,76.14,76.14,76.14,76.14,7894
2024-08-21 12:00:00,77.11,78.285,76.71,77.5,47500
2024-08-21 16:00:00,77.485,78.875,77.265,78.54,185292
2024-08-21 20:00:00,78.61,78.61,78.61,78.61,6477
2024-08-22 12:00:00,79.05,79.47,77.93,78.4,45148
2024-08-22 16:00:00,78.54,79.34,76.99,77.41,144467
2024-08-22 20:00:00,77.38,77.38,77.38,77.38,2920
2024-08-23 12:00:00,78.73,81.11,77.96,80.19,70622
2024-08-23 16:00:00,80.175,80.7,79.15,80.6,143640
2024-08-23 20:00:00,80.54,80.54,80.54,80.54,2517
2024-08-26 12:00:00,80.55,82.025,80.48,80.605,97552
2024-08-26 16:00:00,80.605,81.07,79.94,80.21,92136
2024-08-26 20:00:00,80.16,80.16,80.16,80.16,2747
2024-08-27 12:00:00,79.14,79.27,78.18,78.87,43859
2024-08-27 16:00:00,78.845,80.8,78.845,80.76,176154
2024-08-27 20:00:00,80.76,80.76,80.76,80.76,4278
2024-08-28 12:00:00,80.12,80.41,76.64,77.015,102466
2024-08-28 16:00:00,76.98,78.64,76.3,78.0,141748
2024-08-28 20:00:00,77.99,77.99,77.99,77.99,4733
2024-08-29 12:00:00,78.89,80.6,78.0401,80.58,40895
2024-08-29 16:00:00,80.54,81.67,80.24,80.9,207972
2024-08-29 20:00:00,80.87,80.87,80.87,80.87,6544
2024-08-30 12:00:00,82.39,83.11,80.62,80.705,42949
2024-08-30 16:00:00,80.805,82.049,80.59,81.48,256464
2024-08-30 20:00:00,81.42,81.42,81.42,81.42,21888
2024-09-03 12:00:00,79.61,79.78,75.03,75.16,116968
