datetime,open,high,low,close,volume
2024-08-01 08:00:00,190.18,190.2,189.77,189.83,10815.0
2024-08-01 08:02:00,189.73,189.88,189.73,189.8,2610.0
2024-08-01 08:04:00,189.74,189.8,189.63,189.64,3882.0
2024-08-01 08:06:00,189.57,189.57,189.57,189.57,609.0
2024-08-01 08:08:00,189.57,189.57,189.06,189.26,6067.0
2024-08-01 08:10:00,189.09,189.15,189.0,189.15,5843.0
2024-08-01 08:12:00,189.04,189.04,188.7,188.7,3622.0
2024-08-01 08:14:00,188.8,188.8,188.8,188.8,613.0
2024-08-01 08:16:00,189.0,189.0,189.0,189.0,1124.0
2024-08-01 08:18:00,189.39,189.5,189.39,189.45,3917.0
2024-08-01 08:20:00,189.45,189.45,189.0,189.0,2903.0
2024-08-01 08:22:00,188.96,189.12,188.96,189.0,3452.0
2024-08-01 08:26:00,189.03,189.03,188.88,188.88,3266.0
2024-08-01 08:28:00,188.92,188.92,188.92,188.92,1830.0
2024-08-01 08:32:00,189.0,189.0,189.0,189.0,639.0
2024-08-01 08:34:00,189.2,189.2,189.2,189.2,206.0
2024-08-01 08:38:00,189.11,189.11,189.0,189.0,3296.0
2024-08-01 08:40:00,188.95,188.95,188.68,188.72,1515.0
2024-08-01 08:42:00,188.9,188.95,188.9,188.95,588.0
2024-08-01 08:44:00,188.9,189.01,188.9,189.01,1257.0
2024-08-01 08:48:00,188.9,189.0,188.8,189.0,4359.0
2024-08-01 08:50:00,188.91,188.91,188.91,188.91,230.0
2024-08-01 08:52:00,188.88,188.88,188.78,188.78,1087.0
2024-08-01 09:00:00,188.61,188.61,188.51,188.51,592.0
2024-08-01 09:02:00,188.51,188.51,188.41,188.41,879.0
2024-08-01 09:04:00,188.65,188.65,188.6,188.6,2408.0
2024-08-01 09:06:00,188.84,188.84,188.81,188.81,1339.0
2024-08-01 09:08:00,188.79,188.9,188.79,188.9,1161.0
2024-08-01 09:10:00,188.87,188.87,188.72,188.72,2174.0
2024-08-01 09:12:00,188.98,189.0,188.98,189.0,2595.0
2024-08-01 09:14:00,189.0,189.0,188.9,189.0,3246.0
2024-08-01 09:16:00,189.0,189.0,189.0,189.0,1286.0
2024-08-01 09:18:00,188.95,188.95,188.95,188.95,1033.0
2024-08-01 09:20:00,189.0,189.0,189.0,189.0,361.0
2024-08-01 09:24:00,189.2,189.2,189.0,189.0,2129.0
2024-08-01 09:26:00,189.2,189.2,189.2,189.2,1187.0
2024-08-01 09:28:00,189.0,189.0,189.0,189.0,1201.0
2024-08-01 09:30:00,189.0,189.0,189.0,189.0,1387.0
2024-08-01 09:32:00,189.0,189.01,189.0,189.0,3388.0
2024-08-01 09:36:00,189.03,189.03,189.03,189.03,332.0
2024-08-01 09:38:00,189.32,189.32,189.32,189.32,379.0
2024-08-01 09:44:00,189.2,189.2,189.19,189.2,856.0
2024-08-01 09:46:00,189.41,189.44,189.41,189.44,1919.0
2024-08-01 09:52:00,189.43,189.43,189.4,189.4,947.0
2024-08-01 09:54:00,189.44,189.44,189.32,189.32,1493.0
2024-08-01 09:56:00,189.32,189.32,189.29,189.29,1507.0
2024-08-01 09:58:00,189.3,189.3,189.2,189.2,1160.0
2024-08-01 10:04:00,189.24,189.24,189.24,189.24,144.0
2024-08-01 10:06:00,189.16,189.16,189.11,189.11,1123.0
2024-08-01 10:10:00,189.26,189.26,189.25,189.25,1510.0
2024-08-01 10:14:00,189.35,189.35,189.35,189.35,229.0
2024-08-01 10:18:00,189.3,189.35,189.3,189.35,620.0
2024-08-01 10:20:00,189.35,189.35,189.35,189.35,212.0
2024-08-01 10:22:00,189.35,189.35,189.35,189.35,501.0
2024-08-01 10:26:00,189.35,189.35,189.35,189.35,1649.0
2024-08-01 10:28:00,189.35,189.35,189.35,189.35,221.0
2024-08-01 10:30:00,189.35,189.35,189.32,189.32,2894.0
2024-08-01 10:32:00,189.3,189.3,189.3,189.3,268.0
2024-08-01 10:34:00,189.25,189.25,188.99,188.99,3362.0
2024-08-01 10:36:00,188.88,188.88,188.8,188.8,1513.0
2024-08-01 10:40:00,188.98,188.98,188.9,188.9,2638.0
2024-08-01 10:42:00,188.9,188.9,188.9,188.9,2801.0
2024-08-01 10:44:00,188.95,188.95,188.95,188.95,1265.0
2024-08-01 10:46:00,189.0,189.04,189.0,189.04,959.0
2024-08-01 10:48:00,189.28,189.28,189.28,189.28,271.0
2024-08-01 10:52:00,189.21,189.26,189.17,189.26,1192.0
2024-08-01 10:56:00,189.06,189.06,189.06,189.06,783.0
2024-08-01 11:00:00,189.29,189.5,189.25,189.5,14706.0
2024-08-01 11:02:00,189.63,189.7,189.5,189.5,7776.0
2024-08-01 11:04:00,189.5,189.6,189.5,189.6,2045.0
2024-08-01 11:06:00,189.56,189.75,189.56,189.75,3000.0
2024-08-01 11:08:00,189.8,189.94,189.8,189.88,2074.0
2024-08-01 11:10:00,189.9,190.01,189.9,190.01,8651.0
2024-08-01 11:12:00,190.0,190.04,189.94,190.04,8634.0
2024-08-01 11:14:00,190.08,190.25,190.08,190.25,5500.0
2024-08-01 11:16:00,190.32,190.32,190.1,190.1,4908.0
2024-08-01 11:18:00,190.141,190.2,190.141,190.2,2734.0
2024-08-01 11:20:00,190.17,190.22,190.0,190.22,6144.0
2024-08-01 11:22:00,190.12,190.12,189.99,190.0,6073.0
2024-08-01 11:24:00,189.86,190.0,189.86,190.0,2988.0
2024-08-01 11:26:00,190.0,190.13,190.0,190.13,3709.0
2024-08-01 11:28:00,190.16,190.2,190.16,190.2,4651.0
2024-08-01 11:30:00,190.2,190.3,190.19,190.19,10560.0
2024-08-01 11:32:00,190.15,190.39,190.15,190.39,6034.0
2024-08-01 11:34:00,190.45,190.45,190.41,190.41,1871.0
2024-08-01 11:36:00,190.43,190.5,190.42,190.5,6662.0
2024-08-01 11:38:00,190.55,190.87,190.53,190.87,14872.0
2024-08-01 11:40:00,190.8,190.89,190.74,190.87,10373.0
2024-08-01 11:42:00,190.86,191.19,190.86,191.15,18050.0
2024-08-01 11:44:00,191.2,191.39,191.13,191.25,12236.0
2024-08-01 11:46:00,191.2,191.49,191.05,191.34,15616.0
2024-08-01 11:48:00,191.4,191.4,191.02,191.02,9455.0
2024-08-01 11:50:00,191.0,191.0,190.79,190.82,14510.0
2024-08-01 11:52:00,190.82,190.82,190.76,190.8,3485.0
2024-08-01 11:54:00,190.78,190.9,190.53,190.53,13842.0
2024-08-01 11:56:00,190.63,190.8,190.52,190.59,7577.0
2024-08-01 11:58:00,190.77,190.77,190.51,190.51,2829.0
2024-08-01 12:00:00,189.35,191.4,188.9175,190.25,130240.0
2024-08-01 12:02:00,190.49,191.0,189.95,190.7,29486.0
2024-08-01 12:04:00,190.68,191.0,190.6,190.6,8828.0
2024-08-01 12:06:00,190.73,190.73,190.5717,190.73,4793.0
2024-08-01 12:08:00,190.69,190.79,190.6725,190.79,4643.0
2024-08-01 12:10:00,190.79,190.85,190.67,190.85,13921.0
2024-08-01 12:12:00,190.7272,190.82,190.7046,190.78,4425.0
2024-08-01 12:14:00,190.78,190.7836,190.7,190.71,5934.0
2024-08-01 12:16:00,190.7,190.7771,190.65,190.68,5427.0
2024-08-01 12:18:00,190.65,190.66,190.5004,190.59,7654.0
2024-08-01 12:20:00,190.5,190.6,190.35,190.5,16295.0
2024-08-01 12:22:00,190.4,190.6,190.28,190.55,16811.0
2024-08-01 12:24:00,190.6,190.64,190.33,190.35,11438.0
2024-08-01 12:26:00,190.3729,190.3729,190.12,190.2,21787.0
2024-08-01 12:28:00,190.25,190.43,190.11,190.43,9189.0
2024-08-01 12:30:00,190.27,190.69,190.27,190.69,15706.0
2024-08-01 12:32:00,190.61,190.61,190.39,190.39,8105.0
