datetime,open,high,low,close,volume
2024-08-01 08:20:00,48.36,48.36,48.36,48.36,374.0
2024-08-01 08:52:00,48.35,48.35,48.35,48.35,1432.0
2024-08-01 10:34:00,48.31,48.31,48.31,48.31,511.0
2024-08-01 11:10:00,48.32,48.32,48.32,48.32,218.0
2024-08-01 11:12:00,48.37,48.38,48.37,48.38,1550.0
2024-08-01 11:20:00,48.32,48.32,48.32,48.32,743.0
2024-08-01 11:42:00,48.32,48.32,48.32,48.32,119.0
2024-08-01 11:44:00,48.32,48.32,48.3,48.31,1703.0
2024-08-01 11:48:00,48.18,48.18,48.18,48.18,2344.0
2024-08-01 11:50:00,48.12,48.12,48.09,48.09,733.0
2024-08-01 11:58:00,48.13,48.13,48.13,48.13,909.0
2024-08-01 12:00:00,48.35,48.36,48.0916,48.18,168166.0
2024-08-01 12:02:00,48.48,48.48,48.48,48.48,509.0
2024-08-01 12:18:00,48.18,48.18,48.18,48.18,325.0
2024-08-01 12:46:00,48.4,48.4,48.4,48.4,826.0
2024-08-01 12:48:00,48.42,48.43,48.41,48.41,2117.0
2024-08-01 13:16:00,48.41,48.41,48.41,48.41,1535.0
2024-08-01 13:20:00,48.45,48.45,48.45,48.45,672.0
2024-08-01 13:24:00,48.5,48.5,48.5,48.5,411.0
2024-08-01 13:26:00,48.62,48.62,48.62,48.62,332.0
2024-08-01 13:30:00,48.62,48.71,48.6,48.66,269816.0
2024-08-01 13:32:00,48.62,48.66,48.55,48.57,17862.0
2024-08-01 13:34:00,48.57,48.63,48.53,48.55,39484.0
2024-08-01 13:36:00,48.55,48.64,48.53,48.64,39827.0
2024-08-01 13:38:00,48.65,48.72,48.63,48.69,64219.0
2024-08-01 13:40:00,48.6995,48.71,48.63,48.66,27776.0
2024-08-01 13:42:00,48.65,48.65,48.54,48.56,42536.0
2024-08-01 13:44:00,48.5603,48.57,48.48,48.48,38702.0
2024-08-01 13:46:00,48.48,48.53,48.43,48.43,67501.0
2024-08-01 13:48:00,48.45,48.49,48.43,48.48,46326.0
2024-08-01 13:50:00,48.485,48.54,48.47,48.5,44566.0
2024-08-01 13:52:00,48.5,48.5,48.395,48.395,37210.0
2024-08-01 13:54:00,48.395,48.47,48.39,48.415,35429.0
2024-08-01 13:56:00,48.42,48.48,48.39,48.475,25154.0
2024-08-01 13:58:00,48.475,48.49,48.44,48.44,29098.0
2024-08-01 14:00:00,48.43,48.45,48.38,48.445,82363.0
2024-08-01 14:02:00,48.44,48.54,48.435,48.51,31871.0
2024-08-01 14:04:00,48.5118,48.515,48.45,48.45,26929.0
2024-08-01 14:06:00,48.445,48.45,48.345,48.36,89291.0
2024-08-01 14:08:00,48.36,48.36,48.295,48.31,45888.0
2024-08-01 14:10:00,48.305,48.36,48.3,48.34,45405.0
2024-08-01 14:12:00,48.335,48.34,48.265,48.309,53181.0
2024-08-01 14:14:00,48.31,48.325,48.225,48.235,53675.0
2024-08-01 14:16:00,48.235,48.26,48.15,48.16,60724.0
