datetime,open,high,low,close,volume
2024-08-01 12:12:00,149.49,149.49,149.49,149.49,761
2024-08-01 13:18:00,149.05,149.05,148.63,148.63,524
2024-08-01 13:28:00,149.5,150.0,149.5,150.0,1380
2024-08-01 13:30:00,150.26,151.09,150.26,151.025,28924
2024-08-01 13:32:00,151.025,151.18,150.81,150.81,1802
2024-08-01 13:34:00,151.02,151.135,150.82,151.135,1703
2024-08-01 13:36:00,151.08,151.73,151.08,151.68,2557
2024-08-01 13:38:00,152.0,152.385,151.85,152.17,8797
2024-08-01 13:40:00,152.14,152.14,151.75,151.75,5601
2024-08-01 13:42:00,151.695,152.07,151.61,151.975,4128
2024-08-01 13:44:00,152.14,152.265,152.09,152.265,3128
2024-08-01 13:46:00,152.36,152.39,152.26,152.35,2085
2024-08-01 13:48:00,152.355,152.4,152.27,152.4,3986
2024-08-01 13:50:00,152.305,152.305,152.08,152.08,4712
2024-08-01 13:52:00,151.99,152.31,151.96,152.3,3374
2024-08-01 13:54:00,152.185,152.3,151.97,151.985,7908
2024-08-01 13:56:00,151.99,152.22,151.99,152.07,3513
2024-08-01 13:58:00,152.07,152.07,151.81,151.93,5614
2024-08-01 14:00:00,151.89,152.44,151.81,152.44,28661
2024-08-01 14:02:00,152.32,152.655,152.31,152.5,7502
2024-08-01 14:04:00,152.48,152.7,152.48,152.65,3048
2024-08-01 14:06:00,152.62,152.65,152.44,152.555,15347
2024-08-01 14:08:00,152.46,152.7,152.46,152.7,13860
2024-08-01 14:10:00,152.76,152.83,152.67,152.74,9079
2024-08-01 14:12:00,152.74,152.895,152.74,152.895,6611
2024-08-01 14:14:00,152.91,152.92,152.53,152.65,21489
2024-08-01 14:16:00,152.67,152.67,152.49,152.56,22322
2024-08-01 14:18:00,152.5,152.545,152.31,152.405,10710
2024-08-01 14:20:00,152.475,152.62,152.4,152.42,6265
2024-08-01 14:22:00,152.485,152.63,152.485,152.63,4314
2024-08-01 14:24:00,152.65,152.88,152.65,152.865,6188
2024-08-01 14:26:00,152.86,152.96,152.81,152.935,7660
2024-08-01 14:28:00,153.01,153.01,152.5778,152.5778,13035
2024-08-01 14:30:00,152.61,152.73,152.54,152.6809,3687
2024-08-01 14:32:00,152.67,152.84,152.58,152.825,8582
2024-08-01 14:34:00,152.805,153.12,152.805,152.9609,11124
2024-08-01 14:36:00,152.89,152.95,152.73,152.83,9069
2024-08-01 14:38:00,152.86,153.1923,152.86,152.965,9587
2024-08-01 14:40:00,153.085,153.17,153.075,153.075,3718
2024-08-01 14:42:00,153.075,153.075,152.73,152.8,7308
2024-08-01 14:44:00,152.845,152.94,152.77,152.77,4766
2024-08-01 14:46:00,152.81,153.06,152.81,152.98,5058
2024-08-01 14:48:00,152.9,152.9,152.66,152.66,10784
2024-08-01 14:50:00,152.665,152.79,152.56,152.56,4018
2024-08-01 14:52:00,152.52,152.52,152.35,152.42,2454
2024-08-01 14:54:00,152.45,152.48,152.3342,152.4221,11102
2024-08-01 14:56:00,152.44,152.48,152.22,152.36,11597
2024-08-01 14:58:00,152.34,152.39,152.11,152.235,7693
2024-08-01 15:00:00,152.18,152.22,152.1,152.22,3567
2024-08-01 15:02:00,152.195,152.3,152.195,152.235,2735
2024-08-01 15:04:00,152.235,152.235,152.08,152.12,5011
2024-08-01 15:06:00,152.19,152.32,152.17,152.19,5235
2024-08-01 15:08:00,152.21,152.38,152.16,152.31,3300
2024-08-01 15:10:00,152.275,152.315,152.1215,152.24,6277
2024-08-01 15:12:00,152.19,152.19,152.0705,152.0705,4372
2024-08-01 15:14:00,152.16,152.305,152.15,152.185,9977
2024-08-01 15:16:00,152.25,152.37,152.22,152.35,12409
2024-08-01 15:18:00,152.27,152.48,152.27,152.435,13333
2024-08-01 15:20:00,152.37,152.43,152.075,152.085,13968
2024-08-01 15:22:00,152.085,152.085,151.75,151.75,11959
2024-08-01 15:24:00,151.75,151.85,151.75,151.82,3377
2024-08-01 15:26:00,151.7863,151.96,151.7863,151.93,7629
2024-08-01 15:28:00,151.92,151.92,151.83,151.84,5292
2024-08-01 15:30:00,151.88,151.88,151.74,151.74,9196
2024-08-01 15:32:00,151.76,151.785,151.69,151.7,4944
2024-08-01 15:34:00,151.73,151.73,151.58,151.67,5727
2024-08-01 15:36:00,151.61,151.685,151.48,151.4875,13822
2024-08-01 15:38:00,151.48,151.484,151.4,151.4,3022
2024-08-01 15:40:00,151.4,151.48,151.305,151.48,5856
2024-08-01 15:42:00,151.505,151.505,151.22,151.265,8086
2024-08-01 15:44:00,151.31,151.42,151.31,151.41,6288
2024-08-01 15:46:00,151.41,151.5,151.41,151.435,4243
2024-08-01 15:48:00,151.435,151.45,151.3,151.45,7852
2024-08-01 15:50:00,151.45,151.66,151.45,151.6,9876
2024-08-01 15:52:00,151.7,151.74,151.61,151.7391,4142
2024-08-01 15:54:00,151.74,151.95,151.74,151.95,4461
2024-08-01 15:56:00,152.0,152.0,151.85,151.96,6718
2024-08-01 15:58:00,152.015,152.08,151.919,151.975,3936
2024-08-01 16:00:00,152.02,152.02,151.91,151.94,5124
2024-08-01 16:02:00,151.945,152.06,151.945,151.98,5096
2024-08-01 16:04:00,152.0,152.15,152.0,152.12,5347
2024-08-01 16:06:00,152.12,152.19,152.12,152.17,1798
2024-08-01 16:08:00,152.235,152.289,152.23,152.289,2376
2024-08-01 16:10:00,152.245,152.245,151.84,151.9,13451
2024-08-01 16:12:00,151.93,151.95,151.86,151.925,5896
2024-08-01 16:14:00,151.89,152.26,151.89,152.26,3876
2024-08-01 16:16:00,152.32,152.3599,152.2,152.21,5776
2024-08-01 16:18:00,152.295,152.35,152.17,152.26,5694
2024-08-01 16:20:00,152.215,152.215,152.04,152.04,5320
2024-08-01 16:22:00,152.015,152.02,151.855,152.01,6048
2024-08-01 16:24:00,152.05,152.3,152.02,152.255,6750
2024-08-01 16:26:00,152.245,152.4,152.245,152.4,4806
2024-08-01 16:28:00,152.37,152.49,152.36,152.4575,2260
2024-08-01 16:30:00,152.42,152.52,152.335,152.425,14710
2024-08-01 16:32:00,152.39,152.395,152.21,152.36,5813
2024-08-01 16:34:00,152.325,152.325,152.25,152.28,2916
2024-08-01 16:36:00,152.28,152.42,152.28,152.3701,8953
2024-08-01 16:38:00,152.44,152.44,152.25,152.26,5830
2024-08-01 16:40:00,152.28,152.28,152.19,152.195,2526
2024-08-01 16:42:00,152.21,152.21,152.13,152.13,4546
2024-08-01 16:44:00,152.1575,152.23,152.09,152.12,9743
2024-08-01 16:46:00,152.16,152.26,152.1,152.22,11140
2024-08-01 16:48:00,152.15,152.22,152.14,152.185,6041
2024-08-01 16:50:00,152.195,152.2,152.11,152.17,5739
2024-08-01 16:52:00,152.18,152.31,152.17,152.31,4685
2024-08-01 16:54:00,152.34,152.36,152.225,152.27,9738
2024-08-01 16:56:00,152.345,152.425,152.33,152.3925,3139
2024-08-01 16:58:00,152.36,152.36,152.06,152.2,11338
2024-08-01 17:00:00,152.205,152.3,152.18,152.18,7155
2024-08-01 17:02:00,152.21,152.21,152.04,152.2,4456
2024-08-01 17:04:00,152.205,152.24,152.05,152.08,5654
2024-08-01 17:06:00,152.085,152.1025,152.01,152.01,3342
2024-08-01 17:08:00,151.98,152.02,151.89,151.915,5490
2024-08-01 17:10:00,151.915,152.1,151.8,151.82,23544
2024-08-01 17:12:00,151.82,151.88,151.77,151.77,5909
2024-08-01 17:14:00,151.7,151.7,151.505,151.525,5237
2024-08-01 17:16:00,151.54,151.58,151.45,151.58,5860
2024-08-01 17:18:00,151.56,151.72,151.48,151.48,7027
2024-08-01 17:20:00,151.52,151.54,151.475,151.5,2126
2024-08-01 17:22:00,151.5,151.51,151.41,151.43,4792
2024-08-01 17:24:00,151.44,151.51,151.43,151.505,3543
2024-08-01 17:26:00,151.505,151.64,151.425,151.64,8419
2024-08-01 17:28:00,151.58,151.65,151.555,151.56,4288
2024-08-01 17:30:00,151.53,151.59,151.4,151.49,9567
2024-08-01 17:32:00,151.5,151.55,151.39,151.39,5178
2024-08-01 17:34:00,151.39,151.4249,151.36,151.36,4154
2024-08-01 17:36:00,151.35,151.4872,151.34,151.405,10071
2024-08-01 17:38:00,151.425,151.5363,151.36,151.445,6003
2024-08-01 17:40:00,151.43,151.57,151.34,151.56,8732
2024-08-01 17:42:00,151.45,151.45,151.37,151.37,2601
2024-08-01 17:44:00,151.33,151.39,151.33,151.39,2154
2024-08-01 17:46:00,151.3,151.405,151.15,151.195,7102
2024-08-01 17:48:00,151.2,151.215,151.18,151.215,2039
2024-08-01 17:50:00,151.255,151.26,151.15,151.16,6863
2024-08-01 17:52:00,151.17,151.4066,151.15,151.38,3965
2024-08-01 17:54:00,151.415,151.58,151.4,151.58,3292
2024-08-01 17:56:00,151.5,151.58,151.39,151.58,10973
2024-08-01 17:58:00,151.52,151.68,151.52,151.66,2761
2024-08-01 18:00:00,151.68,151.78,151.62,151.675,10959
2024-08-01 18:02:00,151.68,151.68,151.59,151.63,3283
2024-08-01 18:04:00,151.635,151.76,151.6,151.76,18631
2024-08-01 18:06:00,151.72,151.785,151.71,151.785,1825
2024-08-01 18:08:00,151.75,151.75,151.51,151.52,7757
2024-08-01 18:10:00,151.5001,151.55,151.5001,151.545,1562
2024-08-01 18:12:00,151.54,151.54,151.33,151.38,8909
2024-08-01 18:14:00,151.38,151.4,151.31,151.4,4727
2024-08-01 18:16:00,151.4,151.45,151.39,151.45,5186
2024-08-01 18:18:00,151.425,151.4599,151.28,151.28,7002
2024-08-01 18:20:00,151.315,151.505,151.315,151.47,5533
