datetime,open,high,low,close,volume
2024-08-01 08:00:00,80.95,80.95,80.01,80.01,740.0
2024-08-01 08:02:00,80.02,80.03,80.01,80.03,636.0
2024-08-01 08:04:00,80.46,80.46,80.46,80.46,100.0
2024-08-01 08:06:00,79.99,79.99,79.98,79.98,272.0
2024-08-01 08:08:00,79.8,79.8,79.21,79.21,1277.0
2024-08-01 08:10:00,79.1,79.1,79.0,79.0,905.0
2024-08-01 08:12:00,78.51,78.51,78.49,78.49,1046.0
2024-08-01 08:14:00,78.0,78.0,78.0,78.0,133.0
2024-08-01 08:16:00,78.74,78.74,78.74,78.74,115.0
2024-08-01 08:24:00,78.74,78.74,78.74,78.74,934.0
2024-08-01 08:30:00,78.54,78.54,78.54,78.54,205.0
2024-08-01 08:36:00,78.7,78.7,78.58,78.58,1282.0
2024-08-01 08:40:00,78.75,78.75,78.7,78.7,389.0
2024-08-01 08:42:00,78.7,78.7,78.69,78.69,386.0
2024-08-01 09:02:00,78.77,78.77,78.77,78.77,228.0
2024-08-01 09:04:00,78.78,78.78,78.78,78.78,203.0
2024-08-01 09:14:00,79.0,79.0,79.0,79.0,1152.0
2024-08-01 09:28:00,79.72,80.0,79.72,80.0,13882.0
2024-08-01 09:38:00,79.69,79.7,79.69,79.7,880.0
2024-08-01 09:42:00,79.5,79.5,79.5,79.5,103.0
2024-08-01 10:56:00,79.47,79.47,79.47,79.47,200.0
2024-08-01 11:00:00,79.54,79.9,79.54,79.78,2318.0
2024-08-01 11:04:00,79.78,79.78,79.78,79.78,286.0
2024-08-01 11:06:00,79.7,79.7,79.7,79.7,210.0
2024-08-01 11:12:00,79.75,79.78,79.67,79.78,2811.0
2024-08-01 11:14:00,79.69,79.69,79.52,79.52,633.0
2024-08-01 11:16:00,79.75,79.75,79.6,79.6,620.0
2024-08-01 11:28:00,79.85,79.85,79.85,79.85,265.0
2024-08-01 11:36:00,79.94,80.0,79.88,80.0,2196.0
2024-08-01 11:40:00,80.18,80.53,80.18,80.5,3633.0
2024-08-01 11:42:00,80.21,80.21,80.2,80.2,538.0
2024-08-01 11:48:00,80.0,80.0,80.0,80.0,1947.0
2024-08-01 11:50:00,80.1,80.1,80.0,80.0,5885.0
2024-08-01 11:52:00,80.11,80.11,80.0,80.0,1413.0
2024-08-01 11:56:00,80.0,80.0,80.0,80.0,2666.0
2024-08-01 11:58:00,80.0,80.0,80.0,80.0,880.0
2024-08-01 12:00:00,79.94,80.4399,79.75,80.0,125511.0
2024-08-01 12:02:00,80.0,80.34,80.0,80.15,1844.0
2024-08-01 12:04:00,80.76,80.76,80.76,80.76,393.0
2024-08-01 12:06:00,80.0001,80.0001,80.0001,80.0001,236.0
2024-08-01 12:08:00,80.0063,80.0063,80.0063,80.0063,741.0
2024-08-01 12:10:00,80.04,80.04,80.04,80.04,150.0
2024-08-01 12:12:00,80.15,80.15,80.1,80.1,702.0
2024-08-01 12:14:00,80.04,80.17,80.04,80.17,498.0
2024-08-01 12:16:00,80.0,80.0,80.0,80.0,110.0
2024-08-01 12:18:00,80.19,80.19,80.19,80.19,213.0
2024-08-01 12:20:00,80.21,80.25,80.21,80.25,972.0
2024-08-01 12:24:00,80.4,80.42,80.4,80.42,1452.0
2024-08-01 12:28:00,80.25,80.25,80.25,80.25,391.0
2024-08-01 12:30:00,80.15,80.39,80.15,80.39,6580.0
2024-08-01 12:32:00,80.38,80.5,80.38,80.5,19308.0
2024-08-01 12:34:00,80.23,80.35,80.2,80.35,2696.0
2024-08-01 12:36:00,80.1,80.39,80.0,80.02,2240.0
2024-08-01 12:38:00,80.15,80.15,80.0,80.14,714.0
2024-08-01 12:40:00,80.0,80.06,79.57,79.7,20547.0
2024-08-01 12:42:00,79.71,79.76,79.63,79.63,2055.0
2024-08-01 12:44:00,79.96,79.96,79.7374,79.7374,362.0
2024-08-01 12:46:00,79.9,79.96,79.9,79.96,1773.0
2024-08-01 12:48:00,79.81,79.81,79.81,79.81,653.0
2024-08-01 12:50:00,79.91,79.96,79.91,79.96,1142.0
2024-08-01 12:52:00,80.0,80.0,80.0,80.0,920.0
2024-08-01 12:54:00,79.79,79.8,79.7,79.7,1907.0
2024-08-01 12:56:00,79.63,79.63,79.63,79.63,219.0
2024-08-01 12:58:00,79.67,79.71,79.55,79.7,1445.0
2024-08-01 13:00:00,79.68,79.68,79.59,79.59,1323.0
2024-08-01 13:02:00,79.57,79.57,79.57,79.57,488.0
2024-08-01 13:04:00,79.8,79.8,79.8,79.8,501.0
2024-08-01 13:06:00,79.46,79.46,79.2,79.2,1558.0
2024-08-01 13:10:00,79.2,79.2,79.2,79.2,551.0
2024-08-01 13:12:00,79.0,79.12,79.0,79.12,5439.0
2024-08-01 13:14:00,79.2,79.2,79.1,79.1,4290.0
2024-08-01 13:16:00,78.88,78.88,78.7,78.7,671.0
2024-08-01 13:18:00,78.8,78.8,78.8,78.8,534.0
2024-08-01 13:26:00,79.64,79.69,79.64,79.69,833.0
2024-08-01 13:28:00,79.6,80.06,79.6,79.99,3174.0
2024-08-01 13:30:00,79.75,80.9,79.465,79.63,325279.0
2024-08-01 13:32:00,79.4,79.6,78.4,78.92,82923.0
2024-08-01 13:34:00,78.94,79.95,78.81,79.5483,88116.0
2024-08-01 13:36:00,79.605,79.87,78.91,79.01,68104.0
2024-08-01 13:38:00,79.105,79.52,78.87,79.12,34245.0
2024-08-01 13:40:00,79.12,79.76,79.03,79.495,64172.0
2024-08-01 13:42:00,79.495,80.09,79.47,79.965,73946.0
2024-08-01 13:44:00,80.06,80.35,79.95,80.285,55190.0
2024-08-01 13:46:00,80.26,80.4,79.9,79.99,54319.0
2024-08-01 13:48:00,79.94,80.5,79.93,80.2,99967.0
2024-08-01 13:50:00,80.2,80.25,79.66,79.66,98862.0
2024-08-01 13:52:00,79.79,80.1599,79.6,79.99,28401.0
2024-08-01 13:54:00,80.035,80.09,79.7,80.07,53314.0
2024-08-01 13:56:00,80.09,80.14,79.82,79.875,55748.0
2024-08-01 13:58:00,79.875,79.88,79.26,79.295,56909.0
2024-08-01 14:00:00,79.295,79.52,79.12,79.5,43627.0
2024-08-01 14:02:00,79.51,79.55,78.95,79.06,62602.0
2024-08-01 14:04:00,79.0577,79.18,78.61,78.61,48973.0
2024-08-01 14:06:00,78.6,79.0,78.51,78.915,72465.0
2024-08-01 14:08:00,78.96,79.29,78.83,78.885,79992.0
2024-08-01 14:10:00,78.94,79.35,78.84,78.86,90021.0
2024-08-01 14:12:00,78.875,78.97,78.63,78.82,160886.0
2024-08-01 14:14:00,78.89,78.9699,78.21,78.3604,74650.0
2024-08-01 14:16:00,78.42,78.69,78.37,78.44,50616.0
2024-08-01 14:18:00,78.46,78.56,77.89,77.9,55273.0
2024-08-01 14:20:00,77.98,77.98,77.0601,77.17,108401.0
2024-08-01 14:22:00,77.21,77.41,76.9,77.05,54340.0
2024-08-01 14:24:00,76.97,77.28,76.93,77.0,70742.0
2024-08-01 14:26:00,77.05,77.37,76.9,77.29,54162.0
2024-08-01 14:28:00,77.29,77.37,77.0,77.05,32232.0
2024-08-01 14:30:00,77.09,77.475,76.96,77.14,63483.0
2024-08-01 14:32:00,77.18,77.22,76.75,76.94,36185.0
2024-08-01 14:34:00,77.04,77.28,77.04,77.18,34520.0
2024-08-01 14:36:00,77.07,77.22,76.65,76.65,54709.0
2024-08-01 14:38:00,76.7,77.24,76.69,77.05,52937.0
2024-08-01 14:40:00,77.135,77.49,76.92,76.92,139378.0
2024-08-01 14:42:00,76.92,77.0,76.43,76.68,45279.0
2024-08-01 14:44:00,76.68,76.83,76.25,76.4985,97651.0
2024-08-01 14:46:00,76.505,76.63,76.1,76.48,106423.0
2024-08-01 14:48:00,76.45,76.66,76.25,76.5,39486.0
2024-08-01 14:50:00,76.67,77.08,76.67,76.73,65126.0
2024-08-01 14:52:00,76.79,76.835,76.51,76.62,70262.0
2024-08-01 14:54:00,76.58,76.6699,76.25,76.445,132136.0
2024-08-01 14:56:00,76.4,76.65,76.365,76.38,39086.0
2024-08-01 14:58:00,76.42,76.455,76.06,76.17,33912.0
2024-08-01 15:00:00,76.14,76.25,75.88,76.07,45518.0
2024-08-01 15:02:00,76.09,76.1833,75.81,75.84,24700.0
2024-08-01 15:04:00,75.82,75.98,75.73,75.89,35503.0
2024-08-01 15:06:00,75.86,75.97,75.78,75.88,40497.0
2024-08-01 15:08:00,75.93,76.04,75.81,75.86,32709.0
2024-08-01 15:10:00,75.81,75.905,75.7,75.8,114245.0
2024-08-01 15:12:00,75.82,75.88,75.61,75.62,54933.0
2024-08-01 15:14:00,75.61,75.77,75.3735,75.51,194433.0
2024-08-01 15:16:00,75.47,75.865,75.47,75.865,99979.0
2024-08-01 15:18:00,75.8349,75.89,75.52,75.7,60136.0
2024-08-01 15:20:00,75.65,75.75,75.53,75.55,95141.0
2024-08-01 15:22:00,75.62,75.64,74.99,75.02,112628.0
2024-08-01 15:24:00,75.012,75.675,75.012,75.675,63040.0
2024-08-01 15:26:00,75.6722,75.7,75.55,75.56,29829.0
2024-08-01 15:28:00,75.6088,75.67,75.49,75.525,47488.0
2024-08-01 15:30:00,75.525,75.5375,75.19,75.31,33852.0
2024-08-01 15:32:00,75.25,75.405,75.22,75.25,20229.0
2024-08-01 15:34:00,75.25,75.27,75.05,75.11,25121.0
2024-08-01 15:36:00,75.2299,75.2299,74.9,74.99,42500.0
2024-08-01 15:38:00,75.005,75.0968,74.91,75.0478,29861.0
2024-08-01 15:40:00,75.02,75.02,74.76,74.7605,112814.0
2024-08-01 15:42:00,74.79,74.79,74.42,74.535,83733.0
2024-08-01 15:44:00,74.54,74.56,74.13,74.15,122673.0
2024-08-01 15:46:00,74.175,74.29,73.78,73.91,91652.0
2024-08-01 15:48:00,73.91,74.37,73.76,74.33,129186.0
2024-08-01 15:50:00,74.3,74.79,74.3,74.79,50430.0
2024-08-01 15:52:00,74.73,75.65,74.73,75.32,113736.0
2024-08-01 15:54:00,75.33,75.47,75.1201,75.41,45878.0
2024-08-01 15:56:00,75.41,75.57,75.36,75.41,36729.0
2024-08-01 15:58:00,75.37,75.55,75.11,75.12,97516.0
2024-08-01 16:00:00,75.16,75.48,75.15,75.455,30296.0
2024-08-01 16:02:00,75.455,75.6199,75.34,75.54,31174.0
2024-08-01 16:04:00,75.54,75.74,75.5,75.56,92868.0
2024-08-01 16:06:00,75.52,75.85,75.5,75.81,50522.0
2024-08-01 16:08:00,75.77,75.8083,75.48,75.5,48951.0
2024-08-01 16:10:00,75.47,75.56,75.33,75.43,18215.0
2024-08-01 16:12:00,75.43,75.5995,75.395,75.4,39663.0
2024-08-01 16:14:00,75.385,75.62,75.385,75.565,24447.0
2024-08-01 16:16:00,75.52,75.61,75.35,75.46,19930.0
