datetime,open,high,low,close,volume
2024-08-01 11:00:00,10.01,10.04,10.01,10.04,208.0
2024-08-01 11:30:00,10.05,10.05,10.05,10.05,300.0
2024-08-01 12:00:00,10.2,10.2,10.2,10.2,160.0
2024-08-01 13:00:00,10.0,10.0,10.0,10.0,202.0
2024-08-01 13:30:00,9.91,10.06,9.91,10.0,292369.0
2024-08-01 14:00:00,9.99,10.0,9.805,9.81,448373.0
2024-08-01 14:30:00,9.81,9.825,9.76,9.765,397670.0
2024-08-01 15:00:00,9.765,9.79,9.715,9.725,438434.0
2024-08-01 15:30:00,9.725,9.725,9.6,9.64,581421.0
2024-08-01 16:00:00,9.64,9.68,9.595,9.6201,540886.0
2024-08-01 16:30:00,9.62,9.63,9.56,9.585,886313.0
2024-08-01 17:00:00,9.58,9.58,9.5,9.545,750167.0
2024-08-01 17:30:00,9.545,9.58,9.47,9.575,772301.0
2024-08-01 18:00:00,9.58,9.585,9.475,9.4898,780319.0
2024-08-01 18:30:00,9.485,9.51,9.45,9.455,966542.0
2024-08-01 19:00:00,9.455,9.53,9.45,9.53,1161964.0
2024-08-01 19:30:00,9.53,9.585,9.485,9.515,2412053.0
2024-08-01 20:00:00,9.52,9.99,9.52,9.84,4437.0
2024-08-01 20:30:00,9.81,9.81,9.52,9.52,726674.0
2024-08-01 21:00:00,9.81,9.83,9.81,9.83,5719.0
2024-08-01 21:30:00,9.79,9.83,9.64,9.64,3920.0
2024-08-01 22:00:00,9.65,9.77,9.52,9.6413,4234.0
2024-08-01 22:30:00,9.75,9.82,9.64,9.74,854.0
2024-08-01 23:00:00,9.64,9.74,9.58,9.58,1080.0
2024-08-01 23:30:00,9.5,9.5,9.5,9.5,150.0
2024-08-02 08:00:00,9.39,9.4,9.39,9.4,1588.0
2024-08-02 09:00:00,9.38,9.38,9.33,9.33,2231.0
2024-08-02 10:00:00,9.3,9.4,9.3,9.4,1455.0
2024-08-02 10:30:00,9.42,9.42,9.31,9.31,394.0
2024-08-02 11:00:00,9.37,9.37,9.36,9.37,2797.0
2024-08-02 11:30:00,9.43,9.43,9.36,9.36,5166.0
2024-08-02 12:00:00,9.36,9.36,9.31,9.32,1254.0
2024-08-02 12:30:00,9.32,9.32,9.19,9.2,6052.0
2024-08-02 13:00:00,9.18,9.18,9.1,9.1,3382.0
2024-08-02 13:30:00,9.14,9.22,9.0,9.1,752044.0
2024-08-02 14:00:00,9.09,9.12,8.97,9.02,602223.0
2024-08-02 14:30:00,9.025,9.065,8.96,8.97,630188.0
2024-08-02 15:00:00,8.97,9.02,8.95,8.995,567437.0
2024-08-02 15:30:00,8.995,9.12,8.985,9.065,852520.0
2024-08-02 16:00:00,9.07,9.08,8.995,9.025,741692.0
2024-08-02 16:30:00,9.02,9.025,8.935,8.94,550565.0
2024-08-02 17:00:00,8.945,8.975,8.92,8.925,462619.0
2024-08-02 17:30:00,8.925,8.93,8.895,8.92,384048.0
2024-08-02 18:00:00,8.92,8.945,8.88,8.945,384477.0
2024-08-02 18:30:00,8.94,8.965,8.915,8.92,418073.0
2024-08-02 19:00:00,8.92,8.96,8.915,8.94,626503.0
2024-08-02 19:30:00,8.945,8.97,8.88,8.93,2520842.0
2024-08-02 20:00:00,8.93,9.49,8.93,9.49,88760.0
2024-08-02 20:30:00,9.14,9.49,9.04,9.4,18582.0
2024-08-02 21:00:00,9.4,9.4,8.93,9.35,243007.0
2024-08-02 21:30:00,9.15,9.34,9.15,9.34,574.0
2024-08-02 22:30:00,9.3,9.37,9.25,9.28,1109.0
2024-08-05 08:00:00,8.49,8.65,8.49,8.58,925.0
2024-08-05 08:30:00,8.64,8.64,8.64,8.64,208.0
2024-08-05 09:30:00,8.56,8.56,8.56,8.56,322.0
2024-08-05 10:00:00,8.49,8.49,8.49,8.49,388.0
2024-08-05 11:00:00,8.3,8.31,8.3,8.31,3717.0
2024-08-05 11:30:00,8.39,8.39,8.31,8.32,5005.0
2024-08-05 12:00:00,8.4197,8.46,8.01,8.3,2456.0
