datetime,open,high,low,close,volume
2024-08-01 08:05:00,66.98,66.98,66.98,66.98,660.0
2024-08-01 08:10:00,66.59,66.59,66.59,66.59,363.0
2024-08-01 08:30:00,66.59,66.59,66.59,66.59,208.0
2024-08-01 08:35:00,66.59,66.59,66.59,66.59,350.0
2024-08-01 08:45:00,66.53,66.53,66.51,66.51,673.0
2024-08-01 08:50:00,66.53,66.6,66.53,66.6,1578.0
2024-08-01 09:10:00,66.9,66.9,66.9,66.9,1046.0
2024-08-01 09:35:00,66.95,67.0,66.95,66.99,2474.0
2024-08-01 11:00:00,66.98,66.99,66.98,66.99,1427.0
2024-08-01 11:05:00,67.11,67.15,67.11,67.15,1451.0
2024-08-01 11:10:00,67.43,67.43,67.43,67.43,459.0
2024-08-01 11:15:00,67.4,67.44,67.4,67.4,3084.0
2024-08-01 11:20:00,67.15,67.15,67.15,67.15,136.0
2024-08-01 11:25:00,67.25,67.25,67.25,67.25,201.0
2024-08-01 11:30:00,67.25,67.28,67.19,67.19,870.0
2024-08-01 11:40:00,67.15,67.15,67.15,67.15,241.0
2024-08-01 11:45:00,67.15,67.15,67.15,67.15,640.0
2024-08-01 12:00:00,67.45,67.45,66.75,66.75,7495.0
2024-08-01 12:05:00,66.96,66.98,66.96,66.98,580.0
2024-08-01 12:20:00,67.06,67.06,67.06,67.06,210.0
2024-08-01 12:25:00,67.1799,67.1799,67.1799,67.1799,100.0
2024-08-01 12:30:00,67.1,67.12,67.08,67.08,953.0
2024-08-01 12:35:00,67.02,67.02,67.0,67.0,1081.0
2024-08-01 12:40:00,66.8108,66.8108,66.72,66.72,6113.0
2024-08-01 12:50:00,66.75,66.75,66.75,66.75,101.0
2024-08-01 12:55:00,66.7,66.7,66.5,66.6,2244.0
2024-08-01 13:10:00,66.25,66.25,66.25,66.25,555.0
2024-08-01 13:20:00,66.1,66.1,65.99,66.0,3646.0
2024-08-01 13:25:00,65.63,65.82,65.24,65.5,8594.0
2024-08-01 13:30:00,65.55,66.56,65.55,66.23,365799.0
2024-08-01 13:35:00,66.2687,66.74,66.07,66.54,76033.0
2024-08-01 13:40:00,66.565,66.79,66.37,66.79,80403.0
2024-08-01 13:45:00,66.76,66.76,66.25,66.33,90298.0
2024-08-01 13:50:00,66.33,66.86,66.17,66.63,87203.0
2024-08-01 13:55:00,66.595,66.9,66.5425,66.74,53256.0
2024-08-01 14:00:00,66.69,66.9,66.415,66.415,85182.0
2024-08-01 14:05:00,66.41,66.57,66.22,66.4,116501.0
2024-08-01 14:10:00,66.39,66.57,66.24,66.345,59212.0
2024-08-01 14:15:00,66.325,66.46,65.915,66.1199,57573.0
