datetime,open,high,low,close,volume
2024-08-01 12:00:00,32.86,32.86,32.86,32.86,126
2024-08-01 13:00:00,32.82,32.82,31.75,32.155,150232
2024-08-01 14:00:00,32.145,32.145,30.725,30.85,406534
2024-08-01 15:00:00,30.85,30.94,30.41,30.49,235591
2024-08-01 16:00:00,30.48,30.65,30.13,30.255,202112
2024-08-01 17:00:00,30.24,30.27,29.61,29.93,262141
2024-08-01 18:00:00,29.92,30.09,29.42,29.53,314511
2024-08-01 19:00:00,29.53,30.36,29.52,30.01,634381
2024-08-01 20:00:00,30.01,30.01,29.5,29.5,6826
2024-08-01 21:00:00,29.92,29.92,29.92,29.92,1109
2024-08-02 08:00:00,29.65,29.69,29.58,29.58,1527
2024-08-02 10:00:00,29.64,29.69,29.64,29.69,1017
2024-08-02 11:00:00,29.13,29.58,28.83,29.57,6036
2024-08-02 12:00:00,29.5,29.5,28.0,28.62,7696
2024-08-02 13:00:00,28.3,29.45,28.02,28.965,328500
2024-08-02 14:00:00,28.93,29.1925,28.46,28.78,288426
2024-08-02 15:00:00,28.76,29.19,28.62,28.93,259806
2024-08-02 16:00:00,28.96,29.12,28.72,28.86,247710
2024-08-02 17:00:00,28.86,28.975,28.74,28.84,230775
2024-08-02 18:00:00,28.845,28.965,28.505,28.67,272242
2024-08-02 19:00:00,28.67,28.7,28.401,28.64,568522
2024-08-02 20:00:00,28.63,28.63,28.63,28.63,47427
2024-08-02 21:00:00,28.63,28.63,28.63,28.63,37417
2024-08-02 22:00:00,29.19,29.19,29.17,29.17,203
2024-08-05 08:00:00,28.11,28.11,27.0,27.62,1316
2024-08-05 09:00:00,27.36,27.39,27.36,27.39,1500
2024-08-05 10:00:00,26.67,26.67,26.66,26.66,3277
2024-08-05 11:00:00,26.84,27.0,26.42,26.6,16061
2024-08-05 12:00:00,26.0,26.6,25.9499,25.9499,1634
2024-08-05 13:00:00,26.25,28.18,26.07,27.84,181942
2024-08-05 14:00:00,27.93,28.63,27.46,27.7,239193
2024-08-05 15:00:00,27.76,28.51,27.64,28.374,190855
2024-08-05 16:00:00,28.42,29.02,28.34,28.44,167844
2024-08-05 17:00:00,28.42,28.65,28.2306,28.26,187262
2024-08-05 18:00:00,28.24,28.34,27.99,28.01,192247
2024-08-05 19:00:00,28.05,28.19,27.84,28.12,473894
2024-08-05 20:00:00,28.09,28.29,27.3999,28.29,26756
2024-08-05 21:00:00,28.09,28.09,28.09,28.09,5257
2024-08-05 23:00:00,28.35,28.55,28.34,28.55,673
2024-08-06 09:00:00,28.71,28.85,28.71,28.85,250
2024-08-06 11:00:00,28.79,28.79,28.79,28.79,100
2024-08-06 12:00:00,28.41,28.41,28.41,28.41,230
2024-08-06 13:00:00,28.23,28.83,27.78,28.35,129833
2024-08-06 14:00:00,28.34,28.76,28.205,28.55,166348
2024-08-06 15:00:00,28.56,28.75,28.29,28.62,193389
2024-08-06 16:00:00,28.64,29.08,28.59,29.035,172042
2024-08-06 17:00:00,29.04,29.21,28.9,29.11,213218
2024-08-06 18:00:00,29.11,29.245,29.0,29.0,193014
2024-08-06 19:00:00,28.97,29.03,28.52,28.58,514305
2024-08-06 20:00:00,28.59,28.92,28.59,28.92,31703
2024-08-07 09:00:00,28.99,28.99,28.99,28.99,175
2024-08-07 10:00:00,28.99,28.99,28.99,28.99,101
2024-08-07 12:00:00,29.25,29.25,29.24,29.24,200
