datetime,open,high,low,close,volume
2024-08-01 12:00:00,127.34,127.34,127.3,127.3,389
2024-08-01 13:30:00,126.43,128.12,125.075,125.075,320143
2024-08-01 15:00:00,125.12,125.12,123.325,123.645,189626
2024-08-01 16:30:00,123.62,123.79,122.01,122.76,156921
2024-08-01 18:00:00,122.72,122.76,121.37,121.605,359753
2024-08-01 19:30:00,121.72,122.59,121.67,122.51,384994
2024-08-01 21:00:00,122.51,122.51,122.51,122.51,407
2024-08-02 12:00:00,122.13,122.13,118.07,120.13,3510
2024-08-02 13:30:00,120.205,120.58,117.91,118.185,419877
2024-08-02 15:00:00,118.185,119.73,117.61,119.3901,225281
2024-08-02 16:30:00,119.4154,119.68,118.23,118.36,197566
2024-08-02 18:00:00,118.39,119.23,118.35,119.11,284025
2024-08-02 19:30:00,119.095,119.28,118.73,119.05,342542
2024-08-02 22:30:00,118.83,118.83,118.83,118.83,352
2024-08-05 07:30:00,112.36,112.36,112.36,112.36,253
2024-08-05 10:30:00,113.6,113.6,113.6,113.6,351
2024-08-05 12:00:00,113.08,114.375,111.136,113.82,7218
2024-08-05 13:30:00,113.82,115.87,113.18,113.7601,553481
2024-08-05 15:00:00,113.845,116.03,113.45,116.02,277442
2024-08-05 16:30:00,116.0,116.0,114.59,115.03,195996
2024-08-05 18:00:00,115.03,115.659,114.62,115.625,271796
2024-08-05 19:30:00,115.734,115.885,115.04,115.596126,453493
2024-08-05 21:00:00,112.9537,112.9537,112.9537,112.9537,200
2024-08-06 13:30:00,116.29,118.72,115.81,118.6,286224
2024-08-06 15:00:00,118.605,118.86,117.59,118.28,149342
2024-08-06 16:30:00,118.305,118.77,117.88,118.15,151201
2024-08-06 18:00:00,118.14,118.81,117.37,117.75,189731
2024-08-06 19:30:00,117.83,118.01,116.95,117.08,340704
2024-08-06 21:00:00,117.08,117.08,117.08,117.08,918
2024-08-07 12:00:00,118.353,118.353,117.63,117.99,1428
2024-08-07 13:30:00,118.17,119.875,117.705,118.99,230298
2024-08-07 15:00:00,118.98,119.15,117.68,118.44,169174
2024-08-07 16:30:00,118.39,118.42,116.68,116.8,124409
2024-08-07 18:00:00,116.7751,117.02,116.165,116.79,156700
2024-08-07 19:30:00,116.775,117.07,115.92,116.23,382234
2024-08-07 21:00:00,112.98,112.98,112.98,112.98,200
2024-08-08 13:30:00,117.95,118.5293,116.23,118.4,175554
2024-08-08 15:00:00,118.39,118.7799,117.99,118.51,142427
2024-08-08 16:30:00,118.51,119.26,117.985,119.13,104687
2024-08-08 18:00:00,119.125,119.35,118.59,118.89,168295
2024-08-08 19:30:00,118.96,119.38,118.495,119.22,218252
2024-08-08 21:00:00,119.22,119.22,119.22,119.22,120
2024-08-09 12:00:00,116.42,116.42,116.42,116.42,250
2024-08-09 13:30:00,118.81,120.69,118.005,120.375,170412
2024-08-09 15:00:00,120.48,120.95,120.3,120.615,112014
2024-08-09 16:30:00,120.66,121.93,120.66,121.46,102616
2024-08-09 18:00:00,121.475,122.6,121.42,122.545,266134
2024-08-09 19:30:00,122.58,122.81,122.36,122.76,373465
2024-08-12 13:30:00,122.49,123.96,122.385,123.805,193233
2024-08-12 15:00:00,123.815,124.03,122.58,123.27,178744
2024-08-12 16:30:00,123.27,123.39,122.59,122.9,131130
2024-08-12 18:00:00,122.9,123.05,122.7825,122.9,147525
2024-08-12 19:30:00,122.92,123.08,122.69,122.93,230123
2024-08-13 13:30:00,123.84,125.63,123.73,125.57,329611
2024-08-13 15:00:00,125.53,126.43,125.19,126.3475,175622
2024-08-13 16:30:00,126.335,126.53,125.95,126.43,150484
2024-08-13 18:00:00,126.42,126.54,125.57,125.585,146495
2024-08-13 19:30:00,125.605,126.055,125.54,125.87,319880
2024-08-14 12:00:00,126.24,126.24,126.24,126.24,133
2024-08-14 13:30:00,126.28,127.14,126.18,126.85,165428
2024-08-14 15:00:00,126.895,127.739,126.77,126.9801,143635
2024-08-14 16:30:00,127.04,127.44,126.82,127.305,112026
2024-08-14 18:00:00,127.24,127.55,127.0,127.105,161312
2024-08-14 19:30:00,127.06,127.35,126.79,127.11,300174
2024-08-14 21:00:00,127.11,127.11,127.11,127.11,3100
2024-08-15 12:00:00,128.3,128.62,128.3,128.62,494
2024-08-15 13:30:00,128.83,129.945,128.79,129.65,370181
2024-08-15 15:00:00,129.64,130.79,129.44,130.79,276564
2024-08-15 16:30:00,130.78,130.97,130.39,130.62,252811
2024-08-15 18:00:00,130.57,131.17,130.48,131.05,268872
2024-08-15 19:30:00,131.03,131.58,130.94,131.46,383928
2024-08-15 21:00:00,131.4569,131.4569,131.4569,131.4569,200
2024-08-16 09:00:00,132.47,132.47,132.24,132.24,387
2024-08-16 12:00:00,132.3,132.3,130.07,130.07,966
2024-08-16 13:30:00,130.66,131.36,129.375,129.77,239114
2024-08-16 15:00:00,129.84,131.3,129.84,131.24,254275
2024-08-16 16:30:00,131.19,131.44,130.94,131.11,115381
2024-08-16 18:00:00,131.05,131.35,130.91,130.955,128072
2024-08-16 19:30:00,130.93,131.185,130.37,130.5,301860
2024-08-19 10:30:00,130.01,130.01,130.01,130.01,100
2024-08-19 12:00:00,130.99,130.99,130.99,130.99,153
2024-08-19 13:30:00,129.94,130.5686,129.59,130.355,247722
2024-08-19 15:00:00,130.34,131.13,130.22,131.005,116725
2024-08-19 16:30:00,130.97,131.2,130.8,131.2,118237
2024-08-19 18:00:00,131.185,131.73,131.04,131.7,251257
2024-08-19 19:30:00,131.65,131.95,131.29,131.51,516002
2024-08-19 21:00:00,131.7,131.7,131.7,131.7,793
2024-08-20 13:30:00,131.75,132.1,131.22,131.33,305210
2024-08-20 15:00:00,131.325,132.02,131.29,131.88,173351
2024-08-20 16:30:00,131.885,131.99,131.5501,131.76,127091
2024-08-20 18:00:00,131.76,132.0,131.69,131.69,212935
2024-08-20 19:30:00,131.68,131.74,131.11,131.39,313336
2024-08-20 21:00:00,131.39,131.39,131.39,131.39,4600
2024-08-20 22:30:00,131.2,131.2,131.2,131.2,200
2024-08-21 12:00:00,131.71,131.71,131.71,131.71,476
2024-08-21 13:30:00,131.91,132.96,131.605,132.21,108781
2024-08-21 15:00:00,132.14,133.0,131.985,132.875,119099
2024-08-21 16:30:00,132.875,133.86,132.825,133.655,161296
2024-08-21 18:00:00,133.69,133.83,133.0,133.2,201254
2024-08-21 19:30:00,133.18,133.51,133.12,133.41,255995
2024-08-21 21:00:00,133.41,133.41,133.41,133.41,1098
2024-08-22 13:30:00,133.42,134.37,133.01,133.23,180217
2024-08-22 15:00:00,133.24,133.36,132.35,133.35,164602
2024-08-22 16:30:00,133.37,133.68,132.26,132.325,78891
2024-08-22 18:00:00,132.28,132.47,131.695,131.78,141121
2024-08-22 19:30:00,131.72,131.93,131.24,131.63,294777
2024-08-23 10:30:00,132.15,132.15,132.15,132.15,280
2024-08-23 13:30:00,133.01,133.55,132.24,132.75,168505
2024-08-23 15:00:00,132.76,133.42,132.39,132.47,153335
2024-08-23 16:30:00,132.54,133.32,132.54,133.01,162302
2024-08-23 18:00:00,132.98,133.44,132.95,133.42,164449
