datetime,open,high,low,close,volume
2024-08-01,64.27,65.4,60.84,62.12,7726424.0
2024-08-02,61.05,61.11,58.0,59.4,10771113.0
2024-08-05,56.09,58.7,54.75,58.7,14005868.0
2024-08-06,59.0,60.57,58.42,59.88,8463500.0
2024-08-07,61.0,61.6,59.75,60.04,8927448.0
2024-08-08,60.72,62.51,60.67,62.37,6463225.0
2024-08-09,62.37,62.87,61.94,62.62,4408483.0
2024-08-12,62.75,63.59,62.61,63.0983,3489972.0
2024-08-13,63.46,64.99,62.63,64.5,4647843.0
2024-08-14,65.0,65.18,64.32,64.8,3956371.0
2024-08-15,64.8,66.24,64.8,66.05,5152245.0
2024-08-16,66.05,66.05,65.19,65.8,3114291.0
2024-08-19,65.79,66.42,65.02,66.0,2859972.0
2024-08-20,66.3,67.49,65.92,67.49,4006016.0
2024-08-21,67.26,67.4,66.73,67.2,3568409.0
2024-08-22,67.49,67.75,66.4,66.4,3319534.0
2024-08-23,67.39,67.9,66.48,67.25,3110613.0
2024-08-26,67.34,67.63,66.41,66.41,2991847.0
2024-08-27,66.5,66.85,65.39,66.45,4370313.0
2024-08-28,67.57,67.57,64.98,64.98,3021732.0
2024-08-29,65.51,67.7,65.0806,66.5,3942667.0
2024-08-30,66.77,67.73,66.07,67.45,2903100.0
2024-09-03,66.79,67.45,61.1203,62.0,9287915.0
2024-09-04,61.5,61.55,57.62,61.0,9542333.0
2024-09-05,61.3,62.09,60.88,61.86,4181193.0
2024-09-06,61.44,62.28,59.71,59.85,4647713.0
2024-09-09,60.0,63.69,59.88,60.3398,4663602.0
2024-09-10,60.87,61.26,60.35,60.79,3185936.0
2024-09-11,60.79,62.27,59.9601,62.27,4036113.0
2024-09-12,62.09,63.73,62.03,63.24,4580483.0
2024-09-13,64.1555,64.33,63.29,63.58,4078208.0
2024-09-16,63.91,63.95,62.44,63.28,4573891.0
2024-09-17,63.63,64.28,63.12,63.99,2582468.0
2024-09-18,64.72,65.05,61.83,63.75,3596287.0
2024-09-19,65.2,65.58,64.62,64.96,2826545.0
2024-09-20,65.2,66.24,64.99,65.91,4102819.0
2024-09-23,66.38,66.38,65.5295,65.5295,4137699.0
2024-09-24,65.75,66.23,65.24,66.15,4815058.0
2024-09-25,66.51,66.555,65.09,65.46,3780472.0
2024-09-26,66.31,66.98,65.46,65.72,3738506.0
2024-09-27,65.71,66.29,64.63,65.02,4487940.0
2024-09-30,64.9,65.32,64.04,65.16,4208095.0
2024-10-01,65.22,66.43,63.13,63.62,5151530.0
2024-10-02,63.6,64.02,61.99,62.0,6985560.0
2024-10-03,61.98,62.875,61.72,62.07,4289037.0
2024-10-04,62.7,62.76,61.96,62.4,3960538.0
2024-10-07,62.48,62.88,61.95,62.85,3837813.0
2024-10-08,63.12,64.535,62.7,64.33,5747419.0
2024-10-09,64.76,65.148,63.92,64.94,3484681.0
2024-10-10,65.09,65.15,64.2,64.56,3026067.0
2024-10-11,64.65,65.72,64.3,65.56,3964334.0
2024-10-14,65.91,67.41,65.91,67.38,5514344.0
2024-10-15,67.39,67.92,65.18,65.7,13136128.0
2024-10-16,65.74,67.5,65.73,67.0,5908492.0
2024-10-17,67.53,68.48,67.22,67.54,5610740.0
2024-10-18,67.9,68.87,67.15,67.5,4825088.0
2024-10-21,67.65,67.83,66.675,66.83,5727510.0
2024-10-22,66.95,67.3097,66.03,66.85,5503305.0
2024-10-23,66.86,71.2,65.2,68.34,11193976.0
2024-10-24,68.47,70.88,67.59,70.25,8163109.0
2024-10-25,70.01,70.68,68.91,69.41,5970630.0
2024-10-28,70.93,70.93,68.49,69.14,4998548.0
2024-10-29,68.56,69.3,68.03,68.88,6456340.0
2024-10-30,68.79,69.1347,67.815,68.36,3721101.0
2024-10-31,68.18,68.18,66.84,67.01,3711823.0
2024-11-01,67.16,68.41,67.02,67.79,4220912.0
2024-11-04,68.59,68.59,67.56,68.22,3267909.0
2024-11-05,68.2,69.85,68.2,69.84,4628895.0
2024-11-06,71.0,72.87,70.62,72.17,9128521.0
2024-11-07,73.16,74.49,71.9,74.43,8974649.0
2024-11-08,74.13,74.6,73.53,73.94,5073255.0
2024-11-09,73.92,73.92,73.92,73.92,123.0
2024-11-11,74.25,74.7,72.945,73.41,3781155.0
2024-11-12,73.39,74.0,71.635,71.99,5534757.0
