datetime,open,high,low,close,volume
2024-08-01,23.18,23.36,21.5,21.82,239418
2024-08-02,21.8,21.86,18.75,20.14,527090
2024-08-05,18.78,19.38,18.15,18.3,287813
2024-08-06,18.8,18.8,18.0,18.41,310815
2024-08-07,18.79,19.15,18.21,18.3896,233259
2024-08-08,18.69,19.4,18.61,19.4,144837
2024-08-09,19.14,19.5,18.7,18.97,95292
2024-08-12,19.12,19.34,18.25,18.81,121650
2024-08-13,18.98,19.15,18.62,19.02,133980
2024-08-14,19.02,19.15,18.5,18.53,72764
2024-08-15,19.2,19.63,18.79,19.63,201747
2024-08-16,19.15,19.61,18.91,19.07,95821
2024-08-19,18.92,19.1,18.73,19.01,103455
2024-08-20,19.05,19.08,18.42,19.04,132733
2024-08-21,19.26,19.38,18.875,19.33,122431
2024-08-22,19.49,20.155,19.1,19.91,110656
2024-08-23,20.03,20.8999,19.935,20.72,98306
2024-08-26,20.87,21.22,20.79,20.99,94598
2024-08-27,20.91,21.1999,20.675,21.05,100132
2024-08-28,21.05,21.82,21.0,21.72,106874
2024-08-29,21.74,22.36,21.6,22.27,198154
2024-08-30,22.49,22.49,22.07,22.4,61455
2024-09-03,21.27,22.2,20.91,20.92,121426
2024-09-04,20.77,21.16,20.42,20.83,64436
2024-09-05,20.87,21.01,20.41,20.61,51209
2024-09-06,20.56,20.57,18.96,19.1,173346
2024-09-09,19.0,19.28,18.67,18.94,222527
2024-09-10,18.93,18.955,18.38,18.7,105881
2024-09-11,18.59,18.88,18.19,18.79,59610
2024-09-12,18.88,19.06,18.51,18.91,66849
2024-09-13,19.02,19.43,18.81,19.0,73712
2024-09-16,19.1,19.55,18.89,19.23,87935
2024-09-17,19.52,19.95,19.3279,19.86,109558
2024-09-18,19.94,20.47,19.73,19.98,134120
2024-09-19,20.68,20.71,20.125,20.7,98541
2024-09-20,20.7,20.76,20.42,20.43,142250
2024-09-23,20.43,20.615,20.01,20.16,82155
2024-09-24,20.21,20.21,19.91,20.12,50896
2024-09-25,20.11,20.34,19.84,19.89,45210
2024-09-26,20.25,20.2669,19.9,19.92,44403
2024-09-27,20.15,20.2271,19.79,20.05,37818
2024-09-30,19.93,20.115,19.38,19.4,77871
2024-10-01,19.39,19.7999,19.19,19.56,52235
2024-10-02,19.5,19.925,19.495,19.71,39093
