datetime,open,high,low,close,volume
2024-08-01,162.56,163.15,146.17,149.588,31807350.0
2024-08-02,144.53,145.69,139.6,143.63,27260569.0
2024-08-05,133.0,146.15,127.72,146.0,35265429.0
2024-08-06,145.95,149.99,139.5,140.61,21034217.0
2024-08-07,144.2,150.1,133.34,134.5,24112425.0
2024-08-08,135.9,147.98,135.49,147.4,20711683.0
2024-08-09,147.1,149.55,143.6905,148.25,14821955.0
2024-08-12,149.35,151.13,146.37,148.65,14524531.0
2024-08-13,150.0,156.63,148.8,156.63,17326760.0
2024-08-14,156.63,160.25,154.72,157.77,16191028.0
2024-08-15,158.6,167.0,157.69,166.55,20564408.0
2024-08-16,167.01,167.65,162.68,165.5,15312793.0
2024-08-19,165.1,168.0,160.42,167.2,14786322.0
2024-08-20,167.99,168.3699,164.15,164.75,13990781.0
2024-08-21,165.0,166.47,162.88,165.8,13115688.0
2024-08-22,165.78,172.42,161.49,163.2,23627721.0
2024-08-23,164.24,168.28,162.745,166.4,14979923.0
2024-08-26,166.7,167.4331,158.66,160.25,13964223.0
2024-08-27,160.3,162.03,155.83,159.7,14333776.0
2024-08-28,160.94,162.28,151.22,152.0,12710451.0
2024-08-29,155.0,163.2,154.14,158.99,17890219.0
2024-08-30,159.5,163.24,158.65,162.88,16641114.0
2024-09-03,163.12,163.25,151.38,153.5,27661407.0
2024-09-04,151.73,157.79,148.9,153.9,17732802.0
2024-09-05,154.55,159.36,141.3,142.53,27387781.0
2024-09-06,141.49,144.5,136.01,136.57,66765805.0
2024-09-09,138.8,141.585,131.0,141.0,33909470.0
2024-09-10,140.59,149.86,139.35,148.0,31767954.0
2024-09-11,147.3,158.87,145.04,157.9,31494384.0
2024-09-12,158.92,166.32,156.83,165.5,39267461.0
2024-09-13,164.9,168.08,164.0401,167.3185,26030130.0
2024-09-16,167.63,167.94,160.41,163.51,20257299.0
2024-09-17,164.3,166.02,160.7,162.5,16243666.0
2024-09-18,162.3,167.47,161.25,164.29,17446884.0
2024-09-19,165.0,170.0,164.99,167.5,21740126.0
2024-09-20,167.44,172.02,165.5,170.84,42531814.0
2024-09-23,170.73,173.46,168.3501,172.85,19450574.0
2024-09-24,173.0,175.99,171.68,175.067,18147738.0
2024-09-25,173.21,177.14,172.48,176.9855,13126561.0
2024-09-26,179.3,180.25,175.0,177.56,20430034.0
2024-09-27,176.85,178.47,171.76,172.3454,16117728.0
2024-09-30,172.37,172.92,169.28,172.28,12114303.0
2024-10-01,172.4,173.36,165.8,166.2,17439893.0
2024-10-02,167.4,172.84,165.8,171.37,10942254.0
2024-10-03,169.78,174.94,169.03,172.0,10968201.0
2024-10-04,172.83,176.8998,171.88,176.24,15077917.0
2024-10-07,175.96,178.31,173.86,175.0,12083292.0
2024-10-08,175.31,181.6,174.643,180.64,17118769.0
2024-10-09,180.49,186.42,176.42,185.31,21698768.0
2024-10-10,185.27,186.31,182.53,185.8905,13180045.0
2024-10-11,185.67,186.39,177.4,180.98,19646731.0
2024-10-14,181.17,184.951647,180.13,182.1,14475029.0
2024-10-15,181.84,182.86,173.3652,176.1,21959593.0
2024-10-16,176.51,179.25,175.33,176.9,12029152.0
2024-10-17,180.36,185.51,176.3,181.969,22304687.0
2024-10-18,182.57,183.67,178.68,180.0,14054336.0
2024-10-21,180.23,181.7199,177.1,180.0,10695064.0
2024-10-22,179.23,180.69,177.3793,179.15,9705706.0
2024-10-23,179.07,179.08,172.57,173.8487,13304402.0
2024-10-24,175.0,175.5324,169.5,171.64,16335563.0
2024-10-25,172.97,176.796,172.14,172.65,13200649.0
2024-10-28,174.29,175.55,171.345,172.2,10729641.0
2024-10-29,171.77,180.23,171.2101,178.46,19036133.0
2024-10-30,178.56,179.48,175.5401,175.9,11760010.0
2024-10-31,174.2,176.0,167.38,170.49,18048730.0
2024-11-01,170.8,171.3255,167.5,169.0,13623346.0
2024-11-04,169.43,172.45,167.33,168.7,9837056.0
2024-11-05,168.61,174.7,168.54,174.49,9859887.0
2024-11-06,174.25,180.3,173.5152,179.45,17312748.0
2024-11-07,179.2263,184.8722,179.2263,183.7,14357571.0
2024-11-08,183.6,185.05,181.09,183.6999,10248194.0
2024-11-09,183.69,183.75,183.4791,183.63,5071.0
2024-11-11,183.81,184.65,176.8201,179.05,11374090.0
2024-11-12,178.93,179.56,173.2,176.12,12476541.0
2024-11-13,176.12,176.4,172.6,173.6,11749535.0
2024-11-14,173.58,175.57,169.73,169.82,14051062.0
2024-11-15,169.95,170.18,163.43,165.29,15772655.0
2024-11-16,165.29,165.75,165.26,165.4698,6842.0
2024-11-18,168.18,168.6,162.22,165.8855,12784936.0
2024-11-19,165.73,167.0,163.0,165.65,11512842.0
2024-11-20,165.45,166.5,160.75,163.6,12285579.0
2024-11-21,163.3991,167.0,160.6,160.66,5705060.0
2024-11-29,160.38,162.69,158.87,162.08,9866302.0
2024-12-02,161.07,168.3797,160.62,167.1999,13961563.0
2024-12-03,166.9008,170.5337,163.95,170.0,11142893.0
2024-12-04,170.05,175.39,168.56,170.9962,23097127.0
2024-12-05,170.972,172.3981,169.2,170.5367,12205726.0
2024-12-06,170.4684,180.68,169.3301,179.41,20552117.0
2024-12-07,179.41,179.5,179.28,179.48,19717.0
2024-12-09,181.37,181.79,176.0209,178.52,15132996.0
2024-12-10,178.55,179.16,169.73,171.95,18113865.0
2024-12-11,172.0,184.87,171.78,182.78,28265329.0
2024-12-12,182.75,209.8947,175.99,207.47,41437997.0
2024-12-13,207.46,228.7,204.21,225.0991,112794594.0
2024-12-14,225.01,225.39,224.81,225.15,62579.0
2024-12-16,226.8,251.88,224.238,250.0082,92859935.0
2024-12-17,250.0,256.0,233.8,238.6,63737686.0
2024-12-18,238.5,241.74,219.22,223.0,44745174.0
2024-12-19,222.76,228.7,217.5,218.46,33943453.0
2024-12-20,218.8445,230.29,212.14,222.64,66585161.0
2024-12-21,222.64,223.4,222.3,222.5,57153.0
2024-12-23,225.9,234.88,220.2,234.66,33286791.0
2024-12-24,234.69,241.5,233.25,240.0,22396173.0
2024-12-26,240.75,247.28,237.28,245.96,24903034.0
2024-12-27,245.96,247.47,236.3532,241.0999,23038301.0
2024-12-28,241.0012,241.0995,240.1559,240.3,29482.0
2024-12-30,240.56,241.94,231.62,234.4,21472762.0
2024-12-31,234.5,238.59,231.31,231.86,13880401.0
2025-01-01,231.84,231.9237,231.84,231.84,3991.0
2025-01-02,234.95,239.5,230.2425,231.5318,27503395.0
2025-01-03,231.64,236.4893,229.0,231.6,21231045.0
2025-01-04,231.54,231.96,231.5,231.96,28581.0
2025-01-06,234.55,241.75,233.3,237.38,28328518.0
2025-01-07,237.39,239.5,227.6,229.15,20449107.0
2025-01-08,229.25,232.47,226.06,228.0,13335834.0
2025-01-09,228.35,228.4279,228.04,228.11,15658.0
2025-01-10,227.67,230.81,221.25,223.4732,18741959.0
2025-01-11,223.48,224.2,223.35,223.88,9571.0
2025-01-13,222.0,229.26,216.17,228.05,19209253.0
2025-01-14,228.15,231.12,223.1,225.4,14755616.0
2025-01-15,225.4,230.4875,224.7,228.65,14813533.0
2025-01-16,228.65,238.6,228.2422,229.16,19629642.0
2025-01-17,229.25,238.1705,229.11,237.76,25941719.0
2025-01-18,237.8342,238.12,237.44,238.05,34662.0
2025-01-21,238.01,242.77,237.4,241.55,22903736.0
2025-01-22,241.64,247.4,239.0,239.66,21156735.0
2025-01-23,239.56,240.42,236.12,240.09,13248092.0
2025-01-24,240.0,249.59,239.45,244.0235,20202510.0
2025-01-25,244.45,244.45,244.0,244.21,4667.0
2025-01-27,229.16,233.0,196.23,206.87,82826991.0
2025-01-28,206.88,211.87,198.89,207.53,44351697.0
2025-01-29,207.4,218.95,202.77,215.7,27291918.0
2025-01-30,215.55,221.96,213.7,215.75,38059763.0
2025-01-31,215.77,226.8,215.4696,220.3,29702757.0
2025-02-01,220.25,220.6875,220.0,220.02,30505.0
2025-02-03,215.0,220.98,210.8,220.8,20327865.0
2025-02-04,220.8,236.4196,215.11,230.7,19816599.0
2025-02-05,230.6,237.9299,227.5,234.5,25559795.0
2025-02-06,234.5,236.97,228.56,232.09,17575912.0
2025-02-07,232.15,235.75,224.11,224.47,18971769.0
2025-02-08,224.25,224.5,224.02,224.15,18155.0
2025-02-10,226.18,235.82,225.432,234.5,18570059.0
2025-02-11,234.21,237.89,229.9739,235.699,14003491.0
2025-02-12,235.6989,236.93,230.0,236.8,12590116.0
2025-02-13,236.78,237.8,230.7276,235.0,15102247.0
2025-02-14,235.0,236.36,228.9,232.66,13461439.0
2025-02-15,232.6595,232.6595,232.4552,232.61,5728.0
2025-02-18,233.4,235.0,224.3001,227.6404,21341797.0
2025-02-19,227.85,229.0653,224.4,227.8,12817850.0
2025-02-20,228.25,228.98,222.75,226.11,11596639.0
2025-02-21,226.25,227.75,215.63,218.06,19807776.0
2025-02-22,218.19,218.45,218.0,218.3452,11419.0
2025-02-24,218.19,220.62,206.5786,206.6,24408816.0
2025-02-25,207.0,209.79,200.92,205.0,26130733.0
2025-02-26,205.0,216.66,204.0034,215.74,17362203.0
2025-02-27,215.51,219.25,197.1077,199.45,21509683.0
2025-02-28,199.43,201.19,193.15,200.39,31087015.0
2025-03-01,200.495,200.9992,200.495,200.87,22955.0
2025-03-03,199.56,205.08,184.53,187.15,31086051.0
2025-03-04,187.1,193.95,180.48,190.4999,32192145.0
2025-03-05,190.49,194.08,184.08,187.37,21644459.0
2025-03-06,187.37,214.0,177.61,200.6172,51335162.0
2025-03-07,200.86,204.32,181.56,194.7496,71307997.0
2025-03-08,194.7,195.7424,194.2019,194.9646,42037.0
2025-03-10,193.0,194.86,180.04,180.5,38408216.0
2025-03-11,184.0,195.6155,182.86,191.25,33805491.0
2025-03-12,191.0,199.98,189.51,197.65,8420487.0
