datetime,open,high,low,close,volume
2024-08-01,7.66,7.68,7.25,7.4,153393
2024-08-02,7.06,7.348,7.06,7.22,376033
2024-08-05,6.67,7.19,6.67,7.06,143557
2024-08-06,7.1,7.45,7.01,7.2,198593
2024-08-07,7.22,7.4,7.13,7.18,170303
2024-08-08,7.1,7.4,7.1,7.35,207998
2024-08-09,7.36,7.36,7.2,7.2,150598
2024-08-12,7.15,7.22,7.04,7.16,169727
2024-08-13,7.2,7.32,7.2,7.25,240558
2024-08-14,7.28,7.3,7.18,7.25,204752
2024-08-15,7.36,7.45,7.275,7.35,81742
2024-08-16,7.34,7.45,7.31,7.39,98267
2024-08-19,7.41,7.56,7.11,7.49,126939
2024-08-20,7.47,7.58,7.39,7.44,112700
2024-08-21,7.5,7.5299,7.34,7.49,229066
2024-08-22,7.27,7.55,7.27,7.31,107873
2024-08-23,7.35,7.63,7.35,7.54,230159
2024-08-26,7.56,7.61,7.25,7.25,92314
2024-08-27,7.4,7.53,7.39,7.48,137342
2024-08-28,7.45,7.48,7.38,7.43,98892
2024-08-29,7.47,7.6,7.42,7.535,158508
2024-08-30,7.58,7.69,7.54,7.67,196866
2024-09-03,7.67,7.67,7.445,7.47,205670
2024-09-04,7.42,7.64,7.42,7.43,284830
2024-09-05,7.44,7.5,7.39,7.48,219211
2024-09-06,7.48,7.53,7.32,7.38,166527
2024-09-09,7.38,7.8509,7.38,7.8509,247670
2024-09-10,7.8,8.07,6.35,6.67,977407
2024-09-11,6.6001,6.6001,6.21,6.3,659796
2024-09-12,6.33,6.5396,6.24,6.51,483858
2024-09-13,6.56,7.16,6.55,6.9899,690310
2024-09-16,7.06,7.06,6.66,6.71,290797
2024-09-17,6.68,6.86,6.68,6.81,365564
2024-09-18,6.8,6.81,6.62,6.72,271831
2024-09-19,6.74,6.88,6.725,6.785,219740
2024-09-20,6.75,6.77,6.68,6.77,159255
2024-09-23,6.65,6.77,6.59,6.6,249894
2024-09-24,6.6,6.715,6.6,6.7,139528
2024-09-25,6.69,6.705,6.53,6.68,232654
2024-09-26,6.67,6.98,6.5,6.96,133337
2024-09-27,6.98,7.06,6.77,6.79,214123
2024-09-30,6.64,6.82,6.64,6.79,218423
2024-10-01,6.78,6.79,6.45,6.55,259028
2024-10-02,6.56,6.62,6.462,6.462,131680
2024-10-03,6.46,6.5,6.37,6.37,173430
2024-10-04,6.43,6.68,6.3,6.67,283358
2024-10-07,6.0345,6.7,6.0345,6.58,197069
2024-10-08,6.6,6.68,6.4783,6.4783,170536
2024-10-09,6.62,6.62,6.5,6.545,642758
2024-10-10,6.5,6.61,6.465,6.49,159096
2024-10-11,6.49,6.72,6.48,6.55,179913
2024-10-14,6.58,6.92,6.53,6.92,339434
2024-10-15,6.9,7.07,6.78,7.01,207703
2024-10-16,7.06,7.07,6.83,6.85,122587
2024-10-17,6.85,7.09,6.78,7.01,179703
2024-10-18,7.07,7.135,6.89,7.02,101884
2024-10-21,6.98,7.06,6.925,6.95,57751
2024-10-22,6.92,7.01,6.84,6.84,51349
2024-10-23,6.81,6.86,6.65,6.67,219202
2024-10-24,6.7,6.86,6.62,6.65,112544
2024-10-25,6.65,6.73,6.59,6.61,59305
2024-10-28,6.84,6.9,6.5,6.7,194978
2024-10-29,6.9,6.9,6.575,6.585,151302
2024-10-30,6.54,6.73,6.54,6.58,244196
2024-10-31,6.7,6.81,6.45,6.49,185283
2024-11-01,6.5,6.53,6.406,6.45,166040
2024-11-04,6.41,6.53,6.38,6.48,163442
2024-11-05,6.47,6.76,6.45,6.74,240511
2024-11-06,6.91,6.99,6.6025,6.6025,267769
2024-11-07,6.95,7.07,6.89,7.01,447294
2024-11-08,6.99,7.0,6.89,6.93,152096
2024-11-11,6.99,7.2,6.935,7.11,217202
2024-11-12,7.3491,7.74,7.15,7.39,369744
2024-11-13,7.48,7.56,7.32,7.335,159125
2024-11-14,7.33,7.33,6.93,7.07,233808
2024-11-15,7.03,7.15,6.85,6.92,153359
2024-11-18,6.92,7.0,6.8,6.99,138386
2024-11-19,6.87,7.028,6.83,6.98,129734
2024-11-20,6.85,7.55,6.85,7.55,242503
2024-11-21,7.33,8.24,7.33,8.13,580001
2024-11-22,8.01,8.09,7.74,7.82,207081
2024-11-25,8.1386,8.1386,7.4767,7.4767,227620
2024-11-26,7.96,8.028,7.77,7.93,169279
2024-11-27,7.96,7.98,7.84,7.96,105707
2024-11-29,7.97,8.18,7.945,8.12,117420
2024-12-02,8.08,8.24,7.97,8.221,229068
2024-12-03,8.28,8.6,8.04,8.4512,265495
2024-12-04,8.5,8.8844,8.5,8.8844,158553
2024-12-05,8.55,9.12,8.5231,8.768,314134
2024-12-06,8.82,9.05,8.76,9.05,170333
2024-12-09,8.99,9.25,8.74,8.8,334396
2024-12-10,8.67,9.1,8.45,9.1,380592
2024-12-11,9.55,9.98,8.0,8.42,646447
2024-12-12,8.39,9.01,8.04,9.0,455505
2024-12-13,8.97,9.078,8.52,8.75,248469
2024-12-14,8.61,8.61,8.61,8.61,612
2024-12-16,8.18,9.5,8.18,9.03,434451
2024-12-17,9.55,9.7,9.11,9.29,297651
2024-12-18,9.17,9.25,8.52,8.63,316473
2024-12-19,8.65,8.935,8.6,8.77,108032
2024-12-20,8.38,8.91,8.38,8.67,137553
2024-12-23,9.04,9.25,8.61,8.71,146613
2024-12-24,8.63,8.79,8.63,8.76,80657
2024-12-26,8.2,8.85,8.2,8.82,234668
2024-12-27,8.99,9.0487,8.485,8.77,207170
2024-12-30,8.88,8.88,8.55,8.6,160989
2024-12-31,8.44,8.68,8.44,8.64,126154
2025-01-02,8.62,8.87,8.54,8.63,281501
2025-01-03,8.71,8.91,8.7,8.88,228511
2025-01-06,8.86,9.05,8.8101,8.8101,238594
2025-01-07,8.71,8.9799,8.62,8.82,154434
2025-01-08,8.9,8.95,8.65,8.8,137864
2025-01-09,8.5,8.5,8.5,8.5,100
2025-01-10,9.0,9.0,8.59,8.72,150926
2025-01-13,8.61,8.7,8.47,8.51,210330
2025-01-14,9.0,9.0,8.58,8.8,260253
2025-01-15,8.9899,9.6945,8.91,9.69,758680
2025-01-16,9.7,10.0,9.4828,10.0,653411
2025-01-17,9.9999,10.0,9.54,9.61,211546
2025-01-18,9.3001,9.3001,9.3001,9.3001,150
2025-01-21,10.0,10.0,9.41,9.41,176902
2025-01-22,9.56,9.67,9.37,9.4,167616
2025-01-23,9.61,9.61,9.12,9.5,376042
2025-01-24,9.53,9.65,9.25,9.34,166150
2025-01-27,9.17,9.27,8.96,9.04,157540
2025-01-28,9.0,9.24,8.92,9.19,89809
2025-01-29,9.17,9.18,8.99,9.15,135536
2025-01-30,9.24,9.5,9.18,9.35,226547
2025-01-31,9.36,9.55,9.08,9.32,157211
2025-02-03,8.85,9.51,8.83,9.445,206671
2025-02-04,9.53,10.1,9.43,10.1,572788
2025-02-05,10.23,10.8332,10.05,10.8,884217
2025-02-06,10.9,11.12,10.64,11.07,531743
2025-02-07,11.0448,11.0448,10.69,10.715,126908
2025-02-10,10.51,10.82,10.3,10.78,136832
2025-02-11,10.6,10.86,10.3,10.76,210295
2025-02-12,10.69,10.91,10.52,10.79,208599
2025-02-13,10.87,10.88,10.58,10.73,158140
2025-02-14,10.58,10.78,10.29,10.29,284962
2025-02-18,10.36,10.405,10.075,10.16,158933
2025-02-19,10.05,10.11,9.783,9.783,233160
2025-02-20,9.86,9.86,9.39,9.56,199050
2025-02-21,9.9,9.9,9.12,9.14,145164
2025-02-24,9.18,9.18,8.95,9.0,227215
2025-02-25,8.9,9.1,8.8,8.9,198868
2025-02-26,9.0,9.186,8.92,8.975,214038
2025-02-27,9.07,9.1,8.845,8.87,167146
2025-02-28,8.81,8.96,8.63,8.925,470981
2025-03-03,9.01,9.48,8.8,9.05,491787
2025-03-04,8.94,9.33,8.48,8.98,381377
2025-03-05,9.16,9.25,8.805,8.91,149727
2025-03-06,8.79,8.89,8.5,8.53,119997
2025-03-07,8.45,8.52,8.1201,8.44,141605
2025-03-10,8.27,8.27,7.9,8.03,187351
2025-03-11,7.99,8.12,7.88,7.97,177809
2025-03-12,8.12,8.15,7.93,8.01,175567
2025-03-13,7.98,8.16,7.85,8.09,249102
2025-03-14,8.49,8.5,8.1044,8.32,154929
2025-03-17,8.34,8.59,8.29,8.515,187016
2025-03-18,8.54,8.54,8.32,8.35,119686
2025-03-19,8.35,8.58,8.35,8.41,177275
2025-03-20,8.33,8.48,8.24,8.35,162335
2025-03-21,8.23,8.41,8.23,8.315,175521
2025-03-24,8.45,8.49,8.31,8.37,300679
2025-03-25,8.37,8.41,8.26,8.26,423756
2025-03-26,8.3,8.39,8.05,8.1,490196
2025-03-27,8.32,8.38,8.08,8.1,350037
2025-03-28,8.04,8.055,7.855,7.94,316788
