datetime,open,high,low,close,volume
2024-08-01,234.47,236.2,220.0,221.0,9253268
2024-08-02,217.74,221.475,211.14,215.52,8567990
2024-08-05,205.0,228.83,192.2,227.6,10484554
2024-08-06,231.99,235.24,221.495,228.42,10065533
2024-08-07,234.02,243.5,228.5,228.5,8663204
2024-08-08,230.01,244.98,229.72,244.98,6141481
2024-08-09,245.57,246.72,238.8,241.6199,5530635
2024-08-12,241.87,243.7529,235.6,238.5699,3549398
2024-08-13,240.44,249.3,238.99,249.15,4578026
2024-08-14,249.49,258.96,248.81,257.75,5418868
2024-08-15,257.85,263.65,257.52,261.09,5095177
2024-08-16,263.5,263.5,257.51,262.2102,3100621
2024-08-19,262.57,270.98,261.02,268.0899,4883473
2024-08-20,269.4,270.5,264.395,266.02,3668226
2024-08-21,265.65,274.5,265.6433,274.4675,4977404
2024-08-22,274.16,278.5,267.2301,269.0,4169344
2024-08-23,269.79,273.6,266.81,271.46,3025467
2024-08-26,273.2,273.49,264.0,265.0,3322842
2024-08-27,265.5,271.02,260.75,269.45,3431806
2024-08-28,270.35,277.5,251.0,257.1,6620211
2024-08-29,258.15,285.73,255.69,273.99,12542930
2024-08-30,281.49,284.11,273.3501,278.0,5469678
2024-09-03,278.05,278.94,265.0,265.0,4947523
2024-09-04,263.46,267.1978,258.41,259.25,3843352
2024-09-05,259.76,260.8401,252.6701,255.0,3366532
2024-09-06,254.95,257.4,244.49,246.2,3904712
2024-09-09,248.86,250.3,244.17,246.92,2901583
2024-09-10,246.5,250.33,243.55,247.958,1922105
2024-09-11,247.19,254.7315,242.25,252.7669,2412698
2024-09-12,253.53,258.3805,252.48,257.0,2335539
2024-09-13,257.64,261.58,256.0,258.83,1953109
2024-09-16,259.5,270.05,256.7876,268.33,3432926
2024-09-17,268.79,272.3999,267.32,268.72,2586524
2024-09-18,269.0,272.02,263.4501,268.5143,2975746
2024-09-19,271.0,283.9899,270.97,277.8,5749469
2024-09-20,277.31,300.45,276.13,298.35,11454375
2024-09-23,302.42,305.0,292.55,293.0725,5178864
2024-09-24,294.4,295.76,285.28,288.54,3637082
2024-09-25,287.78,291.7299,285.54,286.82,2585609
2024-09-26,290.4,292.375,277.88,280.6415,4273515
2024-09-27,281.46,286.45,280.8,285.35,2488853
2024-09-30,284.07,285.41,278.2,280.6,2346713
2024-10-01,280.21,282.9738,272.6701,274.7,2676362
2024-10-02,274.38,282.1499,273.01,280.2548,2207581
2024-10-03,279.38,286.9,278.5595,283.77,2917386
2024-10-04,285.0,292.9981,283.8,292.08,2743275
2024-10-07,290.0,293.0,285.79,286.5201,1915448
2024-10-08,285.32,295.25,284.0,293.01,2480346
2024-10-09,291.99,298.77,291.99,298.0,2194420
2024-10-10,297.75,316.6,295.0,315.1,7370676
2024-10-11,316.4,322.59,313.0,319.75,4159487
2024-10-14,319.74,323.94,309.6,310.0,4161834
2024-10-15,309.31,312.05,300.69,302.4655,3327650
2024-10-16,303.93,307.205,299.27,306.0318,2454868
2024-10-17,307.6,313.74,306.24,310.34,2844966
2024-10-18,312.0,313.88,306.81,309.75,2501658
2024-10-21,309.02,316.998,306.6601,309.94,2247342
2024-10-22,308.33,311.56,304.26,307.05,1806040
2024-10-23,306.77,308.0661,298.32,300.54,2504486
2024-10-24,301.83,305.907,301.0,304.41,1635709
2024-10-25,305.12,311.3499,295.13,298.0,5391542
2024-10-28,299.31,305.0,295.31,301.2256,3004528
2024-10-29,301.0,313.15,299.6053,311.5,2667144
2024-10-30,316.59,316.59,304.58,306.53,1713041
2024-10-31,304.06,307.45,294.68,295.897,2841419
2024-11-01,297.01,304.3802,295.71,302.7,2158919
2024-11-04,301.52,302.97,295.08,300.7055,1966134
2024-11-05,299.25,308.97,298.617,308.67,1723928
2024-11-06,308.7,324.664,308.7,319.0,3672966
2024-11-07,319.31,333.2199,319.31,332.0,3046968
2024-11-08,331.76,333.15,323.24,330.2001,2485125
2024-11-09,330.2,330.45,330.2,330.3695,2753
2024-11-11,331.15,343.6,330.0,342.45,2871471
2024-11-12,342.42,343.89,336.5254,343.85,2319128
2024-11-13,343.5,359.45,342.25,349.08,4198042
2024-11-14,349.202,351.09,343.36,343.36,2242272
2024-11-15,343.2999,343.49,332.75,337.0,2731082
2024-11-16,337.8,337.8,337.8,337.8,503
2024-11-18,338.41,347.3,336.7501,343.6332,2092491
2024-11-19,342.99,354.99,337.75,354.9,2408314
