datetime,open,high,low,close,volume
2024-08-01,792.5,813.86,792.5,811.18,465750
2024-08-02,807.01,814.95,798.675,806.65,239166
2024-08-05,791.47,800.81,764.11,768.147811,497730
2024-08-06,767.52,791.28,763.49,784.61,305281
2024-08-07,783.86,799.99,779.15,780.0,585950
2024-08-08,775.74,812.75,772.0,811.0,578409
2024-08-09,810.78,823.34,804.37,818.88,272837
2024-08-12,815.0,820.0,803.28,810.0,305763
2024-08-13,825.0,831.47,820.985,829.64,314866
2024-08-14,831.75,843.27,828.805,841.49,311866
2024-08-15,841.8,841.8,827.14,830.08,288121
2024-08-16,824.09,831.7,821.0,828.66,268136
2024-08-19,831.0,834.6,820.7,830.38,206313
2024-08-20,833.57,833.57,824.78,829.84,200837
2024-08-21,825.75,826.9,816.01,817.99,264358
2024-08-22,818.39,820.85,814.13,818.95,291453
2024-08-23,822.42,829.39,817.96,827.96,299417
2024-08-26,830.39,833.0,816.085,818.9,213035
2024-08-27,815.42,820.68,813.6,817.98,175162
2024-08-28,817.48,818.5,810.31,813.7,128614
2024-08-29,812.78,823.38,810.0,818.74,224031
2024-08-30,820.38,836.48,816.99,834.36,281789
2024-09-03,829.47,835.49,825.3,832.15,243169
2024-09-04,826.19,830.0,816.0,827.59,481112
2024-09-05,826.24,829.035,816.6,821.74,214761
2024-09-06,821.44,825.01,809.54,818.31,368152
2024-09-09,820.87,835.395,820.08,831.8,338568
2024-09-10,835.9,865.45,835.34,864.78,470170
2024-09-11,864.78,869.27,847.0,868.38,562476
2024-09-12,868.0,874.71,855.45,868.81,261026
2024-09-13,869.9,875.66,869.9,871.54,198563
2024-09-16,871.38,880.725,871.38,876.57,134699
2024-09-17,877.24,881.96,861.72,864.33,201221
2024-09-18,862.3,872.87,859.9323,860.95,222067
2024-09-19,873.79,879.47,868.72,870.99,479516
2024-09-20,870.99,886.495,862.95,883.82,603119
2024-09-23,883.87,890.6,876.26,881.92,318903
2024-09-24,881.92,892.0694,880.44,887.58,280183
2024-09-25,892.08,896.5208,888.01,890.01,221653
2024-09-26,896.75,896.75,876.49,880.94,418812
2024-09-27,886.15,889.61,879.945,880.69,155374
2024-09-30,879.41,889.555,879.41,887.63,286203
2024-10-01,894.98,894.98,876.365,883.0,266480
2024-10-02,871.79,887.41,871.79,886.6,156550
2024-10-03,884.92,884.92,873.97,876.22,135133
