datetime,open,high,low,close,volume
2024-08-01,310.0,312.0,288.0,297.4823,5008144
2024-08-02,294.99,294.99,276.01,280.76,4060400
2024-08-05,267.3,277.02,255.65,273.33,4135672
2024-08-06,273.01,282.03,272.56,275.0,2813027
2024-08-07,283.06,288.1,275.0,275.05,2072044
2024-08-08,275.64,288.06,275.64,287.48,2320636
2024-08-09,289.0,292.17,285.7,291.64,1850199
2024-08-12,292.94,293.5,285.53,288.43,1648142
2024-08-13,294.5,295.94,288.275,295.94,1874436
2024-08-14,298.0,300.05,294.43,298.3,1777396
2024-08-15,299.0,304.77,298.04,302.2,2071199
2024-08-16,302.0,302.53,293.38,294.7363,2489968
2024-08-19,295.0,299.03,293.19,297.05,1355971
2024-08-20,297.05,299.64,294.58,296.0,1070064
2024-08-21,296.4,301.65,296.17,299.6,1081075
2024-08-22,301.0,303.4,296.7,297.78,1678061
2024-08-23,300.0,302.0,297.78,300.0,1720974
2024-08-26,300.0,301.75,296.0,296.91,1422694
2024-08-27,295.59,299.86,292.4,295.81,1469515
2024-08-28,296.04,297.49,292.0,293.6,1377354
2024-08-29,292.99,307.45,292.99,301.09,2038066
2024-08-30,303.0,307.65,300.125,306.93,1643541
2024-09-03,305.01,305.63,289.47,289.89,2618524
2024-09-04,288.33,292.79,286.62,288.77,1826388
2024-09-05,288.8,289.23,282.56,285.72,1667761
2024-09-06,284.8,292.2,281.34,284.97,1895712
2024-09-09,289.21,292.1,287.62,290.0,1416884
2024-09-10,291.23,291.9,284.455,288.3,1311164
2024-09-11,289.5,297.68,284.55,297.14,2119035
2024-09-12,297.15,304.465,294.84,303.38,2330661
2024-09-13,304.49,310.465,303.67,305.8,1810963
2024-09-16,307.25,307.25,301.475,306.4,1319847
2024-09-17,308.48,312.42,304.65,311.49,1807042
2024-09-18,311.25,321.15,311.25,314.65,2644627
2024-09-19,322.79,329.78,319.895,328.2348,2752130
2024-09-20,328.45,331.42,326.0,330.6,2161451
2024-09-23,331.89,333.29,329.41,329.79,1471738
2024-09-24,328.45,330.23,326.3,327.39,1652849
2024-09-25,325.61,330.86,325.61,329.5,1349141
2024-09-26,333.77,336.3,329.34,332.71,1667809
2024-09-27,334.83,334.89,326.65,328.7,1458187
2024-09-30,326.69,331.695,324.69,331.44,1403101
2024-10-01,330.51,331.43,325.064,327.58,708854
2024-10-02,326.0,329.8742,325.71,327.99,945636
2024-10-03,328.64,328.64,324.1195,324.1195,780855
2024-10-04,327.9,333.31,323.9012,333.05,990535
2024-10-07,330.91,335.3173,330.16,334.63,1031724
2024-10-08,334.49,337.75,333.03,335.58,749500
2024-10-09,335.48,338.86,334.72,338.24,861486
2024-10-10,338.49,338.49,332.69,336.8,1025017
2024-10-11,335.85,341.98,329.5666,341.39,964780
2024-10-14,343.0,345.94,341.57,345.61,727278
2024-10-15,343.0,347.345,337.47,337.55,1668724
2024-10-16,337.5,341.3769,337.5,338.2343,681720
2024-10-17,343.75,349.74,340.89,348.0604,1485891
2024-10-18,348.7,349.7,345.268,348.18,1002481
2024-10-21,346.5,348.73,345.25,347.07,843321
2024-10-22,345.25,345.3,340.8201,343.55,1028699
2024-10-23,341.05,346.09,338.63,346.09,1487378
2024-10-24,345.01,346.675,340.51,345.29,1166570
2024-10-25,347.07,348.5599,342.9,344.49,625546
2024-10-28,346.5,348.62,345.11,345.51,1920782
2024-10-29,342.0,347.42,337.86,345.55,1405529
2024-10-30,345.55,347.99,340.855,342.91,1760618
2024-10-31,328.25,333.94,321.39,331.58,3418376
2024-11-01,331.58,337.02,329.65,335.0,2022149
2024-11-04,336.0,336.0,330.81,331.5,1592065
2024-11-05,331.87,338.29,331.82,338.29,1424326
2024-11-06,355.01,366.08,350.9,358.0,3182634
2024-11-07,359.99,363.14,357.925,360.56,2042906
2024-11-08,361.81,369.29,361.3,366.67,1666862
2024-11-11,369.46,373.39,368.6487,371.95,1381630
2024-11-12,369.0,373.4899,365.67,368.99,1645788
2024-11-13,367.1,372.6799,366.26,369.66,1127982
2024-11-14,368.61,371.12,361.01,361.86,1465441
2024-11-15,358.12,361.22,355.3761,358.99,1919669
2024-11-18,359.0,361.23,356.54,357.83,1358956
2024-11-19,356.6,365.03,353.4205,363.69,1303283
2024-11-20,365.0,367.495,358.55,360.46,916215
2024-11-21,361.98,373.39,361.98,370.95,1333606
2024-11-22,372.6,378.0,371.61,377.41,1889413
2024-11-23,377.41,377.41,377.41,377.41,175
2024-11-25,381.1,381.1,372.14,376.4,2309670
2024-11-26,378.0,379.99,375.165,377.29,1513943
2024-11-27,377.29,377.56,371.01,371.98,886917
2024-11-29,374.97,378.45,373.52,375.42,1524962
2024-12-02,377.9,380.528,371.92,372.22,841445
2024-12-03,371.56,375.44,368.6201,373.75,992364
2024-12-04,375.27,378.47,375.02,377.52,1144117
2024-12-05,377.93,377.93,370.0,371.05,1357001
2024-12-06,371.41,373.28,369.245,371.22,1145504
2024-12-09,370.0,376.76,358.33,363.57,1910065
2024-12-10,363.54,364.02,357.95,358.49,1471430
2024-12-11,358.0,365.0,353.33,361.91,2046988
2024-12-12,361.91,363.06,358.075,359.93,904659
2024-12-13,361.53,361.53,355.89,356.19,927333
2024-12-16,357.25,357.5,353.54,355.15,1011224
2024-12-17,353.06,353.06,344.67,347.08,2011486
2024-12-18,349.0,349.59,334.715,335.12,1926640
2024-12-19,338.02,340.1,334.33,337.77,1870584
2024-12-20,333.91,342.0099,332.12,338.12,2342483
2024-12-23,339.01,339.01,334.2,337.71,1071295
2024-12-24,338.09,341.69,337.2,341.54,496814
2024-12-26,341.01,341.83,338.75,340.16,552182
2024-12-27,336.82,338.85,331.2801,334.63,1246154
2024-12-30,335.01,335.01,327.54,332.38,1211546
2024-12-31,331.15,333.98,331.15,331.87,863796
2025-01-02,335.0,337.91,330.0,330.0,1176068
2025-01-03,334.98,343.45,333.65,342.58,1705328
2025-01-06,348.0,353.4,346.6775,348.56,2360079
2025-01-07,352.48,352.48,341.14,343.5,1169004
2025-01-08,341.67,345.675,338.0,345.11,1429632
2025-01-10,345.11,346.05,335.9084,341.45,1523357
2025-01-13,336.98,343.04,333.88,340.88,2267567
2025-01-14,345.5,347.235,339.0,340.14,2344207
2025-01-15,346.9,349.69,340.71,342.58,2701415
2025-01-16,345.91,347.7799,342.7,345.7002,2022395
2025-01-17,347.13,349.92,345.48,346.28,2032808
2025-01-21,349.03,359.0,346.89,359.0,3127853
2025-01-22,362.29,377.925,362.29,370.69,2947568
2025-01-23,367.4709,372.3,363.22,369.7,1596693
2025-01-24,370.95,378.0,367.16,372.0845,1634463
2025-01-27,356.0,356.0,306.15,316.0,9602144
2025-01-28,315.5125,318.51,298.29,313.4263,8173291
2025-01-29,318.5,327.52,310.12,327.5,3840998
2025-01-30,323.925,331.0,320.0,331.0,3803245
2025-01-31,331.3046,337.0,314.15,326.44,5785680
2025-02-03,313.72,322.1,311.1239,317.01,2684204
2025-02-04,318.8,319.6,313.01,314.7,1934260
2025-02-05,315.88,317.6,311.3,315.25,2564586
2025-02-06,316.71,323.68,312.77,315.85,3080879
2025-02-07,316.72,322.6399,311.97,312.55,2311138
2025-02-10,313.0,320.15,312.4501,319.88,2084525
2025-02-11,318.0,318.25,311.1,316.51,2868106
2025-02-12,316.3548,316.3548,305.69,309.11,2266545
2025-02-13,310.85,312.76,304.07,307.5,2632589
2025-02-14,308.96,311.375,307.5,309.0,2197690
2025-02-18,309.4,316.585,309.4,313.12,2287505
2025-02-19,312.51,312.51,307.3,309.43,2437686
2025-02-20,309.0,310.0,305.8402,308.82,1748692
2025-02-21,309.421,310.47,295.02,297.5,4015770
2025-02-22,299.6,299.6,299.6,299.6,1100
2025-02-24,298.3,300.0,285.51,290.1,5319852
2025-02-25,288.51,292.65,282.43,288.99,5655037
2025-02-26,290.02,299.6,290.02,296.8,4013767
2025-02-27,300.5,301.96,288.91,290.0425,3500309
2025-02-28,287.087,293.38,284.79,292.85,3160712
2025-03-03,295.51,296.72,276.2,282.71,3735534
2025-03-04,275.9,286.0,267.52,281.0,6094795
2025-03-05,285.0,288.76,278.46,288.22,3288957
2025-03-06,282.61,286.26,272.28,277.55,2979926
2025-03-07,278.02,286.15,273.7101,285.6818,3975483
2025-03-10,271.96,282.67,271.96,276.66,3741766
2025-03-11,276.52,288.88,274.6036,284.0,3848495
2025-03-12,285.0,300.04,282.31,293.92,5038288
2025-03-13,291.74,294.99,280.46,283.7,4643630
2025-03-14,290.9193,294.61,286.6,293.0,2821375
2025-03-17,290.02,300.76,290.02,299.22,2537581
2025-03-18,296.8,296.8,288.365,289.41,2098824
2025-03-19,291.01,299.055,290.17,295.19,2761739
2025-03-20,294.55,300.24,290.12,296.8,2739258
2025-03-21,291.74,296.2499,289.49,295.79,2151199
2025-03-24,299.37,304.54,297.78,301.75,2286933
2025-03-25,302.5,304.94,295.98,300.0,3140561
2025-03-26,298.94,298.94,283.0,285.0,3997122
2025-03-27,285.25,285.5431,278.16,279.3378,3005362
2025-03-28,279.89,279.89,271.65,274.17,2872007
