datetime,open,high,low,close,volume
2024-08-01,14.3,14.4,13.435,13.51,1125207
2024-08-02,13.31,13.31,12.805,13.07,1779841
2024-08-05,12.73,12.73,12.2,12.7,1779750
2024-08-06,13.33,13.33,12.49,12.95,2063457
2024-08-07,13.5,14.4,12.4024,12.61,2765910
2024-08-08,12.86,13.61,12.82,13.41,1588196
2024-08-09,13.36,13.57,13.205,13.48,951327
2024-08-12,13.6,13.78,13.275,13.3,1116635
2024-08-13,13.38,13.93,13.38,13.91,904779
2024-08-14,14.0,14.5792,13.9,14.45,921848
2024-08-15,14.51,15.09,14.51,14.86,1377490
2024-08-16,14.47,14.9391,14.43,14.52,1310095
2024-08-19,14.48,14.84,14.48,14.6,1042343
2024-08-20,14.31,15.205,14.31,15.04,982775
2024-08-21,15.0,15.055,14.83,15.04,1088134
2024-08-22,14.99,15.125,14.77,14.88,1210827
2024-08-23,14.92,15.025,14.5985,14.5985,918852
2024-08-26,15.15,15.15,14.805,15.09,828408
2024-08-27,14.97,15.18,14.785,15.14,804141
2024-08-28,15.14,15.64,15.0,15.19,896270
2024-08-29,15.36,15.935,15.28,15.87,1031655
2024-08-30,15.94,16.06,15.67,15.75,1102920
2024-09-03,15.75,15.75,14.66,14.7,1217973
2024-09-04,15.05,15.05,14.39,14.43,702497
2024-09-05,14.8,14.8,14.155,14.22,489447
2024-09-06,14.11,14.31,13.55,13.55,761635
2024-09-09,13.66,13.74,13.33,13.62,869377
2024-09-10,12.99,13.67,12.99,13.36,774454
2024-09-11,13.31,13.875,13.02,13.84,1391214
2024-09-12,13.85,15.14,13.61,14.73,1664743
2024-09-13,14.73,15.055,14.6327,14.85,1235400
2024-09-16,14.85,15.04,14.11,14.81,908086
2024-09-17,14.97,15.51,14.88,15.19,1083839
2024-09-18,15.839,15.839,14.96,15.0,830635
2024-09-19,15.73,15.92,15.3,15.47,1059490
2024-09-20,15.43,15.73,15.3,15.3216,1141809
2024-09-23,14.6178,15.46,14.6178,14.98,721599
2024-09-24,15.05,15.15,14.8,14.93,531387
2024-09-25,14.96,15.19,14.94,14.94,685404
2024-09-26,15.26,15.3,15.0601,15.08,648617
2024-09-27,15.24,15.4107,15.07,15.1,667851
2024-09-30,14.95,15.16,14.905,15.1,569624
2024-10-01,15.07,15.09,14.58,14.77,621878
2024-10-02,14.78,15.155,14.6,15.11,558787
2024-10-03,15.11,15.16,14.785,14.85,494428
2024-10-04,15.0,15.13,14.83,14.94,521309
2024-10-07,15.57,15.57,14.56,14.84,427535
2024-10-08,14.87,15.07,14.795,14.9,484018
2024-10-09,14.95,15.67,14.92,15.45,906057
2024-10-10,15.29,15.44,14.5748,15.36,637141
2024-10-11,15.39,15.57,15.05,15.05,489711
2024-10-14,15.32,15.345,14.79,14.93,593910
2024-10-15,14.92,15.13,14.72,14.96,1026634
2024-10-16,15.04,15.1822,14.92,15.0,680534
2024-10-17,15.05,15.23,14.99,15.15,373761
2024-10-18,15.19,15.23,15.0,15.06,537102
2024-10-21,15.03,15.19,14.79,14.81,483659
