datetime,open,high,low,close,volume
2024-08-01,32.36,32.57,30.56,30.67,2728152.0
2024-08-02,30.49,30.49,28.31,28.38,3526017.0
2024-08-05,26.81,28.325,25.32,28.19,4176432.0
2024-08-06,28.63,29.4,28.0,28.4,3079026.0
2024-08-07,28.47,29.41,28.065,28.1,2099568.0
2024-08-08,28.5,29.08,28.18,29.03,1368002.0
2024-08-09,29.0,29.3475,28.67,29.29,952933.0
2024-08-12,29.37,29.75,29.18,29.55,1431510.0
2024-08-13,30.0,30.72,29.93,30.25,1544236.0
2024-08-14,31.25,31.25,30.12,30.46,2193818.0
2024-08-15,31.0,31.86,30.925,31.44,2192490.0
2024-08-16,31.49,31.9,31.42,31.62,1349698.0
2024-08-19,31.75,32.035,31.25,31.63,1274884.0
2024-08-20,31.82,32.15,31.44,31.5,1222576.0
2024-08-21,31.69,32.1775,31.69,31.8,1633675.0
2024-08-22,31.98,32.1999,31.515,31.56,1077119.0
2024-08-23,31.56,32.98,31.56,32.98,1976006.0
2024-08-26,32.98,33.15,32.415,32.45,1229082.0
2024-08-27,32.25,32.38,32.01,32.22,1311655.0
2024-08-28,32.25,32.51,31.75,31.75,1168815.0
2024-08-29,32.2,32.98,32.03,32.34,1528709.0
2024-08-30,32.57,32.82,32.175,32.49,1348399.0
2024-09-03,32.5,32.5,30.35,30.45,2679249.0
2024-09-04,29.432,30.835,29.432,30.67,3111830.0
2024-09-05,30.58,30.88,30.23,30.4,1215987.0
2024-09-06,30.39,30.42,28.95,29.07,1570399.0
2024-09-09,29.28,30.745,28.325,28.76,10379054.0
2024-09-10,28.76,28.99,28.255,28.42,5468219.0
2024-09-11,29.18,30.35,28.28,30.35,4877636.0
2024-09-12,30.04,30.165,29.465,29.62,3642102.0
2024-09-13,29.86,30.24,29.77,29.8,2700919.0
2024-09-16,29.27,30.1,29.23,29.88,2606797.0
2024-09-17,29.99,30.985,29.95,30.75,3702797.0
2024-09-18,30.87,31.92,30.765,31.11,3345980.0
2024-09-19,32.09,32.74,31.825,32.4,6146588.0
2024-09-20,32.4485,33.04,32.0,32.77,6335419.0
2024-09-23,32.76,33.26,32.48,32.74,2963537.0
2024-09-24,32.65,33.35,32.04,32.15,2650643.0
2024-09-25,32.1,32.24,31.485,31.69,2994979.0
2024-09-26,33.0,34.42,31.5104,34.2226,4820539.0
2024-09-27,34.22,34.31,33.205,33.56,2151036.0
2024-09-30,33.48,33.9599,33.03,33.1,1921814.0
2024-10-01,33.41,33.41,32.45,32.72,2238067.0
2024-10-02,32.54,33.385,32.38,32.63,1593386.0
2024-10-03,32.34,32.94,32.34,32.52,1252653.0
2024-10-04,33.25,33.48,33.0,33.47,1472184.0
2024-10-07,33.53,33.79,33.16,33.61,1552061.0
2024-10-08,33.68,33.79,33.4,33.52,1626154.0
2024-10-09,33.56,34.21,33.12,34.1,1653620.0
2024-10-10,34.0,34.28,33.34,34.03,1597532.0
2024-10-11,33.85,35.2,33.85,35.11,2147402.0
2024-10-14,35.4,35.84,34.92,35.41,2429921.0
2024-10-15,35.5,35.71,34.295,34.38,1533844.0
2024-10-16,34.63,34.675,34.16,34.33,2164586.0
2024-10-17,34.3,35.005,34.3,34.95,3235701.0
2024-10-18,35.01,35.32,34.7,34.7,1415319.0
2024-10-21,34.9,34.9,34.24,34.63,1254244.0
2024-10-22,34.27,34.56,34.05,34.56,937254.0
2024-10-23,34.06,34.53,33.645,34.15,1565740.0
2024-10-24,34.47,35.1,34.2675,35.0,1729749.0
2024-10-25,35.22,35.66,34.57,34.57,1741409.0
2024-10-28,35.46,35.69,35.14,35.25,2349182.0
2024-10-29,35.19,35.52,34.41,34.6699,4472304.0
2024-10-30,34.67,36.98,31.8,35.67,5474695.0
2024-10-31,35.64,35.7,34.405,35.7,2535996.0
2024-11-01,35.09,35.72,34.91,35.48,3171158.0
2024-11-04,35.57,36.1,35.09,35.9983,2183458.0
2024-11-05,35.36,36.49,35.13,36.3,1755499.0
2024-11-06,37.49,39.17,37.48,38.98,4669882.0
2024-11-07,39.15,40.055,38.73,38.73,2642778.0
2024-11-08,40.0,40.29,39.44,40.09,2504580.0
2024-11-11,42.14,42.14,38.64,39.36,2475931.0
2024-11-12,38.7,38.96,37.76,37.96,1737897.0
2024-11-13,38.06,38.495,37.82,38.23,1514239.0
2024-11-14,37.87,38.09,37.53,38.0,2546579.0
2024-11-15,37.5,37.99,36.77,37.2,2039208.0
2024-11-18,37.38,37.66,36.76,37.07,2138600.0
2024-11-19,37.14,39.35,36.561,39.35,1337383.0
2024-11-20,39.89,40.48,39.44,40.0,13798305.0
2024-11-21,40.0,41.5,39.83,40.61,8001395.0
2024-11-22,40.95,41.52,40.53,41.45,25306213.0
2024-11-25,41.54,42.47,40.98,41.07,5820421.0
2024-11-26,41.16,42.0,39.86,41.99,5173111.0
2024-11-27,40.21,40.47,38.39,38.82,4001897.0
2024-11-29,38.89,39.36,38.89,38.97,3072110.0
2024-12-02,39.03,39.66,38.92,39.22,2524917.0
2024-12-03,40.02,40.02,38.545,40.0165,3170555.0
