datetime,open,high,low,close,volume
2024-08-01,220.26,224.135,211.4,214.97,294542
2024-08-02,208.01,208.01,196.84,201.39,450145
2024-08-05,187.71,198.5,183.49,196.4,350013
2024-08-06,197.99,202.4,193.9,197.0,319613
2024-08-07,200.0,202.62,192.73,193.64,301609
2024-08-08,198.52,206.105,195.67,205.88,313619
2024-08-09,206.15,210.53,206.005,208.34,250622
2024-08-12,209.77,211.89,207.29,207.31,224569
2024-08-13,211.94,218.4825,210.225,217.81,216531
2024-08-14,220.14,224.98,214.77,219.12,273698
2024-08-15,224.45,236.47,221.0,230.5,420639
2024-08-16,229.26,231.46,226.61,231.08,213370
2024-08-19,233.28,255.0,225.56,252.91,616196
2024-08-20,252.0,278.38,252.0,266.4743,1658699
2024-08-21,267.0,273.6,261.87,273.5,629788
2024-08-22,274.4,274.4,261.17,261.84,274839
2024-08-23,264.61,272.24,263.01,267.35,293290
2024-08-26,268.5,270.0,251.09,252.06,570615
2024-08-27,252.06,252.34,246.26,246.34,357844
2024-08-28,246.11,246.905,240.0,240.0,464058
2024-08-29,247.0,250.705,238.01,242.44,631939
2024-08-30,244.67,246.735,240.07,243.65,300212
2024-09-03,240.99,243.65,220.59,220.84,520410
2024-09-04,220.1,227.0,218.445,225.17,314198
2024-09-05,221.76,228.0,218.0,224.79,339899
2024-09-06,223.98,223.98,206.0,206.0,439472
2024-09-09,213.23,213.23,201.0,209.92,857965
2024-09-10,209.5,210.78,203.66,207.16,499850
2024-09-11,208.0,220.0,206.6,217.98,639797
2024-09-12,216.97,224.63,215.49,221.8,460110
2024-09-13,224.0,232.17,223.0,230.04,480634
2024-09-16,233.51,233.51,223.31,224.74,463149
2024-09-17,228.91,231.79,224.17,230.89,589771
2024-09-18,233.54,234.4,224.72,229.04,471573
2024-09-19,236.88,239.41,232.36,234.28,330110
2024-09-20,233.96,234.89,228.63,231.56,1042863
2024-09-23,230.99,236.41,230.99,233.95,262269
2024-09-24,231.19,234.84,228.68,230.81,237657
2024-09-25,230.9,232.1852,226.25,227.63,238660
2024-09-26,235.0,239.98,231.63,237.53,484145
2024-09-27,238.03,242.37,236.35,239.77,379684
2024-09-30,235.31,239.37,232.22,236.44,243445
2024-10-01,236.44,237.0,225.0101,229.76,280289
2024-10-02,230.21,236.645,226.65,234.03,414715
2024-10-03,231.67,237.905,231.27,234.13,283875
2024-10-04,237.0,242.91,236.51,242.0,322504
2024-10-07,242.85,244.07,239.68,242.3,170360
2024-10-08,240.19,246.465,240.19,244.99,153493
2024-10-09,244.86,255.12,243.53,255.12,377609
2024-10-10,249.59,253.18,244.56,253.09,209597
2024-10-11,252.26,264.55,252.26,263.4,268389
2024-10-14,263.81,270.01,263.5925,264.89,237009
2024-10-15,263.39,264.73,253.95,255.5,301820
2024-10-16,255.51,263.9298,255.04,262.35,275891
2024-10-17,268.09,268.9499,262.28,266.87,236065
2024-10-18,265.51,267.41,237.29,243.02,1146065
2024-10-21,243.03,248.68,234.01,248.48,632712
2024-10-22,245.23,249.38,240.0901,248.35,438192
2024-10-23,245.98,249.7,241.5958,246.65,284376
2024-10-24,249.32,249.61,243.1,245.52,249735
2024-10-25,246.05,250.7,245.155,246.48,155091
2024-10-28,248.82,249.97,245.21,245.65,300558
2024-10-29,245.01,253.68,244.46,252.39,273292
2024-10-30,249.33,253.16,245.865,250.54,168181
2024-10-31,249.01,249.01,240.95,240.97,418639
2024-11-01,242.19,249.54,240.57,242.53,764675
2024-11-04,242.6,265.0,232.45,232.45,704965
2024-11-05,232.0,236.0,208.335,230.23,1882804
2024-11-06,239.25,248.38,230.26,246.73,814416
2024-11-07,247.07,263.05,247.0,262.4,481087
2024-11-08,262.0,272.12,261.11,271.08,566676
2024-11-11,273.2,277.375,265.5,270.93,540953
2024-11-12,266.0,274.22,258.68,258.85,275980
2024-11-13,253.5,262.84,251.53,252.0,209214
2024-11-14,253.1,253.1,245.0,247.03,308474
2024-11-15,249.95,251.64,230.8,234.85,708646
2024-11-18,236.17,238.8295,231.94,232.26,292453
2024-11-19,230.0,248.9,230.0,247.89,332087
2024-11-20,242.1,245.49,216.44,217.03,1097966
2024-11-21,221.0,235.67,210.43,230.01,1208770
2024-11-22,231.98,232.0,226.14,230.43,597851
2024-11-25,231.84,233.17,225.05,228.0,475549
2024-11-26,230.95,236.28,228.925,235.5,489607
2024-11-27,233.5,236.0,221.22,226.4,707861
2024-11-29,225.1,236.54,225.1,234.58,961954
2024-12-02,233.5,237.54,231.04,233.98,503030
2024-12-03,233.98,238.36,230.91,235.38,337776
2024-12-04,239.31,246.04,239.31,241.79,302111
2024-12-05,241.87,241.89,231.68,234.87,199176
2024-12-06,233.6,244.105,232.7,243.0,163948
2024-12-09,244.98,250.895,237.8,238.54,414152
2024-12-10,238.39,238.39,232.2795,233.83,247639
2024-12-11,246.0,246.0,234.0,240.23,254133
2024-12-12,243.98,253.88,239.39,246.18,395969
2024-12-13,249.32,256.24,245.375,247.86,250131
2024-12-16,247.09,247.09,234.71,237.63,498667
2024-12-17,235.66,240.47,229.48,231.76,307636
2024-12-18,240.01,246.02,227.57,231.63,604495
2024-12-19,236.73,238.44,222.42,222.74,434591
2024-12-20,235.01,235.01,215.9,221.26,571343
2024-12-23,225.25,227.2,219.78,220.89,299285
2024-12-24,224.12,224.12,219.925,221.24,156134
2024-12-26,226.0,226.0,218.7,224.15,163790
2024-12-27,220.65,221.435,215.6406,219.47,169516
2024-12-30,218.9,219.51,212.3142,214.77,136555
2024-12-31,215.23,220.78,213.72,219.77,329016
2025-01-02,223.0,223.8,218.045,220.37,216463
2025-01-03,223.11,229.88,219.28,229.69,237031
2025-01-06,233.4,240.51,231.86,232.79,267977
2025-01-07,234.39,236.6699,227.49,229.18,178561
2025-01-08,230.41,233.78,223.47,233.55,449451
2025-01-10,229.36,231.725,225.79,228.35,419061
2025-01-13,228.0,228.0,216.78,221.08,296684
2025-01-14,224.5,231.08,222.24,227.43,383520
2025-01-15,226.93,235.26,226.93,233.74,156989
2025-01-16,239.0,240.0,234.015,235.09,215380
2025-01-17,239.12,243.035,235.37,241.89,345336
2025-01-21,241.92,252.69,240.69,252.1,259814
2025-01-22,252.49,281.79,252.49,267.24,621547
2025-01-23,266.36,267.29,257.55,267.29,380497
2025-01-24,270.0,270.0,256.34,258.73,312866
2025-01-27,245.01,251.0,183.31,204.3,2712180
2025-01-28,205.0,207.7225,192.15,206.78,1042359
2025-01-29,207.0,228.0,204.98,210.0,553827
2025-01-30,215.23,217.865,204.33,212.82,643098
2025-01-31,216.82,224.97,215.36,216.21,699127
2025-02-03,207.35,241.2,205.0,222.0,1292237
2025-02-04,222.5,222.5,197.76,209.06,2963586
2025-02-05,205.31,220.06,205.31,213.8,1322265
2025-02-06,215.5,221.164,210.85,220.84,639592
2025-02-07,220.86,220.86,209.285,212.06,617835
2025-02-10,216.0,216.0,207.47,210.89,397445
2025-02-11,213.38,213.38,204.27,207.09,223676
2025-02-12,205.02,213.455,201.96,211.09,502838
2025-02-13,213.74,215.44,209.65,214.03,373427
2025-02-14,215.68,225.5,211.025,223.04,549826
2025-02-18,222.51,254.61,222.51,240.82,912142
2025-02-19,239.7,240.94,231.7954,239.02,726337
2025-02-20,243.8,243.8,226.53,230.67,598755
2025-02-21,233.28,236.84,220.88,221.9,414807
2025-02-24,223.0,227.835,211.08,213.0,637538
2025-02-25,211.96,214.9744,201.22,204.23,629008
2025-02-26,205.6,217.35,205.0,214.5,424286
2025-02-27,217.5,218.62,194.755,196.65,696644
2025-02-28,193.8,200.875,191.35,200.05,654876
2025-03-03,200.08,203.81,188.84,190.38,626690
2025-03-04,186.93,195.88,184.7,190.35,527633
2025-03-05,192.62,200.15,188.01,197.84,541043
2025-03-06,196.3,196.3,183.5,185.0,1062057
2025-03-07,185.3,195.625,176.99,193.83,1268416
2025-03-10,194.97,194.97,181.85,187.88,738914
2025-03-11,182.0,206.52,182.0,198.0,995150
2025-03-12,194.31,205.0,194.31,201.88,846245
2025-03-13,201.0,228.96,201.0,226.0,1711128
2025-03-14,228.4,228.9139,212.02,220.0,1302755
2025-03-17,215.0,224.06,215.0,221.41,751896
2025-03-18,218.65,227.29,217.13,222.86,514613
2025-03-19,222.93,231.34,218.04,224.52,620780
2025-03-20,222.52,227.13,221.71,222.07,325288
2025-03-21,216.16,222.79,215.24,219.99,443435
2025-03-24,223.0,235.595,223.0,231.3,774111
2025-03-25,228.31,230.71,220.0,222.62,395832
2025-03-26,224.62,224.62,207.56,208.75,648842
2025-03-27,208.02,209.42,203.28,206.6,388653
2025-03-28,204.06,204.07,192.99,195.14,785950
