datetime,open,high,low,close,volume
2024-08-01,36.36,36.36,34.51,34.51,4276836.0
2024-08-02,34.42,34.56,33.555,34.41,5277337.0
2024-08-05,32.7,32.98,30.71,32.95,6121264.0
2024-08-06,32.99,33.2,32.44,32.45,5235507.0
2024-08-07,32.83,33.08,31.72,31.75,6360087.0
2024-08-08,32.01,33.16,31.97,33.16,4939153.0
2024-08-09,32.9473,33.89,32.86,33.54,5648922.0
2024-08-12,33.75,34.17,33.58,33.78,4639079.0
2024-08-13,34.11,34.78,33.97,34.76,4849791.0
2024-08-14,34.69,35.015,34.54,34.75,4114931.0
2024-08-15,34.78,35.559,34.76,35.2,4076434.0
2024-08-16,35.56,36.03,35.04,35.91,4371163.0
2024-08-19,35.68,35.68,34.28,34.59,8230118.0
2024-08-20,34.61,35.0499,34.59,34.937,5269986.0
2024-08-21,34.81,35.47,34.09,35.47,3729805.0
2024-08-22,35.42,35.6789,34.96,34.96,4092610.0
2024-08-23,35.29,36.17,35.27,35.66,5196866.0
2024-08-26,36.01,36.26,35.34,35.45,4483452.0
2024-08-27,35.55,35.7,35.32,35.55,5089580.0
2024-08-28,35.66,35.7,32.71,33.2,10454698.0
2024-08-29,33.68,36.8699,33.3706,35.52,17247771.0
2024-08-30,35.65,36.663,35.46,36.18,7461730.0
2024-09-03,36.18,36.18,34.698,34.698,7723734.0
2024-09-04,35.19,35.64,35.145,35.33,5666624.0
2024-09-05,35.21,35.21,34.26,34.26,5771994.0
2024-09-06,34.25,34.635,33.72,33.85,6413225.0
2024-09-09,34.28,34.83,34.02,34.19,8197922.0
2024-09-10,34.18,34.39,33.37,33.51,6608960.0
2024-09-11,33.2,33.43,32.685,33.31,5601480.0
2024-09-12,33.46,33.47,32.95,33.1,5491185.0
2024-09-13,32.96,33.5475,32.96,33.32,4741571.0
2024-09-16,33.31,33.86,33.14,33.8579,6736939.0
2024-09-17,33.79,34.905,33.79,34.43,8789604.0
2024-09-18,34.49,34.98,34.3,34.53,5552897.0
2024-09-19,34.9,35.216,34.8,35.1268,5596326.0
2024-09-20,34.83,34.92,34.385,34.72,13592301.0
2024-09-23,34.67,35.25,34.63,35.1099,4700578.0
2024-09-24,35.25,35.88,35.11,35.84,4507117.0
2024-09-25,35.78,36.41,35.55,36.1,5068566.0
2024-09-26,36.51,36.9499,36.07,36.85,5182583.0
2024-09-27,36.65,36.65,35.1054,35.5,6712025.0
2024-09-30,35.38,35.99,35.23,35.8699,5638488.0
2024-10-01,35.38,35.49,34.15,34.51,7928452.0
2024-10-02,34.61,35.475,34.46,35.1801,4557878.0
2024-10-03,35.01,35.61,34.98,35.6,6065853.0
2024-10-04,35.43,36.1982,35.43,36.1982,3803366.0
2024-10-07,35.85,36.23,35.6889,35.6889,3264171.0
2024-10-08,35.8,36.155,35.21,35.92,7156327.0
2024-10-09,35.99,36.815,35.8558,36.5,3867047.0
2024-10-10,36.62,36.86,36.36,36.75,4007648.0
2024-10-11,36.7,37.48,36.64,36.95,4745349.0
2024-10-14,37.03,37.465,36.91,37.44,4280064.0
2024-10-15,37.28,37.97,36.845,37.2305,5262687.0
2024-10-16,37.14,37.29,37.04,37.18,2705475.0
2024-10-17,37.49,37.87,37.06,37.58,5440899.0
2024-10-18,37.62,37.805,37.02,37.02,3763210.0
2024-10-21,37.01,37.545,36.45,36.52,4388592.0
2024-10-22,36.29,36.44,35.9,36.23,3241723.0
2024-10-23,36.0,36.43,35.565,36.43,3965233.0
2024-10-24,36.08,36.53,35.65,36.46,4580100.0
2024-10-25,36.66,37.255,36.48,36.88,4105050.0
2024-10-28,36.88,37.635,36.7,37.51,4084227.0
2024-10-29,37.43,37.6496,36.6837,37.06,3796005.0
2024-10-30,36.9,37.26,36.5,36.61,4163142.0
2024-10-31,36.4,36.72,35.26,35.26,4789389.0
2024-11-01,35.64,36.575,35.485,36.5,5155016.0
2024-11-04,36.17,36.457613,35.8,35.99,6938215.0
2024-11-05,36.0,36.655,35.94,36.64,3031482.0
2024-11-06,36.98,37.53,35.8917,36.54,7289558.0
2024-11-07,36.55,37.99,36.45,37.34,4414016.0
2024-11-08,37.4,37.4,36.68,36.84,4290327.0
2024-11-11,36.85,38.6699,36.8,37.92,8822634.0
2024-11-12,37.71,37.93,37.1,37.11,5382867.0
2024-11-13,36.88,37.24,36.36,36.8,4300437.0
2024-11-14,36.73,37.1,36.11,36.15,4648525.0
2024-11-15,36.25,36.935,36.1,36.72,6041534.0
2024-11-18,36.31,37.725,36.31,37.43,6037392.0
2024-11-19,37.46,37.46,36.703,36.86,3773088.0
2024-11-20,36.85,37.0,36.425,36.68,3606272.0
2024-11-21,36.67,37.96,36.11,37.9,4662898.0
2024-11-22,37.86,38.65,37.79,38.4,5412793.0
2024-11-25,38.68,39.795,38.22,39.23,9159413.0
2024-11-26,39.24,39.62,33.41,36.12,10492718.0
2024-11-27,36.25,37.5,33.535,34.67,24992174.0
2024-11-28,34.66,34.7,34.66,34.6701,6895.0
2024-11-29,34.83,35.88,34.2,35.43,16203638.0
2024-12-02,35.4,36.6,35.22,36.45,8704473.0
2024-12-03,36.4501,36.92,35.89,36.78,5167943.0
2024-12-04,36.69,36.94,35.955,36.36,6339763.0
2024-12-05,36.2,36.62,35.9878,36.1017,6373548.0
2024-12-06,36.11,36.6,35.895,36.2,4559451.0
2024-12-09,36.22,36.81,36.11,36.46,4534402.0
2024-12-10,36.45,36.48,34.9,35.03,6012515.0
2024-12-11,35.04,35.04,32.0,34.3601,4927560.0
2024-12-12,34.62,35.2,34.26,35.0,3952449.0
2024-12-13,35.1999,35.25,34.345,34.55,3285019.0
2024-12-16,34.61,34.78,34.05,34.19,6400489.0
2024-12-17,34.18,34.36,33.3278,33.46,5627937.0
2024-12-18,33.84,34.067,32.3,32.5,7344845.0
2024-12-19,32.51,33.14,32.2,32.47,5583912.0
2024-12-20,32.29,33.1901,32.07,32.94,7696028.0
2024-12-23,33.02,33.26,32.61,33.12,4036079.0
2024-12-24,33.15,33.47,33.15,33.44,2062908.0
2024-12-26,33.2,33.65,33.2,33.25,2470199.0
2024-12-27,33.37,33.39,32.97,33.06,3361346.0
2024-12-30,33.27,33.27,32.205,32.61,3376511.0
2024-12-31,32.68,32.915,32.435,32.63,2890736.0
2025-01-02,32.87,32.89,32.285,32.47,3647343.0
2025-01-03,32.78,33.15,32.4031,33.14,3937357.0
2025-01-06,33.3,34.17,33.3,33.87,5642510.0
2025-01-07,34.02,34.45,33.445,33.67,4042092.0
2025-01-08,33.48,33.74,33.002,33.4,2830566.0
2025-01-09,33.4,33.4482,33.4,33.4,1295.0
2025-01-10,33.29,33.445,32.89,33.1,4759052.0
2025-01-11,33.2,33.4,33.2,33.4,825.0
2025-01-13,33.49,33.5,32.47,32.92,5467015.0
2025-01-14,32.9166,33.15,32.37,32.67,4115199.0
2025-01-15,32.8499,33.545,32.695,32.79,5411900.0
2025-01-16,32.88,32.91,32.33,32.4,6762824.0
2025-01-17,32.3512,33.0,32.3512,32.51,7037705.0
2025-01-21,32.69,33.0949,32.22,32.96,5954603.0
2025-01-22,33.09,33.57,32.8299,32.8299,4045785.0
2025-01-23,32.949,33.53,32.76,33.38,3704475.0
2025-01-24,33.38,33.52,32.6064,32.6064,2974973.0
2025-01-27,32.07,33.4199,32.0,33.4199,8521938.0
2025-01-28,33.3322,33.34,32.29,32.74,4713184.0
2025-01-29,32.82,33.055,32.555,32.61,3012001.0
2025-01-30,32.63,33.08,32.512,32.512,2612898.0
2025-01-31,32.76,33.325,32.4028,32.53,4030899.0
2025-02-03,32.0,32.38,31.05,32.0,6723971.0
2025-02-04,32.1,32.512,31.78,31.8,4118948.0
2025-02-05,32.02,32.58,31.99,32.57,4359996.0
2025-02-06,32.6844,32.74,32.385,32.5201,3871770.0
2025-02-07,32.73,32.97,32.14,32.27,3451642.0
2025-02-10,32.45,33.247,32.38,32.83,3937990.0
2025-02-11,32.77,33.29,32.52,33.15,3534649.0
2025-02-12,33.09,33.25,32.505,33.25,3235595.0
2025-02-13,33.15,33.45,32.84,33.03,3952616.0
2025-02-14,33.25,33.81,33.0,33.69,3211930.0
2025-02-15,33.69,33.69,33.6853,33.6853,400.0
2025-02-18,33.6,34.24,33.56,34.12,4165114.0
2025-02-19,34.18,34.86,34.087352,34.67,4382186.0
2025-02-20,34.6785,34.99,34.2069,34.3893,3900458.0
2025-02-21,34.66,34.95,34.4753,34.6,6048666.0
2025-02-24,34.65,35.275,34.05,34.76,6205533.0
2025-02-25,34.41,35.01,34.01,34.1,5970865.0
2025-02-26,34.24,34.4,33.59,33.83,5751399.0
2025-02-27,33.83,34.41,31.0,31.8522,8991124.0
