timestamp,open,high,low,close,volume
2024-08-01,112.67,112.67,107.0,109.0,1346766
2024-08-02,106.01,106.2,96.77,99.62,3542454
2024-08-05,96.71,98.98,94.0,98.24,2000010
2024-08-06,99.0,101.95,97.95,100.46,1425889
2024-08-07,101.17,103.44,97.96,98.44,1117841
2024-08-08,100.6193,102.0,98.96,102.0,904988
2024-08-09,101.61,102.3,100.72,102.13,459095
2024-08-12,102.68,103.34,101.48,102.02,648762
2024-08-13,102.83,104.75,102.14,104.04,666521
2024-08-14,104.94,105.34,102.645,103.7,767644
2024-08-15,103.88,110.0,103.88,106.52,962281
2024-08-16,107.99,107.99,105.07,106.35,609305
2024-08-19,106.63,107.55,105.78,107.46,564536
2024-08-20,105.89,108.11,105.89,106.87,531329
2024-08-21,107.56,109.04,107.02,108.61,592530
2024-08-22,108.73,109.2699,107.0,107.14,461309
2024-08-23,108.0,109.525,107.37,108.51,1171068
2024-08-26,108.4,109.8025,108.0,108.7,828940
2024-08-27,107.86,108.12,106.71,107.6,788666
2024-08-28,107.3,108.46,107.09,107.34,969589
2024-08-29,108.03,109.78,107.24,107.64,999478
2024-08-30,108.89,109.4879,107.47,109.28,1143289
2024-09-03,108.19,108.41,103.12,103.41,1679379
2024-09-04,102.7,104.455,102.05,103.6,1036953
2024-09-05,103.32,104.46,102.09,102.59,846266
2024-09-06,102.07,103.24,100.17,101.04,983136
2024-09-09,102.0,104.825,101.52,102.68,1667136
2024-09-10,103.19,103.19,100.78,101.64,1197860
2024-09-11,101.28,103.62,99.67,103.44,1247940
2024-09-12,103.46,104.91,102.57,103.8,977673
2024-09-13,104.73,106.88,104.455,105.9,2223330
2024-09-16,105.91,105.97,102.9,105.72,1048018
2024-09-17,105.19,107.73,105.19,106.83,1130064
2024-09-18,107.51,110.37,107.11,107.85,1110513
2024-09-19,110.5,111.77,109.56,110.93,1395857
2024-09-20,109.84,114.57,109.84,114.57,2664010
2024-09-23,116.0,116.0,112.11,112.11,1237041
2024-09-24,114.97,115.0,112.68,113.55,924228
2024-09-25,112.87,116.15,112.0,113.77,1664765
2024-09-26,116.18,129.97,114.38,126.55,3264973
2024-09-27,126.51,128.0,122.22,122.34,1715469
2024-09-30,120.03,122.45,118.21,119.83,1575120
2024-10-01,119.63,119.665,117.69,119.16,1286414
2024-10-02,118.61,120.69,118.53,118.97,1064099
2024-10-03,118.17,120.4,118.14,119.9,901428
2024-10-04,119.89,123.73,119.89,121.66,850282
2024-10-07,120.63,122.65,120.63,122.3,982330
2024-10-08,122.29,123.64,120.3485,123.34,1040933
2024-10-09,123.0,125.19,122.66,124.02,799671
2024-10-10,124.02,124.02,121.78,122.91,762448
2024-10-11,122.08,125.05,122.08,124.23,756344
2024-10-14,125.34,126.97,124.5,125.77,1017281
2024-10-15,125.6,126.405,123.555,124.26,1072820
2024-10-16,124.81,125.42,123.6,123.87,594915
2024-10-17,124.6,125.96,124.33,125.92,743986
2024-10-18,125.56,127.69,123.86,126.3,904551
2024-10-21,125.9,126.11,124.11,124.37,649757
2024-10-22,123.02,125.0,121.49,124.02,1230521
2024-10-23,123.8,124.65,121.12,122.94,1230691
2024-10-24,125.0,125.37,123.5,125.03,832880
2024-10-25,125.64,126.61,124.38,124.72,502415
2024-10-28,125.53,125.92,124.57,124.79,509578
2024-10-29,124.33,125.57,123.34,124.49,942213
2024-10-30,123.59,125.54,122.56,123.98,957549
2024-10-31,123.55,123.97,121.15,123.09,1733628
2024-11-01,123.1,128.27,123.09,127.67,1118396
2024-11-04,129.0,129.96,127.05,127.3,908791
2024-11-05,127.06,128.96,126.72,128.66,620537
2024-11-06,129.7,139.205,129.7,137.77,1735357
2024-11-07,137.83,138.79,136.46,137.3,939593
2024-11-08,138.89,138.89,135.52,135.75,550925
2024-11-11,137.01,137.01,134.36,135.52,665330
2024-11-12,134.82,135.71,132.9,132.91,632308
2024-11-13,133.0,133.52,131.69,131.73,776283
2024-11-14,130.56,131.72,128.5852,129.04,951678
2024-11-15,127.45,129.1399,126.86,128.26,892861
2024-11-18,127.78,129.36,126.18,128.29,556811
2024-11-19,127.684,127.93,126.06,127.55,836028
2024-11-20,127.51,128.85,125.97,128.18,663005
2024-11-21,128.18,131.79,128.18,130.64,722531
2024-11-22,130.0,132.0,129.48,132.0,916761
2024-11-25,132.7,137.12,132.6,134.0,787028
2024-11-26,133.6,134.475,132.45,132.72,621097
2024-11-27,135.7,135.7,131.37,133.33,1609625
2024-11-29,133.81,135.93,133.45,135.83,1235926
2024-12-02,134.76,137.28,130.47,135.19,778515
2024-12-03,134.74,135.89,134.36,135.5,635218
2024-12-04,136.15,137.24,135.33,136.44,509858
2024-12-05,137.49,137.59,135.51,135.78,542035
2024-12-06,135.89,136.59,134.67,135.8,629303
