datetime,open,high,low,close,volume
2024-08-01,90.821,90.821,81.001,81.3976,25082150.0
2024-08-02,79.321,83.033,75.8,76.7,24056390.0
2024-08-05,73.397,79.385,70.281,78.5,20576780.0
2024-08-06,77.5,79.498,75.7,75.999,10664270.0
2024-08-07,78.7,80.326,74.336,75.24,9803690.0
2024-08-08,75.794,80.6,75.462,80.6,10934800.0
2024-08-09,80.999,81.702,79.1555,80.966,10987560.0
2024-08-12,81.201,82.251,79.822,80.8861,5769830.0
2024-08-13,81.87,84.224,81.274,84.0,10950580.0
2024-08-14,84.5,85.669,82.725,84.533,6576570.0
2024-08-15,85.1,89.51,85.1,88.451,8661000.0
2024-08-16,88.3,88.51,86.0,87.169,9223130.0
2024-08-19,86.497,88.196,84.81,87.8935,7367030.0
2024-08-20,87.995,88.205,85.626,86.0,7855200.0
2024-08-21,86.463,87.6987,86.044,87.333,6579420.0
2024-08-22,87.479,87.7,83.0,84.3389,10824810.0
2024-08-23,84.651,86.207,83.529,84.848,7255400.0
2024-08-26,84.682,84.682,81.504,81.71,8814100.0
2024-08-27,81.6,82.885,79.94,81.858,7379860.0
2024-08-28,82.051,82.155,78.103,78.5,8916790.0
2024-08-29,79.8,82.696,79.374,80.0,9952670.0
2024-08-30,81.382,82.3765,80.3035,82.102,7540820.0
2024-09-03,81.1,82.101,76.151,76.775,12009040.0
2024-09-04,75.9,77.282,74.277,76.6,7918730.0
2024-09-05,75.763,76.9,74.768,75.592,6361330.0
2024-09-06,75.0,75.6385,73.018,73.25,11554230.0
2024-09-09,74.4,74.6,72.3,73.431,9059190.0
2024-09-10,73.5,74.025,71.662,73.1991,12024350.0
2024-09-11,73.01,76.91,72.241,76.615,13850600.0
2024-09-12,76.86,76.926,74.349,74.76,11432890.0
2024-09-13,75.1,77.255,74.985,76.972,6534580.0
2024-09-16,76.5,77.0,74.5,76.0,9433490.0
2024-09-17,76.0,77.6,75.7,76.604,7958670.0
2024-09-18,76.604,78.0,75.267,76.093,7278270.0
2024-09-19,78.1,80.065,78.0,78.907,12336130.0
2024-09-20,78.15,78.151,76.15,77.319,16036930.0
2024-09-23,77.7,78.5865,77.319,78.35,5674300.0
2024-09-24,78.801,79.799,78.14,79.267,7685670.0
2024-09-25,78.83,84.0,78.827,84.0,9513440.0
2024-09-26,83.9,86.59,82.5,84.537,16866810.0
2024-09-27,84.7,85.4,82.078,82.7451,11383960.0
2024-09-30,82.2,83.099,80.414,81.2,8025070.0
2024-10-01,81.95,82.185,78.687,79.5,10339380.0
2024-10-02,79.5,83.037,79.5,81.409,10271670.0
2024-10-03,81.34,82.121,79.64,81.35,5492542.0
2024-10-04,81.84,83.9,80.49,81.65,5783382.0
2024-10-07,81.33,81.42,80.06,80.841,5566257.0
2024-10-08,80.6,81.61,79.8,80.85,4924246.0
2024-10-09,81.0,83.46,80.72,82.7821,6704883.0
2024-10-10,83.0,83.0,81.02,82.12,5436402.0
2024-10-11,82.36,83.74,81.28,82.87,5212730.0
2024-10-14,83.38,86.3,83.1,85.81,6735762.0
2024-10-15,85.84,86.56,75.91,77.13,21836613.0
2024-10-16,76.0,77.7093,73.8701,74.34,18326009.0
2024-10-17,74.88,77.7,73.03,73.36,15852258.0
2024-10-18,73.5,74.84,72.45,73.01,13947947.0
2024-10-21,73.25,73.9,72.0,73.01,10544368.0
2024-10-22,72.9,73.405,71.43,72.9612,11053598.0
2024-10-23,73.23,77.35,71.56,76.95,16201406.0
2024-10-24,77.2,77.88,74.45,76.6,20088501.0
2024-10-25,76.8,79.6,76.7,77.6,12769231.0
2024-10-28,78.0,78.84,75.18,75.45,8182571.0
2024-10-29,75.6,78.85,75.3344,78.2001,8865327.0
2024-10-30,78.26,78.26,74.96,75.3,7911869.0
2024-10-31,75.25,76.6565,73.45,74.6015,9073290.0
2024-11-01,74.5,75.6,74.06,74.97,6987604.0
2024-11-04,74.8,75.25,73.76,74.2101,5585946.0
2024-11-05,74.049,76.785,74.049,76.42,5511104.0
2024-11-06,76.4,78.09,75.23,76.78,11062011.0
2024-11-07,76.78,79.5,76.52,79.4,8272044.0
2024-11-08,79.16,79.44,77.47,78.2999,5756268.0
2024-11-09,78.25,78.3,78.2,78.2,757.0
2024-11-11,78.53,78.84,74.845,76.1,8399835.0
2024-11-12,76.0,76.67,74.66,75.3994,7520010.0
2024-11-13,75.42,75.5,73.51,73.99,7585962.0
2024-11-14,73.98,75.64,72.46,72.9,7763965.0
2024-11-15,72.55,72.99,69.985,70.2988,11306871.0
2024-11-16,70.4357,70.52,70.3,70.5,3414.0
2024-11-18,70.55,71.5,69.59,70.48,7298021.0
2024-11-19,70.6,71.0,69.5,70.18,5728742.0
2024-11-20,70.3,70.5,68.87,70.08,5959494.0
2024-11-21,70.08,73.57,69.06,73.23,10450082.0
2024-11-22,73.23,73.51,71.6,72.79,6529501.0
2024-11-23,72.87,72.87,72.87,72.87,1042.0
2024-11-25,73.2,74.03,71.64,73.11,9094095.0
2024-11-26,73.013,74.47,72.0,72.81,5688080.0
2024-11-27,72.9,72.9,70.42,71.56,5401358.0
2024-11-28,71.58,71.78,71.5799,71.78,1493.0
2024-11-29,73.55,75.77,72.4754,74.0,19662152.0
2024-12-02,74.0,78.87,73.47,78.7578,10983337.0
2024-12-03,78.7,79.1,77.04,78.39,7187665.0
2024-12-04,78.48,79.83,77.615,78.0,6032510.0
2024-12-05,78.0104,78.14,74.65,75.1993,8174125.0
2024-12-06,75.1165,76.69,74.69,76.26,5469665.0
2024-12-07,76.3686,76.5,76.27,76.5,746.0
2024-12-09,76.69,78.25,75.67,77.3005,7952426.0
2024-12-10,77.32,78.25,74.42,75.1302,7110156.0
2024-12-11,75.14,78.72,75.14,78.17,8889597.0
2024-12-12,78.0706,78.15,74.95,75.9899,6300982.0
2024-12-13,75.9887,77.32,75.4401,76.3494,7239146.0
2024-12-14,76.29,76.29,76.2899,76.29,1463.0
2024-12-16,76.09,78.125,75.3218,77.77,7532316.0
2024-12-17,77.77,78.74,77.42,77.61,9105890.0
2024-12-18,77.7,79.31,72.0,72.1,10063871.0
2024-12-19,72.25,73.87,70.1606,71.11,12887491.0
2024-12-20,71.27,73.475,69.11,71.99,14631147.0
2024-12-21,72.0,72.15,72.0,72.15,2450.0
2024-12-23,72.52,73.9944,71.74,73.73,8062238.0
2024-12-24,73.69,74.6064,73.23,73.66,5486481.0
2024-12-26,73.22,74.56,73.0,73.81,3721896.0
2024-12-27,73.66,73.84,72.64,73.48,3944873.0
2024-12-28,73.34,73.35,73.34,73.35,350.0
2024-12-30,73.23,73.46,71.27,72.09,5157569.0
2024-12-31,72.09,72.9348,71.54,72.05,5008975.0
2025-01-01,72.1275,72.1275,72.1275,72.1275,130.0
2025-01-02,72.93,73.96,71.74,71.7757,5403445.0
2025-01-03,72.7,75.275,72.67,75.15,6313958.0
2025-01-04,75.15,75.15,75.1499,75.1499,1200.0
