datetime,open,high,low,close,volume
2024-08-01,111.1,112.11,99.6229,100.9,28406840.0
2024-08-02,99.0,99.24,91.07,92.85,33722828.0
2024-08-05,87.8,92.25,83.0,92.05,35105672.0
2024-08-06,94.15,94.94,86.72,86.83,24077052.0
2024-08-07,89.0,93.92,85.5,85.65,26858489.0
2024-08-08,86.3,93.0,86.3,93.0,20870194.0
2024-08-09,91.62,94.53,91.0,93.2,19490776.0
2024-08-12,93.61,96.53,92.6301,94.56,17257941.0
2024-08-13,95.79,97.8979,94.64,97.7608,20769148.0
2024-08-14,97.45,101.95,97.0,100.31,20904763.0
2024-08-15,101.05,108.0483,100.5216,107.78,23878228.0
2024-08-16,108.0,109.47,105.35,107.95,16506556.0
2024-08-19,107.5,108.72,104.76,108.42,14457554.0
2024-08-20,108.99,109.19,106.16,107.02,13792180.0
2024-08-21,107.7,108.49,106.21,108.22,11968717.0
2024-08-22,108.12,111.0,103.96,104.7,15422412.0
2024-08-23,105.05,105.93,100.31,102.9093,22658452.0
2024-08-26,102.76,103.3,97.61,98.73,22467921.0
2024-08-27,99.04,99.28,96.668,97.21,15489754.0
2024-08-28,97.91,98.5,91.12,91.15,23312770.0
2024-08-29,92.65,97.98,92.3,96.1484,16733243.0
2024-08-30,96.4,98.4129,94.99,96.1889,15910078.0
2024-09-03,96.35,96.39,87.77,88.29,23614111.0
2024-09-04,87.43,90.73,87.19,89.2692,14861557.0
2024-09-05,89.55,90.7,87.76,89.0109,11209955.0
2024-09-06,88.32,90.2,85.26,86.16,18588787.0
2024-09-09,87.28,88.13,85.01,86.89,16348611.0
2024-09-10,86.89,87.35,84.87,86.5,15385448.0
2024-09-11,86.3,90.83,86.0,90.33,18049141.0
2024-09-12,89.38,91.21,84.12,87.2165,28950720.0
2024-09-13,87.1,91.47,86.7,91.11,19029007.0
2024-09-16,91.09,91.5,85.92,87.11,22510696.0
2024-09-17,87.65,89.57,87.06,88.6,15754993.0
2024-09-18,88.54,89.2,86.71,88.192,16171210.0
2024-09-19,89.1,90.39,87.568,89.44,21764206.0
2024-09-20,89.21,91.21,88.33,91.1484,17296752.0
2024-09-23,92.0,94.8,90.9,94.0475,21443262.0
2024-09-24,94.73,95.9,92.76,94.77,20606437.0
2024-09-25,94.35,109.98,93.79,109.93,53243134.0
2024-09-26,110.12,114.8,107.53,109.03,103784935.0
2024-09-27,109.0,111.15,107.03,107.1,39742017.0
2024-09-30,107.5,107.5,102.26,103.11,35530435.0
2024-10-01,103.56,109.92,98.94,99.9192,31375632.0
2024-10-02,100.2,102.12,99.14,100.55,21266108.0
2024-10-03,100.05,102.53,99.0,102.18,20796904.0
2024-10-04,102.5,104.63,101.4,102.17,19881863.0
2024-10-07,102.25,104.5932,100.81,102.28,19217817.0
2024-10-08,102.38,103.62,101.26,102.41,16222135.0
2024-10-09,102.26,102.82,100.322,101.6,16362293.0
2024-10-10,101.7,106.58,100.51,106.3,26012233.0
2024-10-11,106.12,107.65,104.96,106.8015,17653626.0
2024-10-14,107.0,108.71,106.45,108.41,13341778.0
2024-10-15,107.99,109.49,102.71,104.69,19892156.0
2024-10-16,104.3,109.66,103.93,109.62,18910727.0
2024-10-17,110.12,114.14,109.28,112.4095,23590695.0
2024-10-18,112.34,113.2,109.86,111.0,15138616.0
2024-10-21,111.57,111.61,107.69,109.1,12349690.0
2024-10-22,109.15,109.27,106.37,107.48,11398230.0
2024-10-23,106.95,108.7,103.54,105.55,13470565.0
2024-10-24,106.65,107.53,105.545,107.2,10254611.0
2024-10-25,106.96,109.88,106.96,107.4401,10627736.0
2024-10-28,108.87,108.87,106.23,106.5294,9424395.0
2024-10-29,106.53,108.75,105.6037,107.499,10539575.0
2024-10-30,107.76,107.76,103.0,103.5005,12463640.0
2024-10-31,103.0,103.0,99.0707,100.24,16134661.0
2024-11-01,101.2,101.42,99.37,99.95,11378841.0
2024-11-04,100.5,103.7867,99.72,101.94,12248816.0
2024-11-05,102.01,105.76,101.4,105.1017,10235328.0
2024-11-06,105.11,112.32,105.05,111.6,17444122.0
2024-11-07,111.5227,113.86,111.0,113.07,12017892.0
2024-11-08,113.2,114.3,110.565,111.6001,10653262.0
2024-11-09,111.6,111.62,111.49,111.5996,12794.0
2024-11-11,112.0,112.0,106.77,108.6271,12476073.0
2024-11-12,108.6,108.97,102.95,103.12,5098869.0
2024-11-29,98.84,99.5,96.1,97.88,13091306.0
2024-12-02,97.63,100.09,96.8,98.6,14320511.0
2024-12-03,98.7587,103.68,98.52,100.2388,21428660.0
2024-12-04,100.289,103.41,99.8,102.89,13817912.0
2024-12-05,102.89,104.2498,100.61,101.08,11497346.0
2024-12-06,101.0797,102.19,100.03,101.22,10726512.0
2024-12-07,101.1,101.22,101.0,101.0,6810.0
2024-12-09,101.92,104.5,99.86,102.536,11854327.0
2024-12-10,102.81,105.9,97.2701,98.53,20628594.0
2024-12-11,98.52,102.66,97.855,101.8755,12797909.0
2024-12-12,101.91,102.57,97.76,100.0893,17305281.0
2024-12-13,100.0957,103.2,99.29,102.75,21727359.0
2024-12-14,102.78,102.78,102.55,102.75,18315.0
2024-12-16,104.3,111.13,103.16,108.9385,39278069.0
2024-12-17,108.9376,110.75,107.68,109.07,27672253.0
2024-12-18,109.05,112.04,85.57,88.1,55121025.0
2024-12-19,88.1,92.92,84.61,86.96,86744917.0
2024-12-20,86.93,90.5778,83.54,90.47,41598943.0
2024-12-21,90.43,90.55,90.12,90.4099,132744.0
2024-12-23,90.99,91.5,88.4,89.76,22267026.0
2024-12-24,89.75,93.0,88.23,89.0,12719476.0
2024-12-26,89.31,90.63,88.1,89.68,13205348.0
2024-12-27,89.6,89.69,87.58,88.68,15504763.0
2024-12-28,88.62,88.6699,88.61,88.65,8278.0
2024-12-30,89.12,89.12,84.58,85.03,19297808.0
