datetime,open,high,low,close,volume
2024-08-01,127.34,128.12,121.37,122.51,1412233
2024-08-02,122.13,122.13,117.61,118.83,1473153
2024-08-05,112.36,116.03,111.136,112.9537,1760230
2024-08-06,116.29,118.86,115.81,117.08,1118120
2024-08-07,118.353,119.875,112.98,112.98,1064443
2024-08-08,117.95,119.38,116.23,119.22,809335
2024-08-09,116.42,122.81,116.42,122.76,1024891
2024-08-12,122.49,124.03,122.385,122.93,880755
2024-08-13,123.84,126.54,123.73,125.87,1122092
2024-08-14,126.24,127.739,126.18,127.11,885808
2024-08-15,128.3,131.58,128.3,131.4569,1553050
2024-08-16,132.47,132.47,129.375,130.5,1040055
2024-08-19,130.01,131.95,129.59,131.7,1250989
2024-08-20,131.75,132.1,131.11,131.2,1136723
2024-08-21,131.71,133.86,131.605,133.41,847999
2024-08-22,133.42,134.37,131.24,131.63,859608
2024-08-23,132.15,133.55,132.15,133.08,940874
2024-08-26,133.22,133.7545,130.06,130.06,768178
2024-08-27,132.0,133.3,130.825,133.12,1505650
2024-08-28,133.78,134.5,124.0,125.0,1611999
2024-08-29,125.74,127.0,119.11,119.25,3586023
2024-08-30,119.2,121.11,118.29,120.8,1789085
2024-09-03,121.73,122.9,118.03,118.8,1996320
2024-09-04,118.35,119.25,116.69,119.08,1180895
2024-09-05,119.08,119.08,115.5,116.82,1885605
2024-09-06,117.0,117.57,113.68,114.18,1335912
2024-09-09,115.42,116.23,114.1,114.6,1794497
2024-09-10,114.69,115.3,113.53,114.97,1144033
2024-09-11,114.24,118.04,112.87,118.04,1231714
2024-09-12,115.65,117.28,114.98,116.37,1051581
2024-09-13,116.72,118.12,116.13,117.32,1201222
2024-09-16,117.0,118.07,116.01,117.86,1039521
2024-09-17,118.77,120.32,118.29,119.3,918958
2024-09-18,119.72,121.27,117.625,117.625,974044
2024-09-19,121.0943,122.01,119.895,120.08,937960
2024-09-20,119.3,122.27,119.3,122.22,1327222
2024-09-23,122.7,123.16,121.775,122.92,883633
2024-09-24,123.45,123.74,121.64,122.95,1146657
2024-09-25,122.95,123.4,121.15,122.11,869613
2024-09-26,123.25,125.04,123.13,124.45,1296562
2024-09-27,125.04,129.3167,121.1,121.24,746244
2024-09-30,121.0,123.68,121.0,123.36,1009993
2024-10-01,123.9,123.9,120.92,121.04,962339
2024-10-02,121.26,124.18,121.26,123.02,775514
2024-10-03,122.41,123.45,121.92,122.71,645883
2024-10-04,123.51,123.91,122.1,123.39,561851
2024-10-07,122.57,124.74,122.35,123.87,624880
2024-10-08,123.485,126.75,123.485,126.75,891011
2024-10-09,126.06,127.5,125.4,127.27,943271
2024-10-10,126.49,126.945,124.59,124.98,1036187
2024-10-11,125.0,127.36,125.0,126.93,630158
2024-10-14,126.29,128.0,126.29,126.86,566161
2024-10-15,127.3,128.25,125.0,125.38,860624
2024-10-16,125.57,126.52343,125.43,125.875,558261
2024-10-17,124.99,127.75,124.99,126.4098,594979
2024-10-18,127.25,127.37,125.12,126.53,764417
2024-10-21,125.85,126.9799,124.86,125.32,719878
2024-10-22,124.0,124.115,118.4201,119.74,1405050
2024-10-23,119.0,121.2,118.63,119.01,1228189
2024-10-24,118.98,120.08,118.2271,119.84,1045272
2024-10-25,119.96,120.7,119.34,119.41,812146
2024-10-28,119.42,120.815,119.205,120.5,856006
2024-10-29,120.6,122.33,120.07,121.24,655343
2024-10-30,120.4,121.3,115.36,115.36,1261719
2024-10-31,118.18,118.205,115.15,115.31,1170913
2024-11-01,115.56,117.66,115.56,116.1,1470114
2024-11-04,116.0,116.665,115.25,115.45,1415110
2024-11-05,115.46,116.86,115.46,116.25,974247
2024-11-06,115.3107,121.5,115.3107,121.13,1418369
2024-11-07,121.11,123.06,120.5343,122.83,1293305
2024-11-08,122.85,125.015,122.85,124.01,1079855
2024-11-11,123.63,124.29,121.62,121.93,833323
2024-11-12,121.91,122.55,120.38,120.92,905929
2024-11-13,120.92,122.025,119.51,119.68,1019489
2024-11-14,117.74,119.105,116.07,118.07,1189423
2024-11-15,119.01,119.01,116.68,117.21,1631119
2024-11-18,116.6,119.86,116.6,119.29,1362884
2024-11-19,118.8,122.29,118.7,122.2,1661417
2024-11-20,122.2,124.72,121.265,123.5,1962579
2024-11-21,124.57,139.0,116.8276,133.25,3936292
2024-11-22,133.4,137.56,120.61,122.25,5148934
2024-11-23,122.6,122.6,122.3002,122.4999,1319
2024-11-25,122.79,126.3,122.6,126.27,2913547
2024-11-26,126.25,129.96,125.36,129.0,2105143
2024-11-27,129.6,129.6,122.12,123.033,1412288
2024-11-29,123.0,124.2,122.2,122.64,1553148
2024-12-02,122.64,123.98,121.31,123.29,1079533
2024-12-03,123.01,125.01,122.09,125.0,1091689
2024-12-04,125.5,129.75,125.001,128.8,1888715
2024-12-05,128.0,130.24,128.0,128.79,1467682
2024-12-06,128.86,131.3,128.78,131.11,1496977
2024-12-09,131.47,131.47,127.45,127.6,1117087
2024-12-10,127.41,128.53,120.62,121.22,1814880
2024-12-11,120.6543,124.96,120.6102,122.66,1452460
2024-12-12,122.11,124.29,121.81,123.51,850908
2024-12-13,123.74,124.33,121.52,121.95,590555
2024-12-16,121.95,127.2,121.95,126.0,1499229
2024-12-17,126.08,126.1,121.82,122.49,1025588
2024-12-18,122.9,123.545,117.01,118.0,1280788
2024-12-19,118.11,119.49,116.23,116.58,1236547
2024-12-20,114.39,119.82,114.05,119.23,1412601
2024-12-23,118.74,118.74,117.04,118.08,749915
2024-12-24,118.0,118.86,117.55,118.84,422688
2024-12-26,118.85,119.245,117.44,118.35,538339
2024-12-27,117.22,117.75,113.21,113.21,754692
2024-12-30,115.76,116.83,114.51,114.51,915464
2024-12-31,117.04,117.57,114.66,116.1901,901129
2025-01-02,116.96,117.33,114.8,115.92,1141873
2025-01-03,115.78,117.08,115.77,116.94,792753
2025-01-06,117.73,119.51,117.17,118.0,903295
2025-01-07,118.0,119.2963,116.52,117.18,1112596
2025-01-08,116.87,118.13,115.62,118.1,804172
2025-01-10,117.38,117.565,115.6212,116.28,815097
2025-01-13,114.35,115.08,112.86,114.92,802219
2025-01-14,114.81,117.95,114.81,116.69,1088187
2025-01-15,118.73,119.73,118.36,119.36,780461
2025-01-16,117.74,121.56,117.74,119.98,905220
2025-01-17,119.5147,123.01,119.5147,122.09,1386750
2025-01-18,122.09,122.09,122.09,122.09,54800
2025-01-21,122.85,124.3,122.4,123.67,1084337
