datetime,open,high,low,close,volume
2024-08-01,12.2,12.32,11.29,11.56,9353244.0
2024-08-02,11.61,11.62,11.12,11.34,11194073.0
2024-08-05,10.06,11.35,10.0,11.32,13716587.0
2024-08-06,11.47,11.5,10.3,10.7,12889990.0
2024-08-07,10.89,11.255,10.57,10.71,9559131.0
2024-08-08,10.95,11.2251,10.69,11.07,6311140.0
2024-08-09,11.26,11.46,11.07,11.3447,8340937.0
2024-08-12,11.37,11.525,11.1,11.16,7527381.0
2024-08-13,11.18,11.62,11.12,11.5415,9306180.0
2024-08-14,11.56,11.65,11.315,11.44,5824567.0
2024-08-15,11.53,11.885,11.46,11.8196,6245805.0
2024-08-16,11.82,11.87,11.67,11.87,4867751.0
2024-08-19,11.81,12.2,11.8,12.14,5130577.0
2024-08-20,12.14,12.28,11.88,12.12,5078775.0
2024-08-21,12.11,12.2895,12.045,12.2889,6629049.0
2024-08-22,12.27,12.3578,12.05,12.06,5351347.0
2024-08-23,12.2,12.47,12.0743,12.4,5482334.0
2024-08-26,12.49,12.79,12.25,12.62,6160266.0
2024-08-27,12.63,12.94,12.49,12.83,9623776.0
2024-08-28,12.81,13.04,12.47,12.48,8190256.0
2024-08-29,12.52,13.06,12.5,12.8834,8641877.0
2024-08-30,12.91,12.96,12.7,12.94,12043678.0
2024-09-03,12.94,13.02,12.49,12.52,6966318.0
2024-09-04,12.58,12.82,12.41,12.72,8378225.0
2024-09-05,12.74,14.1,12.44,14.04,18440310.0
2024-09-06,14.01,14.14,11.8615,11.92,37170758.0
2024-09-09,11.95,12.44,11.93,12.247,13959154.0
2024-09-10,12.32,12.32,11.9,11.98,8884178.0
2024-09-11,11.99,12.06,11.66,12.03,9391761.0
2024-09-12,12.05,12.21,11.85,12.0201,7947675.0
2024-09-13,12.05,12.57,12.0,12.507,10559529.0
2024-09-16,12.64,12.935,12.3622,12.45,7940650.0
2024-09-17,12.5,12.585,12.22,12.29,9087294.0
2024-09-18,12.26,12.58,12.12,12.395,7364033.0
2024-09-19,12.51,12.725,12.38,12.41,11765961.0
2024-09-20,12.46,12.61,12.135,12.45,11667255.0
2024-09-23,12.49,12.94,12.32,12.8998,9114907.0
2024-09-24,12.88,13.0886,12.81,12.9201,5141209.0
2024-09-25,12.9,12.96,12.46,12.49,4966415.0
2024-09-26,12.63,12.85,12.25,12.59,5340907.0
2024-09-27,12.53,12.85,12.53,12.82,4151493.0
2024-09-30,12.82,12.92,12.61,12.76,3959416.0
2024-10-01,12.81,12.86,12.34,12.38,5319835.0
2024-10-02,12.36,12.45,12.26,12.38,4004860.0
2024-10-03,12.38,12.38,11.89,11.97,6145152.0
2024-10-04,12.1,12.605,12.0,12.4998,5945535.0
2024-10-07,12.45,12.51,12.17,12.29,5176504.0
2024-10-08,12.25,12.38,12.12,12.1502,3776100.0
2024-10-09,12.15,12.515,12.15,12.4008,5889254.0
2024-10-10,12.5,12.63,12.1,12.5601,6175753.0
2024-10-11,12.58,12.81,12.47,12.71,6246764.0
2024-10-14,12.7,12.805,12.6,12.74,3303419.0
2024-10-15,12.82,13.05,12.63,12.94,6726537.0
2024-10-16,12.95,12.95,12.72,12.8196,3141720.0
2024-10-17,12.77,12.89,12.63,12.7117,3384197.0
2024-10-18,12.81,13.18,12.72,13.15,4849451.0
2024-10-21,13.25,13.39,12.915,13.1,5210022.0
2024-10-22,12.95,13.08,12.59,12.67,5831306.0
2024-10-23,12.67,12.78,11.9112,12.1,11379827.0
2024-10-24,12.06,12.58,12.06,12.42,4797307.0
2024-10-25,12.5,12.59,12.31,12.31,4175058.0
2024-10-28,12.39,12.59,12.39,12.52,5295409.0
2024-10-29,12.47,12.76,12.42,12.73,3023191.0
2024-10-30,12.71,12.98,12.51,12.6,3639379.0
2024-10-31,12.5,12.74,12.32,12.36,3859696.0
2024-11-01,12.36,12.65975,12.33,12.57,3901666.0
2024-11-04,12.53,12.595,12.13,12.32,4797591.0
2024-11-05,12.32,12.57,12.24,12.5684,5061092.0
2024-11-06,12.5,13.2499,12.44,13.22,8481589.0
2024-11-07,13.21,13.4285,13.11,13.3,6654705.0
2024-11-08,13.4,13.5,13.045,13.17,3731031.0
2024-11-09,13.19,13.19,13.18,13.19,1244.0
2024-11-11,13.38,14.06,13.21,14.0,11585701.0
2024-11-12,13.99,14.25,13.3048,13.33,5093743.0
2024-11-13,13.33,14.05,13.22,13.58,7971470.0
2024-11-14,13.6094,14.5,12.57,12.6,10456825.0
2024-11-15,12.63,12.66,12.2,12.39,9300156.0
2024-11-16,12.39,12.43,12.39,12.43,707.0
2024-11-18,12.45,12.6,12.295,12.53,4751330.0
2024-11-19,12.53,12.79,12.32,12.71,5838864.0
2024-11-20,12.77,13.0299,12.72,12.9299,8326864.0
2024-11-21,12.92,13.76,12.76,13.71,10569851.0
2024-11-22,13.73,14.65,13.63,14.38,12659944.0
2024-11-23,14.37,14.42,14.33,14.42,43603.0
2024-11-25,14.61,14.98,14.45,14.51,9197214.0
2024-11-26,14.51,14.72,14.07,14.21,5997148.0
2024-11-27,14.22,14.36,13.78,13.9001,5135188.0
2024-11-28,13.92,13.94,13.91,13.94,9734.0
2024-11-29,13.94,14.2601,13.94,14.26,7927122.0
2024-12-02,14.4,14.845,14.3,14.5594,8965061.0
2024-12-03,14.55,14.78,14.18,14.4207,6321169.0
2024-12-04,14.48,15.67,14.45,15.4,15088934.0
2024-12-05,15.36,16.68,13.81,13.9,25601365.0
2024-12-06,13.9,15.34,13.67,14.68,26608022.0
2024-12-07,14.7185,14.74,14.61,14.7,32272.0
2024-12-09,14.62,15.93,14.62,15.5,19018313.0
2024-12-10,15.5,15.9,14.495,14.76,13086585.0
2024-12-11,14.76,14.96,14.3,14.61,8336815.0
2024-12-12,14.6201,14.74,13.92,14.2881,7544648.0
2024-12-13,14.22,14.33,13.62,13.93,8016409.0
2024-12-14,13.99,14.0,13.98,14.0,2082.0
2024-12-16,14.0,14.28,13.765,14.08,7180944.0
2024-12-17,14.07,14.1,13.8326,13.91,5368318.0
2024-12-18,13.93,14.06,12.88,12.97,9162406.0
2024-12-19,12.95,13.21,12.64,12.72,9284327.0
2024-12-20,12.76,13.35,12.26,13.35,8094815.0
2024-12-21,13.35,13.35,13.2715,13.337,6617.0
2024-12-23,13.62,13.62,12.92,13.08,5505218.0
2024-12-24,13.07,13.14,12.89,13.06,2554286.0
2024-12-26,13.24,13.49,12.975,13.19,4413277.0
2024-12-27,13.18,13.49,12.7318,12.95,6219783.0
2024-12-28,12.9,12.94,12.9,12.92,6511.0
2024-12-30,12.94,12.95,12.48,12.64,5556437.0
2024-12-31,12.75,12.8476,12.53,12.68,4238789.0
2025-01-01,12.6735,12.73,12.65,12.73,9854.0
2025-01-02,12.85,13.05,12.72,12.9,4899560.0
2025-01-03,12.95,13.39,12.7892,13.38,5956624.0
2025-01-04,13.3799,13.39,13.35,13.39,23372.0
2025-01-06,13.69,14.59,13.41,13.8688,15631397.0
2025-01-07,13.8699,14.39,13.13,13.2,9098016.0
2025-01-08,13.21,13.54,12.84,13.4397,8107067.0
2025-01-09,13.44,13.44,13.35,13.43,40669.0
2025-01-10,13.49,13.49,12.75,12.91,7450110.0
2025-01-11,12.9301,12.95,12.93,12.95,891.0
2025-01-13,12.73,12.9386,12.55,12.92,5526873.0
2025-01-14,12.9387,13.345,12.85,13.3,5945721.0
2025-01-15,13.32,13.86,13.26,13.434,6168148.0
2025-01-16,13.3902,13.65,13.17,13.2814,7566896.0
2025-01-17,13.301,13.62,12.985,13.06,5433679.0
2025-01-18,13.13,13.14,13.02,13.07,10926.0
2025-01-21,13.09,13.5,13.05,13.39,5790291.0
2025-01-22,13.4873,13.6,13.13,13.4,7680127.0
2025-01-23,13.4012,13.82,13.2959,13.77,5018756.0
2025-01-24,13.8,14.0789,13.66,13.9584,5683840.0
2025-01-25,13.905,13.96,13.905,13.9112,1352.0
2025-01-27,13.78,14.33,12.81,13.8,11108228.0
2025-01-28,13.85,15.345,13.7,15.25,17170130.0
2025-01-29,15.22,15.3,13.99,14.37,12705847.0
2025-01-30,14.37,14.9,14.3,14.64,10325981.0
2025-01-31,14.61,15.07,14.12,14.26,8257370.0
2025-02-01,14.25,14.27,14.17,14.21,10583.0
2025-02-03,13.88,14.5201,13.4,14.5,5740196.0
2025-02-04,14.52,14.65,14.03,14.42,6074300.0
2025-02-05,14.4,14.94,14.36,14.85,7017202.0
2025-02-06,14.86,15.05,14.19,14.25,5125084.0
2025-02-07,14.25,14.68,13.9,13.94,7874172.0
2025-02-08,13.99,13.99,13.94,13.9595,3717.0
2025-02-10,14.18,14.62,14.05,14.2294,6766263.0
2025-02-11,14.2299,14.37,13.835,14.0,7951339.0
2025-02-12,13.9999,14.24,13.611,14.19,5308876.0
2025-02-13,14.2,15.4,13.97,15.15,10129025.0
2025-02-14,15.1694,15.5,14.705,14.84,6584437.0
2025-02-15,14.8883,14.9,14.86,14.9,5049.0
2025-02-18,14.9,15.16,14.582,14.96,7838655.0
2025-02-19,14.9404,15.19,14.3,14.3782,6436273.0
2025-02-20,14.33,14.41,13.83,14.1427,6352990.0
2025-02-21,14.2395,14.38,13.3,13.5212,7757702.0
2025-02-22,13.5007,13.5007,13.45,13.5,6726.0
2025-02-24,13.65,13.77,12.9,13.18,6288691.0
2025-02-25,13.0411,13.26,12.37,12.82,10099588.0
2025-02-26,12.76,13.05,12.65,12.8981,5894265.0
2025-02-27,12.8,13.38,12.27,12.3498,7195372.0
2025-02-28,12.35,12.425,12.03,12.3683,6892478.0
2025-03-01,12.32,12.3393,12.31,12.3107,2415.0
2025-03-03,12.6,12.605,11.72,11.9,7610361.0
2025-03-04,11.8317,12.06,11.38,12.0,12661713.0
