datetime,open,high,low,close,volume
2024-08-01,60.01,60.53,55.945,56.83,2510442
2024-08-02,55.0,55.5,52.67,55.0,2665365
2024-08-05,50.5,53.75,48.25,53.75,2968521
2024-08-06,53.03,54.9614,52.49,53.0,1478349
2024-08-07,53.84,55.14,51.0,52.01,1992027
2024-08-08,53.01,55.36,52.5,55.25,1977475
2024-08-09,55.45,56.91,54.2156,56.68,1784493
2024-08-12,56.7,58.05,56.1641,56.1641,1993154
2024-08-13,59.0,60.0,57.885,59.59,1852545
2024-08-14,59.32,60.62,59.32,60.3,1735547
2024-08-15,60.85,63.1,60.85,62.74,1736558
2024-08-16,62.68,62.84,61.41,62.42,1394257
2024-08-19,62.0,62.42,61.01,61.96,1844583
2024-08-20,62.04,63.29,61.27,61.2801,1385015
2024-08-21,61.72,62.51,61.3301,62.35,1487569
2024-08-22,62.46,64.4703,60.0,60.0,1523211
2024-08-23,61.38,62.635,61.1014,61.5,1667212
2024-08-26,61.57,62.5,60.1,60.5,2184229
2024-08-27,60.6,62.3717,59.21,61.18,2881541
2024-08-28,61.36,61.99,49.8,49.81,3398739
2024-08-29,50.85,54.24,49.79,50.6378,12040415
2024-08-30,50.93,51.955,50.495,51.4871,3806298
2024-09-03,51.29,51.29,47.405,48.3,6189802
2024-09-04,48.01,48.01,46.29,47.39,4659687
2024-09-05,47.06,47.71,46.3707,46.3707,3843219
2024-09-06,46.37,47.11,44.76,45.73,3131271
2024-09-09,46.11,47.19,45.96,46.4,2127755
2024-09-10,46.4,47.01,46.01,46.7,2054697
2024-09-11,46.63,48.1,46.1,47.71,2223690
2024-09-12,48.01,48.58,47.41,47.6375,2048320
2024-09-13,48.3,49.415,48.14,48.9,1859629
2024-09-16,48.81,49.685,48.17,49.58,2540792
2024-09-17,49.69,50.4905,49.52,50.0,1859713
2024-09-18,50.0,50.68,49.23,49.44,2001814
2024-09-19,50.79,51.16,49.44,49.74,2936890
2024-09-20,49.05,50.995,48.8,50.72,2328701
2024-09-23,50.95,51.12,50.07,50.15,2645171
2024-09-24,50.0,50.565,49.0,49.0197,1891784
2024-09-25,49.82,51.4736,49.73,50.75,2026577
2024-09-26,51.43,52.0,50.09,51.1494,3500931
2024-09-27,50.8665,50.8665,49.13,49.44,2558620
2024-09-30,49.02,50.24,48.7655,50.0,2232996
2024-10-01,50.13,51.0225,48.5004,48.6,1507690
2024-10-02,48.43,50.6,48.42,50.38,1952801
2024-10-03,49.7,50.6832,49.35,49.76,1292244
2024-10-04,50.68,51.45,50.03,51.12,2083629
2024-10-07,51.2,51.63,50.77,51.05,1714590
2024-10-08,51.49,53.04,51.01,53.04,1542973
2024-10-09,52.49,53.554,52.06,53.03,1688409
2024-10-10,53.2,53.27,51.5168,53.09,1269462
2024-10-11,52.92,53.74,52.6008,52.7812,2178841
2024-10-14,53.64,54.6,53.64,53.9,1618153
2024-10-15,53.5104,54.61,52.425,52.59,1484859
2024-10-16,52.67,54.0,52.67,53.55,1825808
2024-10-17,54.25,56.6425,54.25,56.6425,3695609
2024-10-18,56.69,57.43,56.51,57.1,2832406
2024-10-21,57.07,57.96,56.6,57.5,2613890
2024-10-22,57.39,57.39,52.53,53.01,4831387
2024-10-23,53.01,53.38,51.99,52.6299,1609763
2024-10-24,52.84,53.5993,52.37,53.5,1111417
2024-10-25,53.86,54.71,53.25,53.3001,1229894
2024-10-28,54.72,54.72,54.06,54.12,806282
2024-10-29,54.05,55.1591,53.77,55.0,1184370
2024-10-30,54.95,55.01,52.81,53.21,1827269
2024-10-31,52.9,53.0,49.9,50.27,2477255
2024-11-01,50.3,51.76,50.05,51.12,1618908
2024-11-04,50.87,51.1,49.53,49.8,2103318
2024-11-05,49.9,51.505,49.78,51.34,1599385
2024-11-06,52.77,54.4182,52.16,54.15,2623293
2024-11-07,55.6,55.6,53.5,53.64,1375179
2024-11-08,53.6541,53.8583,52.68,52.7,2247162
2024-11-09,52.9,53.2,52.9,53.2,390
2024-11-11,52.99,53.29,52.07,52.64,1670046
2024-11-12,52.977,52.977,49.84,50.15,3717832
2024-11-13,50.21,52.9545,45.15,49.92,9303017
2024-11-14,49.98,50.53,48.99,49.61,1715702
2024-11-15,49.8,49.8,47.71,48.19,1971883
2024-11-18,49.2,49.92,48.58,49.5,2255146
2024-11-19,49.903,50.25,48.51,50.19,2066347
2024-11-20,50.01,50.1602,48.95,49.78,927359
2024-11-21,49.45,52.3,49.28,51.6,1660245
2024-11-22,51.65,53.05,51.4941,51.66,1906931
2024-11-23,51.56,51.56,51.56,51.56,300
2024-11-25,52.06,53.8,52.06,53.58,2730507
2024-11-26,53.62,55.06,52.05,54.4,1775053
2024-11-27,54.64,54.92,51.43,52.7,1732693
2024-11-28,52.8,52.99,52.8,52.99,401
2024-11-29,53.2,53.81,52.9,52.99,1836580
2024-12-02,52.83,54.0899,52.82,53.33,2351222
2024-12-03,53.29,69.1,52.56,64.19,5245985
2024-12-04,64.23,67.95,60.2801,65.5,12683372
2024-12-05,65.5,66.65,62.3,62.65,5687735
2024-12-06,62.6,65.97,62.6,64.95,4082052
2024-12-07,64.95,64.95,64.95,64.95,100
2024-12-09,65.19,65.49,62.773,63.79,2821891
2024-12-10,63.73,63.97,60.03,60.5,3048840
2024-12-11,60.6,62.87,60.35,61.95,2298891
2024-12-12,61.7844,62.98,61.2045,62.75,1728150
2024-12-13,62.76,64.26,62.1418,63.7,3247824
2024-12-14,63.67,63.67,63.6601,63.6601,1476
2024-12-16,64.27,66.99,63.5,66.29,2817609
2024-12-17,66.3,66.81,64.87,65.404,2445500
2024-12-18,65.43,66.6522,61.1,61.8,3246463
2024-12-19,61.92,63.64,61.01,62.6092,4022409
2024-12-20,62.6,65.2,60.9,64.48,3417349
2024-12-21,64.83,64.85,64.82,64.85,809
2024-12-23,65.49,65.65,63.37,64.26,2069732
2024-12-24,64.15,64.75,63.71,64.75,1179449
2024-12-26,64.76,65.66,64.28,65.4987,1613774
2024-12-27,65.2,65.5,63.22,63.88,1170472
2024-12-28,63.74,63.74,63.43,63.43,800
2024-12-30,64.1,64.1,61.65,62.7,1279944
2024-12-31,62.47,63.41,61.17,61.39,1386462
2025-01-01,61.1,61.341,61.1,61.341,630
2025-01-02,62.31,63.365,61.105,62.77,1726675
2025-01-03,62.6,64.33,62.25,64.12,1562091
2025-01-06,64.12,65.9641,64.12,64.56,1563917
2025-01-07,64.9,65.5,62.77,62.82,1451792
2025-01-08,62.98,64.4467,62.3,64.11,2113701
2025-01-10,63.99,64.96,62.41,64.73,3452167
2025-01-13,64.3,64.3,60.62,62.59,2404179
2025-01-14,62.67,64.15,62.48,63.25,1473495
2025-01-15,63.51,65.6698,63.51,64.6,2043606
2025-01-16,64.75,67.2273,64.602,65.25,2206301
2025-01-17,65.43,67.0257,64.9228,66.42,1530220
2025-01-21,66.8,70.6408,66.8,70.5,3103549
2025-01-22,70.28,73.67,70.28,72.0,2789837
2025-01-23,72.3,73.0,70.95,73.0,1742440
2025-01-24,72.8931,73.59,71.7,72.4,1638573
2025-01-27,69.58,69.58,61.73,65.52,5947741
2025-01-28,65.51,67.67,63.44,67.42,2228639
2025-01-29,66.82,68.89,66.6,67.83,1536912
2025-01-30,68.5,69.7843,68.1,68.1,1362463
2025-01-31,69.0,70.18,67.64,67.8,1539479
2025-02-01,67.7,67.7,67.7,67.7,250
2025-02-03,65.01,67.67,64.72,67.66,2024109
2025-02-04,67.28,68.7356,66.21,68.7356,1658077
2025-02-05,68.02,71.169,67.68,71.169,1658539
2025-02-06,70.3,70.8,69.12,69.71,1163340
2025-02-07,69.27,70.99,68.46,68.62,1775948
2025-02-08,68.24,68.75,68.15,68.75,800
2025-02-10,69.79,71.3,69.01,70.999,1241560
2025-02-11,70.48,70.57,67.0001,67.5,2761147
2025-02-12,68.47,68.47,65.6332,67.75,1760247
2025-02-13,67.25,67.9895,66.64,66.69,1178934
2025-02-14,67.6,68.83,66.34,67.8,1256660
2025-02-18,69.0,69.0,67.41,68.94,1311475
2025-02-19,69.0,69.0,67.58,67.89,1381352
2025-02-20,67.69,68.43,65.87,68.0,1449505
