datetime,open,high,low,close,volume
2024-08-01,3.94,3.94,3.75,3.8958,10673
2024-08-02,3.76,3.88,3.7593,3.78,12674
2024-08-05,3.54,3.78,3.16,3.395,83560
2024-08-06,3.41,3.585,3.36,3.42,13437
2024-08-07,3.41,3.49,3.4001,3.48,10819
2024-08-08,3.5,3.63,3.45,3.53,6420
2024-08-09,3.53,3.545,3.3,3.3,11332
2024-08-12,3.4,3.45,3.2,3.3,21018
2024-08-13,3.411,3.58,3.3306,3.58,8200
2024-08-14,3.489,3.489,3.1263,3.18,54826
2024-08-15,3.39,3.47,3.3,3.368,5036
2024-08-16,3.37,3.4599,3.37,3.3901,2091
2024-08-19,3.36,3.43,3.35,3.36,8592
2024-08-20,3.45,3.7691,3.415,3.71,9377
2024-08-21,3.6,3.72,3.4156,3.71,5154
2024-08-22,3.58,3.83,3.58,3.83,4691
2024-08-23,3.595,3.6633,3.5,3.635,5428
2024-08-26,3.59,4.0957,3.56,3.74,34329
2024-08-27,3.92,4.1,3.75,3.89,39328
2024-08-28,3.83,3.94,3.79,3.79,7270
2024-08-29,3.785,3.8613,3.6901,3.7217,3726
2024-08-30,3.79,3.79,3.67,3.68,11614
2024-09-03,3.6,3.69,3.3,3.3,18751
2024-09-04,3.25,3.46,3.2,3.25,21006
2024-09-05,3.25,3.27,3.0,3.09,18596
2024-09-06,3.14,3.19,2.9785,3.03,15097
2024-09-09,3.17,3.32,3.17,3.32,4760
2024-09-10,3.2,3.2,3.0,3.0,14343
2024-09-11,3.1,3.2598,3.05,3.13,19437
2024-09-12,3.3,3.675,3.3,3.42,115954
2024-09-13,3.38,3.665,2.91,3.15,75986
2024-09-16,3.3,4.71,2.86,4.51,12383708
2024-09-17,4.34,5.73,4.21,5.73,1601640
2024-09-18,5.79,6.75,5.38,6.46,1099283
2024-09-19,6.2,6.6,5.45,5.79,265039
2024-09-20,5.65,5.99,5.6,5.6162,90472
2024-09-23,6.0,6.55,5.55,6.14,194230
2024-09-24,6.31,6.38,5.96,6.38,102210
2024-09-25,6.12,6.5099,5.99,6.05,117988
2024-09-26,6.5,6.69,6.01,6.16,183160
2024-09-27,6.31,7.9228,6.3016,7.52,225018
2024-09-30,7.54,8.1569,6.94,6.96,309728
2024-10-01,7.63,7.8,7.06,7.59,172901
2024-10-02,7.77,7.78,7.35,7.49,85005
2024-10-03,7.71,7.99,7.3301,7.99,43939
2024-10-04,8.0,8.1,7.37,7.615,85163
2024-10-07,7.35,7.79,7.032,7.27,127099
