datetime,open,high,low,close,volume
2024-08-01,7.31,7.3836,6.7698,6.8006,297069.0
2024-08-02,6.8,6.8,6.23,6.2971,397175.0
2024-08-05,6.39,6.39,5.63,6.16,393534.0
2024-08-06,6.35,6.35,5.85,6.0,247828.0
2024-08-07,6.26,7.25,5.7105,6.85,358170.0
2024-08-08,6.58,8.57,6.57,8.57,2256526.0
2024-08-09,8.42,8.63,8.12,8.27,827673.0
2024-08-12,8.26,8.6199,8.16,8.43,402369.0
2024-08-13,8.43,9.56,8.4,9.26,725834.0
2024-08-14,9.46,9.57,8.91,9.22,440365.0
2024-08-15,9.22,9.8899,9.04,9.6,406090.0
2024-08-16,9.9539,10.5,9.3722,9.91,911091.0
2024-08-19,10.1,10.4942,9.71,10.2,339700.0
2024-08-20,10.2,10.355,9.92,10.14,230812.0
2024-08-21,10.49,10.5,9.992,10.0,225775.0
2024-08-22,10.2485,10.28,9.56,9.61,246058.0
2024-08-23,9.77,10.02,9.625,9.86,232390.0
2024-08-26,9.82,9.82,9.26,9.35,161646.0
2024-08-27,9.28,9.32,9.03,9.13,199292.0
2024-08-28,9.19,9.21,8.62,9.07,234841.0
2024-08-29,9.02,9.2497,8.9,9.2,211350.0
2024-08-30,9.0943,9.27,8.95,9.21,151498.0
2024-09-03,9.0,9.0,8.11,8.32,239657.0
2024-09-04,8.15,8.33,8.04,8.24,156410.0
2024-09-05,8.18,8.3,8.05,8.23,198651.0
2024-09-06,8.18,8.21,7.93,8.08,151098.0
2024-09-09,8.15,8.715,8.13,8.69,379219.0
2024-09-10,8.69,9.35,8.64,9.35,793338.0
2024-09-11,9.18,9.56,9.1201,9.51,456066.0
2024-09-12,9.47,9.47,9.01,9.3615,267325.0
2024-09-13,9.17,9.44,9.15,9.33,211556.0
2024-09-16,9.4,9.4,9.08,9.2,175858.0
2024-09-17,9.25,9.3,9.035,9.035,185885.0
2024-09-18,9.3,9.57,8.98,9.01,162699.0
2024-09-19,9.0,9.5,9.0,9.33,155826.0
2024-09-20,9.31,9.38,9.1017,9.1017,212134.0
2024-09-23,9.33,9.33,8.87,8.87,126536.0
2024-09-24,9.15,9.15,8.6,8.97,154190.0
2024-09-25,8.97,9.0,8.58,8.62,128677.0
2024-09-26,8.86,9.2,8.61,9.05,123930.0
2024-09-27,9.04,9.1898,8.9152,9.08,142743.0
2024-09-30,8.9,9.1299,8.84,9.1,118773.0
2024-10-01,9.0,9.08,8.41,8.45,156396.0
2024-10-02,8.49,8.87,8.41,8.56,147806.0
2024-10-03,8.49,8.57,8.31,8.39,161629.0
2024-10-04,8.26,8.7,8.26,8.39,204036.0
2024-10-07,8.2502,8.55,8.2502,8.45,176626.0
2024-10-08,8.33,8.87,8.33,8.62,268776.0
2024-10-09,8.64,9.232,8.64,9.03,196310.0
2024-10-10,8.99,9.39,8.78,9.18,293310.0
2024-10-11,9.41,9.81,9.28,9.62,242457.0
2024-10-14,9.63,9.9902,9.5,9.9902,233286.0
2024-10-15,9.88,10.21,9.4802,9.5016,295358.0
2024-10-16,9.88,9.89,9.5963,9.73,175383.0
2024-10-17,9.71,10.1275,9.56,10.1275,125568.0
2024-10-18,9.79,10.19,9.67,9.82,270392.0
2024-10-21,9.85,9.945,9.5761,9.72,246655.0
2024-10-22,9.67,10.265,9.55,10.02,214144.0
