datetime,open,high,low,close,volume
2024-08-01,232.15,233.55,214.3328,217.1,78879239.0
2024-08-02,214.63,221.85,205.78,208.0,78562214.0
2024-08-05,196.87,205.49,181.17,205.21,96489994.0
2024-08-06,205.7,207.65,192.67,195.0799,70942474.0
2024-08-07,198.8,203.49,188.5,189.56,67500438.0
2024-08-08,192.35,200.78,189.63,200.6,61503854.0
2024-08-09,199.88,202.75,195.11,200.12,56853869.0
2024-08-12,200.5,202.56,194.67,197.7,60638720.0
2024-08-13,198.89,208.49,196.6,206.931,72444280.0
2024-08-14,206.5,210.75,198.75,200.76,67368395.0
2024-08-15,201.81,216.0,200.51,214.97,85260846.0
2024-08-16,214.66,219.8,210.47,216.3244,85131606.0
2024-08-19,215.5,222.98,212.21,222.0,72661424.0
2024-08-20,223.37,228.22,219.41,219.41,71967221.0
2024-08-21,220.22,224.6594,218.86,223.6,68343975.0
2024-08-22,223.0,225.55,210.2,211.98,73415388.0
2024-08-23,213.39,221.48,212.36,220.8923,77271046.0
2024-08-26,220.36,221.38,211.01,213.28,56817603.0
2024-08-27,214.33,215.66,206.94,208.1,60528731.0
2024-08-28,208.65,211.84,202.1304,202.31,61628535.0
2024-08-29,205.4,214.89,203.61,207.34,60676799.0
2024-08-30,208.78,214.65,207.03,213.6605,58465270.0
2024-09-03,215.0,219.9043,209.005,209.1,73202476.0
2024-09-04,209.01,222.22,207.32,218.88,77338648.0
2024-09-05,221.41,235.0,218.85,229.67,115561086.0
2024-09-06,228.73,234.68,209.73,211.5,105498607.0
2024-09-09,214.65,219.87,213.54,217.23,63989810.0
2024-09-10,217.0,226.69,214.98,226.5782,76109399.0
2024-09-11,225.41,228.5,216.8003,227.2384,80291130.0
2024-09-12,228.0,231.45,223.83,229.5001,69287105.0
2024-09-13,229.0,232.67,226.32,230.07,57083530.0
2024-09-16,230.04,231.96,223.53,226.08,52519365.0
2024-09-17,227.41,234.57,225.96,227.53,63906196.0
2024-09-18,228.35,235.68,226.5,229.41,75726424.0
2024-09-19,233.05,244.5,231.14,244.1215,96793736.0
2024-09-20,244.04,244.79,235.92,239.3,80915298.0
2024-09-23,240.0,250.26,238.25,249.4,81916063.0
2024-09-24,252.01,257.19,249.0501,254.54,83908632.0
2024-09-25,253.14,257.164,250.48,256.7,63111282.0
2024-09-26,260.54,262.6796,251.53,253.9955,63996664.0
2024-09-27,253.02,261.1993,252.97,261.1,65961177.0
2024-09-30,262.0,264.86,255.77,261.98,78118057.0
2024-10-01,262.44,263.98,248.53,256.3294,84956123.0
2024-10-02,256.8,260.0,241.5,248.2019,91492466.0
2024-10-03,246.0,249.79,237.81,241.17,77513102.0
2024-10-04,242.55,250.96,241.61,250.15,83150506.0
2024-10-07,250.8,252.8,240.68,241.7,62401892.0
2024-10-08,241.5,246.21,240.05,243.84,52329727.0
2024-10-09,243.92,247.43,239.51,241.56,64739943.0
2024-10-10,242.4,244.3,232.34,239.68,81392868.0
2024-10-11,230.1,238.77,214.38,217.97,135265754.0
2024-10-14,220.7,222.0,213.74,218.9,83291641.0
2024-10-15,218.69,224.26,216.01,219.02,59831870.0
2024-10-16,219.49,222.8199,218.93,220.952,47820963.0
2024-10-17,222.0,223.6,217.9,221.24,47069885.0
2024-10-18,221.12,221.66,221.0,221.36,73247.0
2024-11-29,336.0,345.5,334.6501,345.44,34374739.0
2024-12-02,349.0,360.0,348.0,352.8,73329309.0
2024-12-03,352.8,357.09,348.2,351.7588,55117937.0
2024-12-04,351.7,358.1,348.6,356.97,47460706.0
2024-12-05,356.9699,375.43,355.19,368.75,78101502.0
2024-12-06,368.75,392.0,368.579,391.6899,76941915.0
2024-12-07,391.64,395.0,391.64,394.7,743187.0
2024-12-09,398.0,404.8,378.01,392.83,92627733.0
2024-12-10,392.755,409.73,389.0,403.79,93933628.0
2024-12-11,403.86,429.5,402.38,429.26,98267511.0
2024-12-12,429.26,429.9,415.0,418.7,85603086.0
2024-12-13,418.7,436.66,415.71,435.49,84995390.0
2024-12-14,435.43,437.28,435.38,435.98,357614.0
2024-12-16,438.76,474.79,436.1,473.08,108214591.0
2024-12-17,473.2,483.99,457.5101,473.93,125439624.0
2024-12-18,473.85,488.5399,427.01,443.2801,142289802.0
2024-12-19,443.28,456.69,420.02,436.65,115689196.0
2024-12-20,436.7,447.08,410.21,425.89,110504259.0
2024-12-21,425.8804,426.86,422.1,423.28,500134.0
2024-12-23,430.83,436.5,415.4112,433.0,68473264.0
2024-12-24,432.81,465.37,432.0,465.21,56929644.0
2024-12-26,467.25,472.25,451.02,453.45,74636793.0
2024-12-27,453.3254,454.47,426.5,430.92,76781884.0
2024-12-28,430.9985,431.99,430.13,431.9404,193591.0
2024-12-30,428.38,429.71,413.1,413.5,60854268.0
2024-12-31,413.55,427.93,401.2,402.5,72631893.0
2025-01-01,402.65,403.1,401.6,401.92,278903.0
2025-01-02,408.0,412.42,373.04,381.38,104006127.0
2025-01-03,381.25,412.7,377.56,411.98,88939722.0
2025-01-04,411.98,413.53,411.88,412.8178,426760.0
2025-01-06,415.2,426.43,401.7,411.1795,83139232.0
2025-01-07,411.18,414.33,390.0,394.5,71110040.0
2025-01-08,394.5,402.4999,387.0,393.78,69151422.0
2025-01-09,393.8,393.8,392.71,392.93,131722.0
2025-01-10,395.65,399.28,377.29,393.6331,59712809.0
2025-01-11,393.7,393.7199,392.82,393.1,118314.0
2025-01-13,385.9,413.5,380.07,411.58,64161256.0
2025-01-14,411.48,422.64,393.0,394.84,82075819.0
2025-01-15,394.88,429.8,394.5005,427.58,75360160.0
2025-01-16,427.55,429.11,409.13,412.5,64645676.0
2025-01-17,412.505,439.74,412.1,427.7,90574678.0
2025-01-18,427.7,428.65,427.5,428.5501,229868.0
2025-01-21,431.4,436.66,406.31,421.8925,83473780.0
2025-01-22,421.9,428.0,413.3935,415.67,55918063.0
2025-01-23,415.6501,420.73,408.95,412.2073,48054756.0
2025-01-24,412.16,418.88,405.78,406.15,52584956.0
2025-01-25,406.15,406.6,405.42,405.47,204182.0
2025-01-27,393.0,407.596,379.0,397.4,54227006.0
2025-01-28,397.35,400.7,386.5,396.17,44526313.0
2025-01-29,396.0835,413.1,365.0,403.8,64871740.0
2025-01-30,403.98,412.5,384.41,401.9525,94875536.0
2025-01-31,401.72,419.99,397.55,403.3422,79820464.0
2025-02-01,403.3,403.5988,402.0,402.02,181400.0
2025-02-03,389.8,404.6,374.36,389.76,88581281.0
2025-02-04,389.76,394.0,377.68,389.2,54706456.0
2025-02-05,389.15,390.1,375.53,376.5,54401349.0
2025-02-06,376.43,379.75,363.18,371.01,75557963.0
2025-02-07,371.04,380.5459,357.6,358.3399,66843933.0
2025-02-08,358.33,358.6763,357.32,357.36,376649.0
2025-02-10,357.1,362.7,347.78,348.05,73603968.0
2025-02-11,348.11,351.78,325.1,326.9,113744027.0
2025-02-12,326.9,346.4,320.07,342.85,99948128.0
2025-02-13,342.82,358.69,338.77,355.7,85020844.0
2025-02-14,355.8,363.81,347.5,354.13,67121411.0
