datetime,open,high,low,close,volume
2024-08-01,8.04,8.09,7.51,7.6,937897
2024-08-02,7.3,7.56,7.28,7.49,1425961
2024-08-05,7.12,7.31,7.03,7.3,2113014
2024-08-06,7.25,8.24,7.225,7.43,1271255
2024-08-07,7.6,7.7,7.425,7.44,1320792
2024-08-08,7.54,7.9,7.505,7.8,1356614
2024-08-09,7.96,7.96,7.05,7.3,2547293
2024-08-12,7.29,7.615,7.19,7.54,1575891
2024-08-13,7.56,7.71,7.43,7.65,2075538
2024-08-14,7.86,7.945,7.63,7.82,1354566
2024-08-15,7.85,8.2,7.78,8.1,1661845
2024-08-16,8.1,8.2,8.085,8.15,1323141
2024-08-19,8.12,8.13,7.95,7.95,938240
2024-08-20,7.96,8.04,7.89,7.95,910965
2024-08-21,8.03,8.345,8.03,8.29,1473473
2024-08-22,8.3,8.345,8.125,8.15,765900
2024-08-23,8.16,8.5,8.16,8.5,932292
2024-08-26,8.47,8.57,8.355,8.57,1547991
2024-08-27,8.48,8.54,8.4,8.53,959383
2024-08-28,8.49,8.625,8.38,8.49,1392558
2024-08-29,8.49,8.75,8.41,8.66,1181275
2024-08-30,8.57,8.65,8.415,8.61,685160
2024-09-03,8.46,8.59,8.05,8.07,1266734
2024-09-04,8.07,8.305,8.0401,8.16,1287863
2024-09-05,8.14,8.255,8.07,8.21,1138403
2024-09-06,8.21,8.59,7.88,8.0,770911
2024-09-09,8.05,8.06,7.8,8.05,1165657
2024-09-10,8.0,8.18,7.91,8.15,1077437
2024-09-11,7.93,8.33,7.93,8.32,1343816
2024-09-12,8.35,8.495,8.26,8.39,665746
2024-09-13,8.49,8.79,8.365,8.79,723345
2024-09-16,8.38,8.39,8.095,8.31,1071441
2024-09-17,8.548,8.548,8.305,8.37,673463
2024-09-18,8.35,8.47,8.2,8.28,1300544
2024-09-19,8.48,8.56,8.29,8.53,906887
2024-09-20,8.54,8.61,8.37,8.38,1621733
2024-09-23,8.3,8.48,8.235,8.47,1787884
2024-09-24,8.5,8.785,8.48,8.73,1183481
2024-09-25,8.67,8.78,8.555,8.74,1780222
2024-09-26,8.8,9.0,8.79,9.0,1486953
2024-09-27,8.83,9.055,8.83,8.99,1286373
2024-09-30,9.02,9.065,8.9,9.02,893150
2024-10-01,9.05,9.07,8.88,8.96,890476
2024-10-02,8.85,9.1,8.78,9.0999,1306242
2024-10-03,9.05,9.07,8.92,9.01,1282770
2024-10-04,9.01,9.19,8.9575,9.05,955360
2024-10-07,8.98,9.09,8.88,8.93,1149804
2024-10-08,8.96,9.15,8.88,9.07,1081658
2024-10-09,8.98,9.3088,8.98,9.22,1061461
2024-10-10,9.17,9.19,8.975,9.04,633681
2024-10-11,9.04,9.32,9.04,9.2,1818132
2024-10-14,9.22,9.275,9.02,9.19,691731
2024-10-15,9.28,9.39,9.151358,9.2,1104214
2024-10-16,9.31,9.35,9.24,9.25,572993
2024-10-17,9.26,9.39,9.21,9.33,856608
2024-10-18,9.37,9.435,9.27,9.34,517562
2024-10-21,9.34,9.4,9.2,9.31,1564162
2024-10-22,9.1,9.34,9.1,9.24,611745
2024-10-23,9.2,9.29,9.1,9.29,351870
2024-10-24,9.2,9.24,9.11,9.2,572616
2024-10-25,9.26,9.275,9.125,9.14,907174
