datetime,open,high,low,close,volume
2024-08-01 13:30:00,32.36,32.62,32.36,32.44,5587.0
2024-08-01 13:33:00,32.415,32.415,32.41,32.41,295.0
2024-08-01 13:35:00,32.41,32.57,32.41,32.57,667.0
2024-08-01 13:37:00,32.47,32.485,32.47,32.485,237.0
2024-08-01 13:40:00,32.41,32.55,32.41,32.495,981.0
2024-08-01 13:41:00,32.525,32.525,32.46,32.46,1068.0
2024-08-01 13:42:00,32.4,32.4,32.39,32.39,452.0
2024-08-01 13:45:00,32.4,32.4,32.4,32.4,593.0
2024-08-01 13:46:00,32.4,32.4,32.4,32.4,162.0
2024-08-01 13:47:00,32.415,32.45,32.415,32.415,542.0
2024-08-01 13:48:00,32.44,32.44,32.44,32.44,565.0
2024-08-01 13:49:00,32.425,32.425,32.4,32.4,409.0
2024-08-01 13:50:00,32.38,32.39,32.3,32.3,1127.0
2024-08-01 13:51:00,32.34,32.34,32.26,32.29,6781.0
2024-08-01 13:52:00,32.29,32.29,32.29,32.29,135.0
2024-08-01 13:53:00,32.26,32.29,32.23,32.26,2665.0
2024-08-01 13:54:00,32.25,32.25,32.22,32.22,328.0
2024-08-01 13:55:00,32.215,32.215,32.215,32.215,344.0
2024-08-01 13:56:00,32.2,32.245,32.18,32.245,1834.0
2024-08-01 13:57:00,32.28,32.29,32.26,32.28,2870.0
2024-08-01 13:58:00,32.28,32.28,32.28,32.28,1176.0
2024-08-01 13:59:00,32.27,32.27,32.25,32.25,1856.0
2024-08-01 14:00:00,32.23,32.24,32.21,32.21,864.0
2024-08-01 14:01:00,32.24,32.26,32.21,32.26,1734.0
2024-08-01 14:02:00,32.25,32.31,32.25,32.31,3030.0
2024-08-01 14:03:00,32.31,32.32,32.31,32.32,1096.0
2024-08-01 14:05:00,32.3,32.3,32.23,32.23,2439.0
2024-08-01 14:07:00,32.26,32.26,32.23,32.24,1639.0
2024-08-01 14:08:00,32.25,32.255,32.23,32.25,1774.0
2024-08-01 14:09:00,32.19,32.195,32.16,32.16,1093.0
2024-08-01 14:10:00,32.17,32.17,32.14,32.14,761.0
2024-08-01 14:11:00,32.13,32.13,32.13,32.13,359.0
2024-08-01 14:12:00,32.13,32.13,32.13,32.13,292.0
2024-08-01 14:13:00,32.15,32.15,32.15,32.15,208.0
2024-08-01 14:14:00,32.16,32.16,32.148,32.148,1169.0
2024-08-01 14:15:00,32.15,32.15,32.15,32.15,401.0
2024-08-01 14:16:00,32.15,32.16,32.1,32.1,3774.0
2024-08-01 14:17:00,32.1,32.1,32.1,32.1,321.0
2024-08-01 14:18:00,32.09,32.1,32.08,32.1,791.0
2024-08-01 14:21:00,32.07,32.07,32.04,32.04,920.0
2024-08-01 14:23:00,32.0,32.0,32.0,32.0,236.0
2024-08-01 14:24:00,32.015,32.015,32.015,32.015,332.0
2024-08-01 14:25:00,32.01,32.01,32.0,32.0,597.0
2024-08-01 14:26:00,31.98,31.98,31.98,31.98,329.0
2024-08-01 14:27:00,31.97,32.02,31.97,32.02,986.0
2024-08-01 14:28:00,32.04,32.05,32.04,32.05,1139.0
2024-08-01 14:29:00,32.04,32.04,32.03,32.04,594.0
2024-08-01 14:30:00,32.01,32.015,32.01,32.015,309.0
2024-08-01 14:31:00,32.015,32.025,31.98,31.99,3763.0
2024-08-01 14:32:00,31.96,31.96,31.91,31.92,989.0
2024-08-01 14:33:00,31.93,31.94,31.93,31.935,1622.0
2024-08-01 14:34:00,31.96,31.98,31.95,31.98,1218.0
2024-08-01 14:35:00,32.01,32.01,31.99,31.99,442.0
2024-08-01 14:36:00,31.98,31.98,31.98,31.98,787.0
2024-08-01 14:38:00,32.0,32.01,31.97,32.0,5363.0
2024-08-01 14:39:00,31.99,31.99,31.97,31.98,5535.0
2024-08-01 14:40:00,31.98,31.98,31.98,31.98,197.0
2024-08-01 14:41:00,31.96,31.96,31.96,31.96,759.0
2024-08-01 14:42:00,31.951,31.96,31.94,31.96,1871.0
2024-08-01 14:43:00,31.94,31.94,31.92,31.92,769.0
2024-08-01 14:44:00,31.915,31.915,31.915,31.915,312.0
2024-08-01 14:45:00,31.9,31.9,31.88,31.89,1531.0
2024-08-01 14:46:00,31.9,31.91,31.9,31.91,602.0
2024-08-01 14:47:00,31.89,31.89,31.86,31.88,1334.0
2024-08-01 14:48:00,31.88,31.88,31.86,31.86,878.0
2024-08-01 14:50:00,31.82,31.84,31.82,31.83,1419.0
2024-08-01 14:51:00,31.83,31.83,31.82,31.825,584.0
2024-08-01 14:52:00,31.81,31.81,31.81,31.81,409.0
2024-08-01 14:54:00,31.815,31.815,31.815,31.815,319.0
2024-08-01 14:55:00,31.79,31.79,31.79,31.79,481.0
