datetime,open,high,low,close,volume
2024-08-01 13:30:00,8.04,8.08,7.98,8.04,37761
2024-08-01 13:31:00,8.05,8.05,8.0,8.0,2137
2024-08-01 13:32:00,8.0112,8.0166,8.0112,8.0166,2027
2024-08-01 13:33:00,8.02,8.02,8.0,8.0,1997
2024-08-01 13:34:00,8.02,8.0301,8.02,8.0301,2459
2024-08-01 13:35:00,8.04,8.05,8.04,8.04,2484
2024-08-01 13:36:00,8.05,8.06,8.05,8.06,1416
2024-08-01 13:37:00,8.06,8.06,8.054,8.054,1608
2024-08-01 13:38:00,8.08,8.09,8.078,8.09,7647
2024-08-01 13:39:00,8.08,8.08,8.07,8.07,538
2024-08-01 13:40:00,8.0779,8.09,8.0779,8.0833,1976
2024-08-01 13:42:00,8.075,8.075,8.055,8.055,1242
2024-08-01 13:43:00,8.044,8.044,8.044,8.044,673
2024-08-01 13:44:00,8.044,8.05,8.04,8.04,1450
2024-08-01 13:45:00,8.05,8.05,8.0334,8.0334,6853
2024-08-01 13:46:00,8.0329,8.04,8.0299,8.0299,2647
2024-08-01 13:47:00,8.02,8.025,8.01,8.025,1998
2024-08-01 13:48:00,8.03,8.0349,8.025,8.025,3187
2024-08-01 13:49:00,8.025,8.025,7.99,7.99,2848
2024-08-01 13:50:00,7.985,7.985,7.9607,7.965,2496
2024-08-01 13:51:00,7.97,7.99,7.97,7.98,2376
2024-08-01 13:52:00,7.97,7.97,7.96,7.96,1653
2024-08-01 13:53:00,7.96,7.96,7.95,7.95,2755
2024-08-01 13:54:00,7.95,7.95,7.945,7.95,598
2024-08-01 13:55:00,7.93,7.93,7.925,7.925,504
2024-08-01 13:56:00,7.9108,7.9108,7.91,7.91,2106
2024-08-01 13:58:00,7.9,7.905,7.9,7.905,2636
2024-08-01 13:59:00,7.905,7.905,7.905,7.905,248
2024-08-01 14:00:00,7.9,7.9,7.89,7.89,3316
2024-08-01 14:01:00,7.895,7.9,7.88,7.9,3070
2024-08-01 14:02:00,7.9,7.9195,7.9,7.9195,2884
2024-08-01 14:03:00,7.93,7.93,7.91,7.915,1768
2024-08-01 14:04:00,7.9,7.9,7.885,7.885,374
2024-08-01 14:05:00,7.89,7.89,7.88,7.88,1916
2024-08-01 14:06:00,7.88,7.88,7.86,7.88,1794
2024-08-01 14:07:00,7.88,7.88,7.86,7.86,3581
