timestamp,open,high,low,close,volume
2024-08-01,929.44,929.9,850.02,865.0,1493358
2024-08-02,845.84,846.19,795.89,812.86,3250929
2024-08-05,782.42,838.88,759.77,837.78,2619319
2024-08-06,837.6,860.01,828.62,840.0,1706131
2024-08-07,854.99,878.39,822.6576,830.0,1366623
2024-08-08,843.7,879.9838,843.7,879.9838,1116093
2024-08-09,871.65,874.67,848.54,860.55,865688
2024-08-12,862.28,866.97,852.82,852.86,1025926
2024-08-13,865.06,872.67,856.25,870.5,1283476
2024-08-14,870.1,890.39,868.63,879.58,808935
2024-08-15,882.21,930.9837,882.21,927.11,1201150
2024-08-16,919.13,924.11,906.51,918.66,674555
2024-08-19,917.01,934.7,909.45,932.5,813564
2024-08-20,946.12,947.1,917.35,927.72,768076
2024-08-21,932.13,945.05,930.34,943.2,544653
2024-08-22,939.9,944.03,904.59,907.71,893612
2024-08-23,912.98,922.125,903.13,907.26,1282060
2024-08-26,907.69,909.5,882.45,883.5,1096184
2024-08-27,886.71,895.76,874.48,889.59,564950
2024-08-28,895.39,898.0,864.4293,866.0,604246
2024-08-29,896.49,914.5299,882.99,889.77,1091382
2024-08-30,897.59,906.9304,888.94,901.89,805834
2024-09-03,897.5,903.87,841.65,848.4364,1460964
2024-09-04,823.0,839.14,799.23,815.0,2115069
2024-09-05,804.66,812.23,790.5,794.8,1460743
2024-09-06,797.0,801.0,750.5,750.5,2837772
2024-09-09,772.45,772.8,738.15,751.21,2360192
2024-09-10,752.08,752.08,734.25,751.38,1341085
2024-09-11,767.41,801.6,753.0,798.35,2239698
2024-09-12,799.92,808.69,793.715,800.0,1215547
2024-09-13,804.15,818.62,802.88,816.9,797440
2024-09-16,817.0,817.0,792.14,801.0,1045233
2024-09-17,798.91,811.77,796.54,803.8279,660457
2024-09-18,800.35,810.9146,786.37,795.35,1150182
2024-09-19,811.16,839.65,811.16,828.16,1382191
2024-09-20,820.0,824.98,789.655,796.8932,1937681
2024-09-23,796.5,811.3,796.5,803.5,833325
2024-09-24,812.83,816.5,801.0,814.0,704297
2024-09-25,816.34,850.0,813.2,850.0,734623
2024-09-26,852.75,862.2,839.7,855.8802,1397955
2024-09-27,847.0,854.7,838.2,841.54,928644
2024-09-30,839.42,842.41,819.7,833.25,809485
2024-10-01,839.29,844.81,811.895,818.15,987699
2024-10-02,827.15,839.27,816.5,832.19,788387
2024-10-03,824.0,837.51,823.79,830.35,545236
2024-10-04,826.94,843.0,825.96,831.9,755448
2024-10-07,821.1,823.0,804.61,817.25,726871
2024-10-08,825.12,830.83,815.98,824.26,1045223
2024-10-09,828.99,846.12,823.91,845.0,860770
2024-10-10,841.88,842.0,821.5,834.96,761134
2024-10-11,833.1,845.0,827.6,840.0,863146
2024-10-14,850.7,873.25,842.23,873.0,1621586
2024-10-15,866.38,874.45,717.5,736.93,9028848
2024-10-16,695.0,732.256,677.272,684.65,10084669
2024-10-17,680.99,705.0,677.12,701.88,6987864
2024-10-18,712.72,726.46,696.0,722.9,4421019
2024-10-21,726.5,728.7,708.79,714.2,2084934
2024-10-22,732.0,732.38,717.17,719.8,1946350
2024-10-23,714.0,718.0,700.1001,710.41,1560094
2024-10-24,717.25,721.2,706.45,710.81,1638817
2024-10-25,710.51,723.25,709.0,711.7,1255930
2024-10-28,719.72,719.72,703.99,707.8001,1099318
2024-10-29,712.35,715.9399,703.69,712.0,1302420
2024-10-30,710.87,710.87,682.62,683.95,2764248
2024-10-31,680.0,686.95,667.22,676.0,2066378
2024-11-01,671.5,683.87,671.5,675.9,1474325
2024-11-04,681.8,684.1,670.8201,671.5,1141502
