timestamp,open,high,low,close,volume
2024-08-01,105.0,108.3,91.5,92.0,1423536
2024-08-02,90.49,90.49,82.7,84.48,1425442
2024-08-05,79.24,88.2525,75.7301,87.1,1412531
2024-08-06,87.39,88.01,83.47,85.25,629632
2024-08-07,88.7,90.5904,85.265,85.47,643035
2024-08-08,85.46,91.9,85.46,90.46,564228
2024-08-09,90.81,93.96,89.9675,92.95,731131
2024-08-12,91.0,94.9,91.0,91.55,396496
2024-08-13,91.53,94.6035,91.53,92.25,338847
2024-08-14,94.02,94.12,90.54,93.0,461843
2024-08-15,93.52,101.22,93.5,101.03,674716
2024-08-16,100.26,101.0,96.378,99.93,768611
2024-08-19,98.99,99.59,95.58,98.45,273632
2024-08-20,99.26,100.33,96.2,97.21,257197
2024-08-21,95.66,99.15,95.66,98.48,309131
2024-08-22,98.77,100.6,96.17,96.4,367301
2024-08-23,98.06,98.46,94.51,97.97,300067
2024-08-26,98.26,98.26,91.13,91.99,474373
2024-08-27,91.53,94.59,90.66,94.51,377299
2024-08-28,94.4,95.19,90.9,90.9,381571
2024-08-29,93.62,96.74,92.89,93.13,330719
2024-08-30,94.59,94.89,89.09,91.62,667725
2024-09-03,90.5,90.5,81.89,82.16,947940
2024-09-04,82.1,85.94,80.56,83.56,413327
2024-09-05,84.39,84.5,82.13,82.92,286033
2024-09-06,82.13,83.14,76.87,77.02,916286
2024-09-09,78.36,79.355,75.4725,76.05,868949
2024-09-10,76.51,78.68,73.84,73.84,535925
2024-09-11,78.37,79.93,76.47,79.33,423740
2024-09-12,80.34,81.4,76.785,79.16,700684
2024-09-13,81.0,81.96,79.62,81.13,321073
2024-09-16,79.62,79.62,76.31,77.5,556406
2024-09-17,77.5,78.1,74.04,75.03,848220
2024-09-18,75.05,76.07,70.84,72.248,1719263
2024-09-19,72.7,76.45,72.7,75.94,783963
2024-09-20,76.14,76.33,73.52,74.34,229367
2024-09-23,74.27,77.07,74.1,74.35,416155
2024-09-24,74.99,76.51,74.28,75.7003,557843
2024-09-25,75.68,79.0,75.63,78.8,502705
2024-09-26,80.77,89.0,80.52,85.9,1553128
2024-09-27,86.27,86.75,82.16,82.67,643821
2024-09-30,82.58,82.66,79.145,79.4,448164
2024-10-01,80.87,81.12,74.6,76.665,583198
2024-10-02,77.34,79.66,75.66,78.01,264909
2024-10-03,78.02,80.51,76.85,79.34,275553
2024-10-04,80.7976,81.41,78.86,80.1,304500
2024-10-07,80.99,83.5,80.26,82.14,397543
