timestamp,open,high,low,close,volume
2024-08-01,2.59,2.71,2.42,2.549,4271694.0
2024-08-02,2.4313,2.51,2.14,2.3,6815646.0
2024-08-05,2.11,2.13,1.93,2.1,6483226.0
2024-08-06,2.02,2.27,2.02,2.2199,3932264.0
2024-08-07,2.22,2.3,2.09,2.24,5133180.0
2024-08-08,2.1,3.0299,2.1,2.77,16473632.0
2024-08-09,2.79,2.889,2.55,2.889,5030754.0
2024-08-12,2.88,2.98,2.79,2.88,3626823.0
2024-08-13,2.92,3.295,2.88,3.19,5451117.0
2024-08-14,3.18,3.48,3.14,3.29,4995185.0
2024-08-15,3.39,3.745,3.38,3.65,4342435.0
2024-08-16,3.65,4.07,3.64,4.01,6505586.0
2024-08-19,3.99,4.25,3.83,4.04,6006352.0
2024-08-20,3.97,4.41,3.91,4.4,5220712.0
2024-08-21,4.4,4.5,3.935,4.04,5980799.0
2024-08-22,4.05,4.2,3.975,4.02,2475509.0
2024-08-23,4.0497,4.42,4.0115,4.42,3106037.0
2024-08-26,4.39,4.5,4.355,4.38,2845777.0
2024-08-27,4.39,4.4575,4.07,4.26,2219991.0
2024-08-28,4.2609,4.39,4.135,4.21,2234212.0
2024-08-29,4.08,4.31,4.08,4.29,1565507.0
2024-08-30,4.29,4.29,3.79,3.91,3071896.0
2024-09-03,3.9,3.955,3.67,3.93,2836329.0
2024-09-04,3.9,3.98,3.73,3.86,2282883.0
2024-09-05,3.82,4.16,3.82,4.0407,2217817.0
2024-09-06,4.06,4.23,4.03,4.06,1782918.0
2024-09-09,4.07,4.505,4.06,4.5,6164230.0
2024-09-10,4.5,5.055,4.44,5.02,8180442.0
2024-09-11,4.96,5.24,4.74,5.16,5899933.0
2024-09-12,5.22,5.3,5.0005,5.3,5017520.0
2024-09-13,5.31,5.49,5.2,5.2383,3494239.0
2024-09-16,5.35,5.75,5.23,5.73,4567197.0
2024-09-17,5.84,5.95,5.58,5.61,4979717.0
2024-09-18,5.63,5.795,5.581,5.5835,2521126.0
2024-09-19,5.68,6.1925,5.68,6.03,6093379.0
2024-09-20,6.01,6.41,5.95,6.3498,5748376.0
2024-09-23,6.34,6.39,6.02,6.31,3542887.0
2024-09-24,6.47,6.7795,6.34,6.7,6630841.0
2024-09-25,6.7,6.7,6.2001,6.26,4000552.0
2024-09-26,6.35,6.55,5.68,6.02,5461485.0
2024-09-27,6.08,6.2497,5.8296,6.11,3608766.0
2024-09-30,6.11,6.375,5.9848,6.17,3754711.0
2024-10-01,6.13,6.15,5.6,6.0999,4245839.0
2024-10-02,5.97,6.5,5.92,6.193,2946420.0
2024-10-03,6.19,6.25,5.89,5.89,2072903.0
2024-10-04,6.0218,6.28,6.0218,6.19,1828908.0
2024-10-07,6.15,6.4281,5.87,6.06,2758860.0
2024-10-08,6.06,6.25,6.01,6.01,1902741.0
2024-10-09,6.02,6.365,5.95,6.3,3099768.0
2024-10-10,6.31,6.33,6.03,6.21,2269940.0
2024-10-11,6.15,6.54,5.85,5.9502,3907057.0
2024-10-14,6.09,6.09,5.465,5.61,3642331.0
2024-10-15,5.6789,5.98,5.58,5.8,3211317.0
2024-10-16,5.87,5.97,5.72,5.75,1596641.0
2024-10-17,5.73,5.8799,5.53,5.5402,2328628.0
2024-10-18,5.679,6.29,5.65,6.2,3771953.0
2024-10-21,6.1,6.15,5.795,5.89,2016514.0
2024-10-22,5.88,6.0857,5.72,6.07,2981487.0
2024-10-23,5.91,6.49,5.81,5.93,5353710.0
2024-10-24,6.16,6.48,6.16,6.34,3086550.0
2024-10-25,6.4,6.535,6.15,6.16,2258925.0
2024-10-28,6.29,6.78,6.25,6.75,4353032.0
2024-10-29,6.72,7.05,6.65,6.9,4457456.0
2024-10-30,6.82,7.06,6.67,7.02,3582725.0
2024-10-31,6.97,7.03,6.52,6.84,4275768.0
2024-11-01,6.88,7.07,6.68,6.7001,3006592.0
2024-11-04,6.8999,6.975,6.22,6.3377,4649530.0
2024-11-05,6.48,6.715,6.3424,6.6699,2606415.0
2024-11-06,6.67,7.19,6.625,7.07,3859133.0
2024-11-07,7.15,7.15,3.65,5.25,20413683.0
2024-11-08,5.22,5.26,4.535,4.73,10241639.0
2024-11-09,4.71,4.7101,4.71,4.7101,400.0
2024-11-11,4.69,4.8,4.395,4.72,5004893.0
