timestamp,open,high,low,close,volume
2024-08-01,38.56,38.79,35.28,36.7,865065
2024-08-02,35.99,36.02,33.6101,34.99,805432
2024-08-05,33.24,34.3259,31.55,33.63,977613
2024-08-06,34.3,34.74,33.22,34.15,554693
2024-08-07,36.0,36.0,24.0,24.5,1181202
2024-08-08,25.83,25.83,22.91,25.2,11757310
2024-08-09,24.89,26.2,24.13,26.2,2992185
2024-08-12,26.27,26.962,25.47,25.9,2081605
2024-08-13,26.0,26.9199,25.9,26.79,964048
2024-08-14,26.99,27.0,25.78,25.9,1059941
2024-08-15,26.06,26.8,26.03,26.72,669170
2024-08-16,26.8,27.4988,26.02,27.15,608692
2024-08-19,27.0,27.72,26.82,27.2,716363
2024-08-20,27.45,27.8569,27.11,27.34,480846
2024-08-21,27.48,27.6875,26.84,27.15,664996
2024-08-22,27.14,27.36,25.93,26.74,1134293
2024-08-23,26.26,27.2273,25.945,26.51,1612059
2024-08-26,26.5,26.935,26.19,26.81,1294151
2024-08-27,26.89,27.59,26.68,27.065,1667186
2024-08-28,28.49,28.49,27.02,27.3,1236316
2024-08-29,27.34,28.65,27.34,27.75,1170224
2024-08-30,27.96,28.14,27.32,27.47,1045307
2024-09-03,27.9,27.9,26.1,26.33,1712623
2024-09-04,26.34,29.42,26.11,28.62,5689248
2024-09-05,29.33,29.617,27.28,28.4,2047700
2024-09-06,28.4,28.815,27.0,27.0,1286466
2024-09-09,27.9,28.645,27.36,28.11,1929429
2024-09-10,28.52,29.16,27.19,27.61,2140638
2024-09-11,27.63,28.06,27.27,27.74,978406
2024-09-12,27.75,28.28,27.44,27.9,1082182
2024-09-13,27.95,28.25,27.56,27.56,851093
2024-09-16,27.93,28.58,27.4,28.14,1766924
2024-09-17,28.21,28.56,27.93,28.0,1020942
2024-09-18,28.12,28.8199,27.46,28.17,795606
2024-09-19,28.86,29.02,28.12,28.45,729975
2024-09-20,28.85,28.85,28.0216,28.65,420219
2024-09-23,28.63,28.725,28.14,28.25,675943
2024-09-24,28.39,28.9,27.6737,28.48,992360
2024-09-25,28.58,28.8837,28.4101,28.4101,717826
2024-09-26,29.0,29.15,28.54,28.94,601052
2024-09-27,29.23,29.79,29.0766,29.26,508592
2024-09-30,29.34,29.475,28.76,29.06,574339
2024-10-01,29.09,29.21,27.89,28.16,939746
2024-10-02,27.94,28.4,27.9048,28.12,529323
2024-10-03,27.88,28.18,27.52,27.55,657883
2024-10-04,28.0,28.775,27.8385,28.76,474867
2024-10-07,28.31,28.84,27.18,27.37,629164
2024-10-08,28.246,28.246,27.02,27.06,1077607
2024-10-09,27.55,28.43,27.4,28.0,501585
2024-10-10,27.97,30.21,27.91,30.05,1609077
2024-10-11,30.13,32.1,29.75,31.45,4567907
2024-10-14,31.45,31.64,30.81,31.4,928518
2024-10-15,31.75,32.6,31.2,31.87,1506342
2024-10-16,31.6,31.84,31.12,31.46,625900
2024-10-17,31.77,31.81,30.14,30.4,590606
2024-10-18,30.3,31.13,30.1509,30.73,465236
2024-10-21,30.75,30.95,30.0015,30.73,792552
2024-10-22,30.84,30.86,30.22,30.45,263102
2024-10-23,30.43,30.43,28.9615,29.36,476904
2024-10-24,29.34,29.98,29.13,29.24,586532
2024-10-25,29.49,29.78,29.0902,29.28,539057
2024-10-28,29.78,29.89,29.01,29.32,775423
2024-10-29,29.37,30.14,29.17,30.12,434271
2024-10-30,30.04,30.08,29.27,29.38,667068
2024-10-31,29.255,29.68,29.18,29.18,684626
2024-11-01,29.37,30.2,29.06,29.83,638959
2024-11-04,30.0,31.0,29.4,31.0,681610
2024-11-05,30.1,30.7,29.66,30.43,750327
2024-11-06,31.17,32.3,30.99,31.6,1061685
2024-11-07,32.63,34.99,29.001,32.07,1789633
2024-11-08,32.98,32.98,30.05,31.1475,2278970
2024-11-09,31.1475,31.4,31.1475,31.4,491
2024-11-11,31.6399,31.6399,30.0804,30.5,1081360
2024-11-12,30.51,31.43,30.35,30.58,724458
2024-11-13,30.0,31.86,29.9966,29.9966,1498255
2024-11-14,31.415,31.725,31.03,31.11,928911
2024-11-15,31.07,31.4799,30.63,30.72,964267
2024-11-18,30.51,30.55,29.54,30.16,562244
2024-11-19,30.0,30.36,29.6,29.96,689187
2024-11-20,30.2,30.7,29.77,30.66,320898
2024-11-21,30.79,32.18,30.79,31.45,508791
2024-11-22,31.99,32.73,31.73,32.15,518482
2024-11-25,32.76,33.11,31.79,32.03,1125433
2024-11-26,31.98,32.0,31.15,31.33,599084
2024-11-27,31.41,31.5,30.64,31.05,440473
2024-11-29,31.39,31.44,30.92,31.15,552132
2024-12-02,31.29,31.36,30.13,30.82,1276635
2024-12-03,31.02,31.36,30.04,31.36,796540
2024-12-04,31.3,32.15,30.86,32.05,1165838
2024-12-05,32.07,32.11,30.9,31.0,513850
2024-12-06,31.0,31.67,30.94,31.0,964812
2024-12-09,31.01,31.59,30.58,31.01,628693
2024-12-10,30.66,31.15,30.03,30.26,467167
2024-12-11,30.57,30.57,29.81,30.38,685751
2024-12-12,30.02,30.42,29.6,29.7734,854410
2024-12-13,30.1,30.41,29.37,30.16,1113817
2024-12-16,30.16,31.3564,30.02,30.515,639319
2024-12-17,31.01,31.79,30.78,31.21,727349
2024-12-18,30.155,32.38,30.06,30.46,1100283
2024-12-19,31.06,31.2,30.34,30.56,989481
2024-12-20,29.8,30.95,29.8,30.86,981812
2024-12-23,30.64,30.68,29.85,30.17,554908
2024-12-24,30.988,30.988,29.97,30.34,262620
2024-12-26,30.23,30.83,30.1501,30.817,342835
2024-12-27,30.51,30.65,29.44,29.56,679296
2024-12-30,29.28,29.84,28.7,29.53,421680
2024-12-31,29.71,29.995,29.3,29.35,269838
2025-01-02,30.0,31.3413,29.33,31.3413,835442
2025-01-03,30.92,31.23,30.35,30.59,789729
2025-01-06,30.62,31.245,30.47,31.21,488489
2025-01-07,31.4,32.23,30.71,31.06,590218
2025-01-08,30.66,32.0,30.5954,31.41,608026
2025-01-10,30.75,32.01,30.4689,31.93,901893
2025-01-13,31.27,31.61,30.8524,31.3,701833
2025-01-14,31.52,32.0899,31.48,31.93,509508
2025-01-15,32.35,33.79,32.31,33.63,749271
2025-01-16,33.78,34.0533,32.39,32.78,1516876
2025-01-17,33.44,33.99,32.63,33.5,1283801
2025-01-21,33.49,34.39,33.0,33.57,903128
2025-01-22,34.5,34.8,34.02,34.3001,635190
2025-01-23,34.3,34.9108,33.76,34.5,431153
2025-01-24,34.21,35.0,34.21,34.81,485337
2025-01-27,33.06,35.93,33.0,34.44,1004412
2025-01-28,34.3465,36.25,33.767,35.77,1027458
2025-01-29,35.77,35.81,34.85,35.0,575241
2025-01-30,35.33,36.0,35.0,36.0,623757
2025-01-31,35.0,36.25,34.71,34.8,719788
2025-02-01,34.08,34.08,34.08,34.08,165
2025-02-03,34.49,35.6,33.0,35.58,740733
2025-02-04,35.7,36.36,35.5,35.9,580496
2025-02-05,36.13,36.68,36.01,36.31,767696
2025-02-06,36.44,37.7857,35.69,36.75,627977
2025-02-07,37.9625,37.9688,35.33,35.761,1542862
2025-02-10,36.44,37.0099,36.13,36.8,900150
2025-02-11,36.54,36.81,35.3,36.6,1045223
2025-02-12,36.224,37.2,35.2,37.2,1181978
2025-02-13,37.3,41.25,36.56,41.2,2508315
2025-02-14,41.38,43.95,39.36,39.51,4530239
2025-02-15,39.7685,39.7685,39.7685,39.7685,350
2025-02-18,40.0,42.14,39.85,41.99,2376491
2025-02-19,42.0,42.0,39.64,39.65,1870255
2025-02-20,39.64,39.78,38.58,39.2,1208376
2025-02-21,39.5,39.525,37.674,37.707,1823544
2025-02-24,38.28,38.4123,36.87,37.92,775910
2025-02-25,37.91,37.9372,36.55,36.79,737669
2025-02-26,36.85,37.75,36.85,37.3,818377
2025-02-27,38.14,38.3,36.92,37.19,1011329
2025-02-28,36.78,37.25,36.3,36.75,575565
2025-03-03,36.75,37.3,35.88,35.91,1228075
2025-03-04,36.09,37.35,34.5405,35.9,1181476
2025-03-05,37.1,37.1,34.97,34.97,692104
2025-03-06,36.85,36.85,34.6,34.71,774729
2025-03-07,34.64,36.19,33.1502,36.19,745096
2025-03-10,33.83,34.3278,32.0597,32.0597,1021597
2025-03-11,32.11,34.02,32.11,33.53,790561
2025-03-12,33.54,34.68,33.2418,33.42,528041
2025-03-13,33.27,33.27,32.4,32.4,485924
2025-03-14,33.02,33.785,32.8,33.58,592061
2025-03-17,32.8,34.75,32.8,34.35,382360
2025-03-18,34.18,34.355,33.6812,33.69,354965
2025-03-19,33.1,35.22,33.1,34.27,323450
2025-03-20,34.27,34.52,32.8251,33.95,289732
2025-03-21,32.9,34.105,32.9,33.93,325467
2025-03-24,33.51,34.92,33.51,34.75,526943
2025-03-25,34.82,35.76,34.57,34.67,378424
2025-03-26,33.4,34.66,32.8833,32.8833,617637
2025-03-27,32.7,33.55,32.23,32.65,577589
2025-03-28,32.09,32.58,31.84,32.0,1256598
