timestamp,open,high,low,close,volume
2024-08-01,34.85,35.21,32.56,33.13,152427
2024-08-02,32.65,32.65,29.685,29.78,254455
2024-08-05,28.36,29.28,27.69,28.64,219994
2024-08-06,28.68,29.55,28.19,29.08,196358
2024-08-07,29.9,29.9,28.36,28.46,178128
2024-08-08,28.86,30.09,28.555,30.03,165236
2024-08-09,29.92,31.74,29.77,30.87,211582
2024-08-12,31.02,31.02,30.27,30.95,130114
2024-08-13,31.02,31.87,30.34,31.78,158620
2024-08-14,31.8,31.9,31.225,31.75,140248
2024-08-15,32.49,33.05,32.1341,33.03,122169
2024-08-16,32.86,33.0,32.045,32.14,93134
2024-08-19,32.42,32.42,31.55,32.23,105361
2024-08-20,31.93,31.97,30.935,31.24,99141
2024-08-21,31.59,33.98,31.38,33.98,89614
2024-08-22,32.52,32.988,31.21,31.37,68828
2024-08-23,31.71,32.66,31.26,31.81,106445
2024-08-26,31.84,31.88,31.34,31.44,91715
2024-08-27,31.26,31.618,30.825,31.37,66158
2024-08-28,31.22,31.5,30.845,30.89,86326
2024-08-29,31.18,31.98,31.11,31.27,77490
2024-08-30,31.69,31.765,31.1,31.53,67529
2024-09-03,31.01,31.01,29.2,29.22,244619
2024-09-04,28.84,29.59,28.84,29.31,112188
2024-09-05,29.2,29.47,28.63,29.35,96297
2024-09-06,29.32,29.32,28.41,28.55,123315
2024-09-09,28.73,29.05,27.87,28.05,150504
2024-09-10,27.98,28.34,27.81,28.33,80957
2024-09-11,28.33,29.07,28.0,28.99,97973
2024-09-12,29.11,29.16,28.445,28.54,95647
2024-09-13,28.65,29.41,28.52,29.35,89698
2024-09-16,29.06,29.3,28.48,29.19,140552
2024-09-17,29.55,29.85,28.86,29.23,100131
2024-09-18,29.19,29.97,28.8,28.86,83618
2024-09-19,29.99,30.445,29.69,30.39,92844
2024-09-20,30.09,30.34,29.76,29.8,173765
2024-09-23,30.05,30.415,29.89,30.22,87163
2024-09-24,30.45,30.74,30.16,30.45,72761
2024-09-25,30.54,30.54,29.91,30.5,55098
2024-09-26,30.74,32.16,30.51,31.62,127558
2024-09-27,32.26,32.48,31.64,31.81,81634
2024-09-30,31.62,32.25,31.27,31.68,86644
2024-10-01,31.78,31.78,30.14,30.3,90107
2024-10-02,30.39,31.47,30.12,30.86,62715
2024-10-03,30.44,30.78,29.71,29.9,106066
2024-10-04,30.81,30.89,30.03,30.5,67522
2024-10-07,30.26,30.5663,30.115,30.39,83283
2024-10-08,30.29,30.685,30.07,30.41,37512
2024-10-09,30.44,31.26,30.395,30.68,45426
2024-10-10,30.15,30.4777,29.6,30.4,55275
