timestamp,open,high,low,close,volume
2024-08-04,9.97,10.13,9.53,10.13,2895
2024-08-11,9.71,10.6,9.53,10.18,27088
2024-08-18,10.02,10.515,9.6301,10.19,68336
2024-08-25,10.45,10.45,9.9,10.135,89812
2024-09-01,10.25,10.6999,9.72,9.95,44851
2024-09-08,10.02,10.19,9.7404,9.84,10860
2024-09-15,9.9,9.945,9.16,9.24,29535
2024-09-22,9.365,9.64,8.16,9.63,1898771
2024-09-29,9.5,10.0944,9.2,9.26,125647
2024-10-06,9.66,9.86,9.29,9.64,52871
2024-10-13,9.785,9.7908,9.21,9.45,160769
2024-10-20,9.25,9.675,9.0,9.39,118902
2024-10-27,9.22,9.78,9.05,9.57,87115
2024-11-03,9.65,9.74,9.13,9.43,107223
2024-11-10,9.51,9.828,9.1684,9.46,213735
2024-11-17,9.8,10.0,9.4,9.89,245743
2024-11-24,9.88,10.5,9.61,10.39,84908
2024-12-01,10.5,11.0,10.455,10.84,57178
2024-12-08,10.84,12.3781,10.84,12.0,285177
2024-12-15,11.6,12.34,11.52,11.63,126002
2024-12-22,11.77,11.79,10.955,11.3,183346
2024-12-29,10.9,11.49,10.8,11.36,58818
2025-01-05,11.33,11.54,11.07,11.5,93162
2025-01-12,11.59,11.7,11.27,11.28,113054
2025-01-19,11.33,11.55,10.76,11.19,44844
2025-01-26,11.24,11.335,10.76,11.23,98941
2025-02-02,10.81,11.35,10.81,11.12,77014
2025-02-09,10.9,11.37,10.7,11.02,50113
2025-02-16,11.19,11.61,10.91,11.02,40594
2025-02-23,11.3,11.68,11.0,11.02,133343
2025-03-02,11.05,11.48,11.0,11.17,66753
2025-03-09,11.08,12.44,10.86,11.605,118569
2025-03-16,11.7647,13.05,11.43,12.49,204513
2025-03-23,12.5,13.0,12.12,12.62,285661
2025-03-30,12.57,13.1293,12.36,12.73,138184
