timestamp,open,high,low,close,volume
2024-08-04,10.01,10.2,8.88,9.28,21046332.0
2024-08-11,8.49,9.45,8.01,9.45,46303149.0
2024-08-18,9.47,10.09,9.36,9.95,52189576.0
2024-08-25,10.0,10.15,9.53,9.68,31309950.0
2024-09-01,9.79,10.1,9.535,10.09,34334779.0
2024-09-08,9.9,10.0,8.8913,8.94,34038206.0
2024-09-15,9.07,9.71,9.04,9.66,35920695.0
2024-09-22,9.82,10.1,9.59,9.89,43756500.0
2024-09-29,9.92,10.61,9.85,10.19,23258697.0
2024-10-06,10.04,10.52,9.52,9.78,21617532.0
2024-10-13,9.86,10.01,9.55,9.96,18773206.0
2024-10-20,10.01,10.9,9.94,10.49,30147263.0
2024-10-27,10.51,10.51,10.0,10.34,22038512.0
2024-11-03,10.34,10.41,9.42,9.88,30083398.0
2024-11-10,9.85,10.17,9.51,9.88,25131308.0
2024-11-17,9.91,9.91,9.37,9.55,28770782.0
2024-11-24,9.17,9.97,8.93,9.935,26441205.0
2024-12-01,9.89,9.99,9.31,9.72,25369965.0
2024-12-08,9.72,10.19,9.7,10.14,30572515.0
2024-12-15,10.14,10.29,9.51,10.24,28274122.0
2024-12-22,10.15,10.42,9.7,10.0,39117972.0
2024-12-29,10.05,10.58,10.05,10.36,29203721.0
2025-01-05,10.23,10.26,9.97,10.22,29725621.0
2025-01-12,10.34,11.14,10.33,10.48,36733408.0
2025-01-19,10.2,11.02,10.0212,10.45,40190034.0
2025-01-26,10.88,11.25,10.72,10.86,34598556.0
2025-02-02,10.8,11.45,9.555,10.1399,50600877.0
2025-02-09,9.98,10.34,9.65,10.24,36849514.0
2025-02-16,10.26,11.06,10.135,10.86,32268469.0
2025-02-23,11.14,11.4663,10.85,10.94,38860170.0
2025-03-02,10.85,10.99,9.93,10.14,52358421.0
2025-03-09,10.13,10.59,9.66,9.99,58790080.0
2025-03-16,9.76,10.0818,9.31,9.68,34794077.0
2025-03-23,9.75,9.99,9.625,9.74,38151827.0
2025-03-30,9.76,9.93,8.77,8.78,43625689.0
