timestamp,open,high,low,close,volume
2024-08-04,52.62,54.12,45.52,46.5,6982814
2024-08-11,43.02,48.8115,39.95,47.99,12869226
2024-08-18,48.0,57.0,47.88,55.25,8250037
2024-08-25,54.5,55.4,52.6,53.1,6772224
2024-09-01,53.2,53.2,48.08,51.0,8415875
2024-09-08,50.51,50.61,40.645,41.4,10463056
2024-09-15,41.76,46.92,41.745,45.88,9665353
2024-09-22,45.88,49.9,44.46,48.5,7178806
2024-09-29,48.95,53.52,48.77,50.9,5311942
2024-10-06,50.76,54.06,48.79,53.83,6972182
2024-10-13,53.9,63.85,53.1305,63.3868,11145049
2024-10-20,63.9,64.555,57.5835,57.6256,11300749
2024-10-27,58.18,70.07,55.3001,69.1903,18317298
2024-11-03,70.38,71.59,67.3,70.51,10030336
2024-11-10,70.78,86.95,70.3,86.4499,13886982
2024-11-17,86.06,87.99,77.78,83.5,10661265
2024-11-24,85.14,93.15,82.0,90.0,12565388
2024-12-01,90.0,91.32,81.29,85.89,9363808
2024-12-08,85.0,96.0,84.01,94.5,9020263
2024-12-15,95.0,99.5,87.06,99.5,10020781
2024-12-22,99.8,101.797,88.26,96.32,9231243
2024-12-29,96.77,99.26,94.11,95.25,4124496
2025-01-05,94.13,97.18,90.31,96.92,4621301
2025-01-12,98.5,104.922,96.73,104.6117,9099061
2025-01-19,102.9,115.52,96.0743,113.86,13262163
2025-01-26,115.85,131.23,114.35,121.8,13029414
2025-02-02,112.92,133.665,86.12,123.0,53021156
2025-02-09,116.22,145.0,109.0,129.5,35459582
2025-02-16,130.65,135.25,121.69,132.3199,15142264
2025-02-23,132.13,137.8899,118.6001,119.7,14847903
2025-03-02,120.85,122.5,101.1825,107.49,26459338
2025-03-09,109.98,109.98,80.26,87.8,31381497
2025-03-16,86.45,94.99,78.33,91.58,22614620
2025-03-23,91.3,98.64,86.16,96.25,15367593
2025-03-30,98.51,101.52,80.79,81.35,19428681
