timestamp,open,high,low,close,volume
2024-08-04,2.59,2.71,2.14,2.3,11087340.0
2024-08-11,2.11,3.0299,1.93,2.889,37053056.0
2024-08-18,2.88,4.07,2.79,4.01,24921146.0
2024-08-25,3.99,4.5,3.83,4.42,22789409.0
2024-09-01,4.39,4.5,3.79,3.91,11937383.0
2024-09-08,3.9,4.23,3.67,4.06,9119947.0
2024-09-15,4.07,5.49,4.06,5.2383,28756364.0
2024-09-22,5.35,6.41,5.23,6.3498,23909795.0
2024-09-29,6.34,6.7795,5.68,6.11,23244531.0
2024-10-06,6.11,6.5,5.6,6.19,14848781.0
2024-10-13,6.15,6.54,5.85,5.9502,13938366.0
2024-10-20,6.09,6.29,5.465,6.2,14550870.0
2024-10-27,6.1,6.535,5.72,6.16,15697186.0
2024-11-03,6.29,7.07,6.25,6.7001,19675573.0
2024-11-10,6.8999,7.19,3.65,4.7101,41770800.0
2024-11-17,4.69,4.8,4.135,4.15,20325744.0
2024-11-24,4.2,4.74,4.0548,4.68,15105885.0
2024-12-01,4.77,5.365,4.72,4.81,14598515.0
2024-12-08,4.85,5.4799,4.72,5.31,14197614.0
2024-12-15,5.29,5.96,5.125,5.74,14459745.0
2024-12-22,5.76,7.53,4.97,5.5,24515194.0
2024-12-29,5.62,5.8399,5.277,5.51,12147554.0
2025-01-05,5.52,5.5874,5.135,5.4485,11351503.0
2025-01-12,5.09,5.605,4.76,4.9009,14879987.0
2025-01-19,4.9,5.7,4.6633,5.21,18335644.0
2025-01-26,5.4,5.98,5.4,5.53,15285688.0
2025-02-02,5.35,5.35,4.4901,5.05,24826135.0
2025-02-09,4.8657,5.25,4.7,5.05,14138226.0
2025-02-16,5.05,5.41,4.94,5.08,12434368.0
2025-02-23,5.13,5.54,5.0,5.0,14072322.0
2025-03-02,5.02,6.6099,4.665,6.23,40729891.0
2025-03-09,6.39,6.46,5.175,5.305,27928230.0
2025-03-16,5.3,5.3,4.48,5.0,25565091.0
2025-03-23,5.07,5.67,5.0,5.5533,20536893.0
2025-03-30,5.6,5.97,5.25,5.38,22445773.0
