timestamp,open,high,low,close,volume
2024-08-04,27.2,27.535,23.75,24.68,83279716.0
2024-08-11,22.3,30.36,20.61,30.0383,438533313.0
2024-08-18,30.1,32.75,29.15,32.02,276853202.0
2024-08-25,32.22,33.125,31.622,31.8,202590219.0
2024-09-01,31.82,31.89,29.6,31.56,159165282.0
2024-09-08,31.48,32.88,29.31,32.713,137105094.0
2024-09-15,32.95,36.01,32.1,35.73,391630834.0
2024-09-22,35.73,37.42,35.49,37.12,399867659.0
2024-09-29,36.66,38.24,36.33,36.84,284901770.0
2024-10-06,36.85,40.29,36.05,39.9,236895395.0
2024-10-13,39.71,44.38,38.76,43.2794,309562773.0
2024-10-20,43.3,44.39,40.36,42.99,202223951.0
2024-10-27,43.16,43.68,42.055,43.03,90569568.0
2024-12-01,65.75,67.16,65.04,66.94,29226525.0
2024-12-08,67.0,77.99,65.62,77.5,381024700.0
2024-12-15,79.09,82.7,68.07,76.6,484266680.0
2024-12-22,77.24,81.0986,70.27,80.7,503320367.0
2024-12-29,82.0,84.7968,77.41,78.8,274443638.0
2025-01-05,77.75,79.98,72.42,79.88,237978121.0
2025-01-12,79.28,80.06,65.02,66.78,352534815.0
2025-01-19,65.42,72.34,63.4,72.24,284888480.0
2025-01-26,73.09,82.24,70.6007,78.97,241574935.0
2025-02-02,75.03,85.22,70.0,82.56,301792437.0
2025-02-09,79.6,116.3,78.4,110.29,699839022.0
2025-02-16,112.16,120.67,108.72,118.7801,380327031.0
2025-02-23,119.28,125.41,95.8,102.9,408117838.0
