timestamp,open,high,low,close,volume
2024-08-04,7.31,7.3836,6.23,6.2971,694244.0
2024-08-11,6.39,8.63,5.63,8.27,4083731.0
2024-08-18,8.26,10.5,8.16,9.91,2885749.0
2024-08-25,10.1,10.5,9.56,9.86,1274735.0
2024-09-01,9.82,9.82,8.62,9.21,958627.0
2024-09-08,9.0,9.0,7.93,8.08,745816.0
2024-09-15,8.15,9.56,8.13,9.33,2107504.0
2024-09-22,9.4,9.57,8.98,9.1017,892402.0
2024-09-29,9.33,9.33,8.58,9.08,676076.0
2024-10-06,8.9,9.1299,8.26,8.39,788640.0
2024-10-13,8.2502,9.81,8.2502,9.62,1177479.0
2024-10-20,9.63,10.21,9.4802,9.82,1099987.0
2024-10-27,9.85,10.946,9.55,10.48,1285250.0
2024-11-03,10.57,11.46,9.645,9.8,1627048.0
2024-11-10,9.75,11.5,8.91,8.95,2529643.0
2024-11-17,8.99,9.1072,7.8111,7.92,2065467.0
2024-11-24,8.0,9.25,7.8,8.4984,1266382.0
2024-12-01,8.5,8.965,7.75,7.94,1694528.0
2024-12-08,7.96,10.135,7.93,9.3001,2130876.0
2024-12-15,9.32,10.0,8.88,9.11,1858144.0
2024-12-22,9.1,19.0,9.09,14.38,18976776.0
2024-12-29,14.38,16.43,12.56,14.96,4924030.0
2025-01-05,15.01,15.2,13.13,14.45,3035772.0
2025-01-12,14.2,16.942,11.33,11.9,5058588.0
2025-01-19,12.51,12.51,10.992,11.71,2877528.0
2025-01-26,11.87,12.3994,10.77,11.3408,1918109.0
2025-02-02,10.86,10.92,9.5,10.31,2923624.0
2025-02-09,10.55,10.79,9.25,9.845,2210605.0
2025-02-16,9.99,10.18,9.1,10.0,2003174.0
2025-02-23,10.01,11.0,9.57,9.953,2309241.0
2025-03-02,9.78,11.066,8.76,9.27,4074451.0
2025-03-09,9.08,9.6099,7.83,8.24,2557952.0
2025-03-16,8.25,8.74,7.34,8.1999,4224105.0
2025-03-23,8.19,8.5732,7.59,7.8343,2373493.0
2025-03-30,8.08,8.45,6.981,7.1,1870918.0
