timestamp,open,high,low,close,volume
2024-08-04,8.04,8.09,7.28,7.49,2363858
2024-08-11,7.12,8.24,7.03,7.3,8608968
2024-08-18,7.29,8.2,7.19,8.15,7990981
2024-08-25,8.12,8.5,7.89,8.5,5020870
2024-09-01,8.47,8.75,8.355,8.61,5766367
2024-09-08,8.46,8.59,7.88,8.0,4463911
2024-09-15,8.05,8.79,7.8,8.79,4976001
2024-09-22,8.38,8.61,8.095,8.38,5574068
2024-09-29,8.3,9.055,8.235,8.99,7524913
2024-10-06,9.02,9.19,8.78,9.05,5327998
2024-10-13,8.98,9.32,8.88,9.2,5744736
2024-10-20,9.22,9.435,9.02,9.34,3743108
2024-10-27,9.34,9.4,9.1,9.14,4007567
2024-11-03,9.22,10.36,9.15,9.86,8095115
2024-11-10,9.79,10.69,9.46,10.53,10263177
2024-11-17,10.65,10.72,9.82,9.87,6080633
2024-11-24,9.89,10.18,9.31,10.1,5067319
2024-12-01,10.15,10.305,9.875,9.94,3746275
2024-12-08,10.0,10.79,9.97,10.47,5364029
2024-12-15,10.33,11.49,10.275,11.05,6811420
2024-12-22,11.44,11.445,9.65,10.2,7677908
2024-12-29,10.18,10.39,10.1,10.18,2080848
2025-01-05,10.01,10.24,9.92,10.12,2910056
2025-01-12,11.14,11.14,9.78,9.91,3759790
2025-01-19,9.78,10.39,8.1,10.21,4420179
2025-01-26,10.13,10.9,10.13,10.49,4995044
2025-02-02,10.14,12.907,9.63,12.15,24014790
2025-02-09,11.87,12.85,11.5,12.42,12455982
2025-02-16,12.45,12.72,12.0,12.15,6462357
2025-02-23,12.2,12.375,11.55,11.55,8812130
2025-03-02,11.63,12.0,10.915,11.18,7343772
2025-03-09,11.3,11.7,10.5,10.94,8566679
2025-03-16,10.75,11.08,10.5101,10.94,5637848
2025-03-23,10.94,11.75,10.87,11.5354,9266516
2025-03-30,11.74,12.055,11.105,11.26,6631977
