datetime,open,high,low,close,volume
2024-08-04,223.8,225.6,212.35,219.25,148231670.0
2024-08-11,206.94,216.78,196.0,216.468,301010752.0
2024-08-18,216.77,226.8271,215.6,225.95,172368090.0
2024-08-25,226.44,228.34,223.04,227.1631,153015381.0
2024-09-01,226.75,232.92,223.3,229.1114,167893112.0
2024-09-08,229.27,229.84,217.48,220.1434,148957002.0
2024-09-15,221.95,224.59,216.71,222.23,202407582.0
2024-09-22,222.2,233.09,213.92,227.76,361676825.0
2024-09-29,228.4,229.52,224.02,227.4982,156975296.0
2024-10-06,227.33,233.56,223.02,226.3745,178109214.0
2024-10-13,224.88,229.75,221.136,227.4,129644379.0
2024-10-20,228.0,237.49,227.12,234.89,174582718.0
2024-10-27,234.8,236.85,227.3,230.86,153845617.0
2024-11-03,232.91,234.73,220.0,222.68,190075785.0
2024-11-10,221.51,223.95,219.71,222.92,51126077.0
2024-12-01,235.37,237.81,233.97,237.4897,24115700.0
2024-12-08,237.1,244.63,236.0,242.3025,152451205.0
2024-12-15,242.69,250.8,241.57,248.0,146620093.0
2024-12-22,248.23,255.57,245.69,255.35,221428767.0
2024-12-29,255.55,260.1,253.06,254.77,105293064.0
2025-01-05,255.02,255.24,241.8201,243.3908,135905708.0
2025-01-12,243.89,247.33,233.0,237.02,137427255.0
2025-01-19,235.0,241.41,227.7,229.499,211008574.0
2025-01-26,227.33,228.27,219.05,222.17,220833266.0
2025-02-02,219.9,248.35,218.06,233.92,303620973.0
2025-02-09,232.79,235.41,225.02,227.25,184593578.0
2025-02-16,228.5,245.55,226.0,244.65,177774281.0
2025-02-23,245.05,248.69,241.84,245.0,129201754.0
2025-03-02,245.39,250.0,230.2,241.8981,189368626.0
2025-03-09,241.62,244.0272,229.23,238.65,193987676.0
2025-03-16,237.49,238.473,217.45,220.4,124190485.0
