datetime,open,high,low,close,volume
2024-08-04,32.86,32.86,28.0,29.17,4510867
2024-08-11,28.11,31.99,25.9499,31.75,8324191
2024-08-18,31.57,33.08,31.08,32.1105,5158433
2024-08-25,32.56,33.85,31.85,33.39,4111672
2024-09-01,33.5,34.0,31.97,32.92,4000308
2024-09-08,32.44,32.9,28.4,28.61,5002690
2024-09-15,28.83,30.82,28.17,30.66,4156013
2024-09-22,30.1,32.2,29.59,32.0874,7373031
2024-09-29,31.72,32.468,30.21,30.89,5648039
2024-10-06,30.56,31.08,29.0,30.54,5125252
2024-10-13,30.39,31.07,29.66,30.91,4372616
2024-10-20,31.02,31.77,29.95,30.53,4590969
2024-10-27,30.43,30.99,29.07,30.0,3963167
2024-11-03,30.16,31.18,23.26,26.0,13004774
2024-11-10,26.0,28.43,25.8,27.36,5294369
2024-11-17,27.36,27.36,25.02,25.19,4023263
2024-11-24,25.3,26.64,24.9131,26.54,3429776
2024-12-01,26.54,27.35,25.53,26.44,3277766
2024-12-08,26.53,27.46,25.83,26.28,4568958
2024-12-15,26.35,27.28,26.0001,26.54,4553028
2024-12-22,26.71,27.47,24.51,25.88,5482356
2024-12-29,25.48,26.67,25.45,26.44,1904037
2025-01-05,26.06,26.71,25.36,26.48,2831803
2025-01-12,26.82,27.5,25.27,26.0,2768267
2025-01-19,25.16,26.42,24.95,25.998,5300772
2025-01-26,26.11,27.7,25.52,25.7,5246397
2025-02-02,24.79,25.38,23.36,24.61,6924575
2025-02-09,24.04,26.45,23.33,24.45,4688923
2025-02-16,24.52,25.42,21.19,22.75,13709699
2025-02-23,22.55,23.51,22.1,22.11,4985950
2025-03-02,22.37,23.0,20.56,21.01,7624355
2025-03-09,21.18,22.47,19.6501,20.922,11040972
2025-03-16,20.45,20.54,18.87,19.61,7956912
2025-03-23,19.58,19.94,18.925,19.3945,9763964
2025-03-30,19.74,20.155,18.1,18.25,9959947
