datetime,open,high,low,close,volume
2024-08-04,88.25,91.0375,77.85,79.835,25431320.0
2024-08-11,74.7475,85.1225,72.2875,83.83,32678232.0
2024-08-18,84.4,89.7025,83.845,88.4725,22249340.0
2024-08-25,88.25,89.75,85.69,88.85,18569308.0
2024-09-01,89.0275,89.9375,83.25,88.25,22157088.0
2024-09-08,88.625,88.625,78.255,78.5775,27446196.0
2024-09-15,79.2525,91.0071,79.2525,89.63,26893324.0
2024-09-22,89.5,96.375,87.8675,96.115,22951028.0
2024-09-29,95.2075,98.963,94.0875,95.1875,20036152.0
2024-10-06,94.745,99.516,94.0,98.8275,17710532.0
2024-10-13,98.25,104.4275,97.5575,104.2325,26611744.0
2024-10-20,104.75,105.6825,95.5775,100.53,34611564.0
2024-10-27,100.375,102.0675,97.875,98.5225,25207764.0
2024-11-03,99.6225,101.0675,95.47,99.0,21830376.0
2024-11-10,99.25,118.21,96.25,100.05,50300192.0
2024-11-17,100.75,102.07,93.06,93.9,49537224.0
2024-11-24,94.9225,102.0,91.753,101.8625,43425844.0
2024-12-01,101.9975,103.475,98.545,101.455,25435872.0
2024-12-08,101.75,110.74,101.455,108.35,25133509.0
2024-12-15,108.93,112.77,103.66,112.7318,24769439.0
2024-12-22,112.7,117.0,106.0101,113.41,26920088.0
2024-12-29,114.67,115.07,111.51,112.3,9837265.0
2025-01-05,113.05,115.5,109.57,115.25,12037165.0
2025-01-12,117.33,120.28,112.65,114.18,20741961.0
2025-01-19,112.5,120.98,109.0924,119.95,22813588.0
2025-01-26,120.94,134.5,119.34,129.37,22527649.0
2025-02-02,124.2,124.2,97.6801,114.4,82947018.0
2025-02-09,110.0,120.32,106.77,117.5,32141366.0
2025-02-16,119.96,121.54,106.32,107.1483,40235919.0
2025-02-23,109.0,115.65,98.17,98.7399,64296364.0
2025-03-02,98.99,100.44,89.35,93.4,68569315.0
2025-03-09,93.9,94.8368,80.21,82.9185,57891642.0
2025-03-16,82.58,84.25,76.0,83.86,48170677.0
2025-03-23,83.84,86.2,80.75,83.44,34732075.0
2025-03-30,84.5,88.44,77.07,77.5302,45289220.0
