datetime,open,high,low,close,volume
2024-08-04,64.27,65.4,58.0,59.4,18497537.0
2024-08-11,56.09,62.87,54.75,62.62,42268524.0
2024-08-18,62.75,66.24,62.61,65.8,20360722.0
2024-08-25,65.79,67.9,65.02,67.25,16864544.0
2024-09-01,67.34,67.73,64.98,67.45,17229659.0
2024-09-08,66.79,67.45,57.62,59.85,27659154.0
2024-09-15,60.0,64.33,59.88,63.58,20544342.0
2024-09-22,63.91,66.24,61.83,65.91,17682010.0
2024-09-29,66.38,66.98,64.63,65.02,20959675.0
2024-10-06,64.9,66.43,61.72,62.4,24594760.0
2024-10-13,62.48,65.72,61.95,65.56,20060314.0
2024-10-20,65.91,68.87,65.18,67.5,34994792.0
2024-10-27,67.65,71.2,65.2,69.41,36558530.0
2024-11-03,70.93,70.93,66.84,67.79,23108724.0
2024-11-10,68.59,74.6,67.56,73.92,31073352.0
2024-11-17,74.25,74.7,70.023,70.52,23599132.0
2024-11-24,70.59,74.9115,68.88,74.6,19125624.0
2024-12-01,74.57,75.76,71.88,72.65,18190617.0
2024-12-08,72.73,74.9579,72.19,74.15,18234646.0
2024-12-15,74.05,74.78,72.3,73.99,16563046.0
2024-12-22,73.66,76.0,68.77,70.58,29016629.0
2024-12-29,70.91,72.19,70.115,70.74,8583259.0
2025-01-05,70.71,70.81,68.675,70.25,13189411.0
2025-01-12,70.89,72.7881,69.77,70.22,15683331.0
2025-01-19,70.61,72.35,67.39,69.42,26685596.0
2025-01-26,70.26,79.39,70.2,77.0,31779277.0
2025-02-02,73.68,75.69,65.675,71.0,47278663.0
2025-02-09,69.19,71.14,68.2,69.7,25982704.0
2025-02-16,70.23,71.9999,68.8,68.98,27658748.0
2025-02-23,69.71,70.55,66.78,67.5,22269338.0
2025-03-02,67.84,68.64,64.28,66.6,36902264.0
2025-03-09,66.46,67.24,60.01,62.93,34424449.0
2025-03-16,61.54,63.84,60.68,63.0,33349387.0
2025-03-23,62.89,68.05,62.44,66.66,40218047.0
2025-03-30,66.93,69.82,66.211,68.17,30472024.0
