datetime,open,high,low,close,volume
2024-08-04,4.6,4.79,3.84,4.3281,14880576.0
2024-08-11,3.96,4.44,3.85,4.26,17394872.0
2024-08-18,4.47,4.86,4.07,4.78,21833227.0
2024-08-25,4.79,5.22,4.66,5.17,22443234.0
2024-09-01,5.2,5.9199,5.09,5.1303,33498977.0
2024-09-08,5.13,5.4,5.04,5.15,17234356.0
2024-09-15,5.24,6.425,5.2,6.314,34215664.0
2024-09-22,6.44,6.78,6.14,6.25,29086437.0
2024-09-29,6.2,6.65,6.06,6.27,21216561.0
2024-10-06,6.21,6.39,5.9,6.02,16672437.0
2024-10-13,6.0,6.0025,5.485,5.89,13713190.0
2024-10-20,5.92,6.1255,5.675,5.78,10872578.0
2024-10-27,5.75,5.88,5.35,5.64,14340728.0
2024-11-03,5.63,6.65,5.36,6.3,29400650.0
2024-11-10,6.42,7.48,6.21,6.73,25778402.0
2024-11-17,6.7,6.98,6.2901,6.2901,16887657.0
2024-11-24,6.4988,6.94,6.05,6.86,16736959.0
2024-12-01,6.94,7.36,6.8241,7.0,14161576.0
2024-12-08,7.15,7.69,6.86,7.1499,17066923.0
2024-12-15,7.08,7.16,6.7,6.78,13007501.0
2024-12-22,6.81,6.8882,5.66,6.25,22485576.0
2024-12-29,6.28,6.3,5.64,5.85,9964727.0
2025-01-05,5.86,5.96,5.685,5.88,13265785.0
2025-01-12,5.99,5.99,5.25,5.32,18231858.0
2025-01-19,5.3,6.92,5.1,6.7605,33378004.0
2025-01-26,6.76,7.07,6.66,6.9988,17177384.0
2025-02-02,6.9,7.69,6.7,7.28,24580357.0
2025-02-09,7.28,7.67,6.89,7.4501,22257498.0
2025-02-16,7.57,7.95,7.0468,7.94,26203411.0
2025-02-23,7.96,10.25,7.76,8.9825,57511654.0
2025-03-02,9.22,9.79,8.725,8.8501,30392581.0
2025-03-09,9.17,9.365,8.12,8.48,25656676.0
2025-03-16,8.58,9.17,8.29,8.8,29399754.0
2025-03-23,8.77,9.45,8.56,9.3999,25072236.0
2025-03-30,9.67,9.71,9.0,9.15,28751854.0
