datetime,open,high,low,close,volume
2024-08-04,114.56,115.52,99.93,102.3,19051577.0
2024-08-11,92.5,102.03,86.86,92.84,66424973.0
2024-08-18,93.18,112.44,91.835,111.1,63639230.0
2024-08-25,111.47,114.02,108.38,112.3,32411180.0
2024-09-01,112.66,120.4,104.7816,115.6,76735689.0
2024-09-08,116.06,116.69,100.35,107.09,41167028.0
2024-09-15,108.3,114.65,105.1,114.3,52646135.0
2024-09-22,114.4,120.69,111.8055,116.8085,62879416.0
2024-09-29,117.46,127.0,116.0,120.214,45334724.0
2024-10-06,120.26,120.84,111.0,120.4,35823826.0
2024-10-13,120.4,128.3,118.18,127.62,27688899.0
2024-10-20,127.96,131.6,124.8,126.868,24205759.0
2024-10-27,126.48,126.98,117.82,122.39,20993392.0
2024-11-03,122.75,133.9699,119.0,131.4,41633582.0
2024-11-10,131.16,139.6,129.0,134.5,36391871.0
2024-11-17,130.95,141.33,130.75,131.95,23156210.0
2024-11-24,134.5,145.7,130.0,145.45,28050912.0
2024-12-01,146.77,148.2,121.3,127.33,77078453.0
2024-12-08,126.67,129.65,122.75,123.2301,40720475.0
2024-12-15,123.31,124.2,115.6,118.5,37448992.0
2024-12-22,118.51,122.09,108.39,116.2,31636279.0
2024-12-29,116.52,119.88,115.77,117.3,13555620.0
2025-01-05,117.03,120.82,112.6207,120.3,17063002.0
2025-01-12,120.56,126.71,114.5,114.75,25154560.0
2025-01-19,114.0,115.0,106.69,109.85,38008331.0
2025-01-26,110.88,120.965,107.91,113.53,30307180.0
2025-02-02,108.7,110.56,100.0388,103.4,51951145.0
2025-02-09,99.64,109.35,98.365,106.26,37124239.0
2025-02-16,107.12,117.16,106.97,114.55,39638767.0
2025-02-23,115.81,122.26,115.0,117.5,28842484.0
2025-03-02,117.89,119.25,98.8,103.18,54379446.0
2025-03-09,103.6,103.99,88.3301,91.3985,46858898.0
2025-03-16,90.75,97.2987,88.5756,95.5,29611233.0
2025-03-23,95.47,101.42,94.77,98.0,23760519.0
2025-03-30,99.2,101.52,91.51,92.0,28006744.0
