datetime,open,high,low,close,volume
2024-08-04,310.0,312.0,276.01,280.76,9068544
2024-08-11,267.3,292.17,255.65,291.64,13191578
2024-08-18,292.94,304.77,285.53,294.7363,9861141
2024-08-25,295.0,303.4,293.19,300.0,6906145
2024-09-01,300.0,307.65,292.0,306.93,7951170
2024-09-08,305.01,305.63,281.34,284.97,8008385
2024-09-15,289.21,310.465,284.455,305.8,8988707
2024-09-22,307.25,331.42,301.475,330.6,10685097
2024-09-29,331.89,336.3,325.61,328.7,7599724
2024-10-06,326.69,333.31,323.9012,333.05,4828981
2024-10-13,330.91,341.98,329.5666,341.39,4632507
2024-10-20,343.0,349.74,337.47,348.18,5566094
2024-10-27,346.5,348.73,338.63,344.49,5151514
2024-11-03,346.5,348.62,321.39,335.0,10527454
2024-11-10,336.0,369.29,330.81,366.67,9908793
2024-11-17,369.46,373.4899,355.3761,358.99,7540510
2024-11-24,359.0,378.0,353.4205,377.41,6801648
2024-12-01,381.1,381.1,371.01,375.42,6235492
2024-12-08,377.9,380.528,368.6201,371.22,5480431
2024-12-15,370.0,376.76,353.33,356.19,7260475
2024-12-22,357.25,357.5,332.12,338.12,9162417
2024-12-29,339.01,341.83,331.2801,334.63,3366445
2025-01-05,335.01,343.45,327.54,342.58,4956738
2025-01-12,348.0,353.4,335.9084,341.45,6482072
2025-01-19,336.98,349.92,333.88,346.28,11368392
2025-01-26,349.03,378.0,346.89,372.0845,9306577
2025-02-02,356.0,356.0,298.29,326.44,31205358
2025-02-09,313.72,323.68,311.1239,312.55,12575067
2025-02-16,313.0,320.15,304.07,309.0,12049455
2025-02-23,309.4,316.585,295.02,299.6,10490753
2025-03-02,298.3,301.96,282.43,292.85,21649677
2025-03-09,295.51,296.72,267.52,285.6818,20074695
2025-03-16,271.96,300.04,271.96,293.0,20093554
2025-03-23,290.02,300.76,288.365,295.79,12288601
2025-03-30,299.37,304.94,271.65,274.17,15301985
