datetime,open,high,low,close,volume
2024-08-04,14.3,14.4,12.805,13.07,2905048
2024-08-11,12.73,14.4,12.2,13.48,9148640
2024-08-18,13.6,15.09,13.275,14.52,5630847
2024-08-25,14.48,15.205,14.31,14.5985,5242931
2024-09-01,15.15,16.06,14.785,15.75,4663394
2024-09-08,15.75,15.75,13.55,13.55,3171552
2024-09-15,13.66,15.14,12.99,14.85,5935188
2024-09-22,14.85,15.92,14.11,15.3216,5023859
2024-09-29,14.6178,15.46,14.6178,15.1,3254858
2024-10-06,14.95,15.16,14.58,14.94,2766026
2024-10-13,15.57,15.67,14.56,15.05,2944462
2024-10-20,15.32,15.345,14.72,15.06,3211941
2024-10-27,15.03,15.19,14.315,14.35,2341214
2024-11-03,14.49,17.34,14.14,15.09,9098260
2024-11-10,15.0,17.018,14.97,16.76,6887381
2024-11-17,16.82,17.23,15.5405,15.61,3735124
2024-11-24,15.6,16.2861,15.08,16.09,3277940
2024-12-01,15.99,17.37,15.99,16.6,3438396
2024-12-08,16.61,18.51,16.44,17.5,4112276
2024-12-15,17.28,18.45,17.1,17.8428,2973241
2024-12-22,18.18,19.24,17.24,17.7,3618316
2024-12-29,17.68,17.89,16.95,17.09,1393842
2025-01-05,16.95,17.01,16.395,16.68,1693848
2025-01-12,16.94,17.75,16.6,16.6,2578788
2025-01-19,16.532,17.73,16.47,17.32,2236551
2025-01-26,17.32,17.96,16.95,17.0,2180190
2025-02-02,17.6,17.6,15.05,15.93,7576392
2025-02-09,17.41,17.41,15.05,15.39,4161365
2025-02-16,15.5,16.54,14.7,16.38,3472036
2025-02-23,16.53,17.65,15.12,15.12,3936112
2025-03-02,15.24,15.62,14.86,15.45,4001480
2025-03-09,15.5,15.97,14.15,14.85,5350242
2025-03-16,14.0,14.9,13.76,14.53,4243351
2025-03-23,15.3,15.33,14.46,14.89,3157889
2025-03-30,15.3,15.4,13.89,13.9,2909891
