datetime,open,high,low,close,volume
2024-08-04,45.33,45.44,41.63,41.91,26233479.0
2024-08-11,41.0,42.04,39.02,41.0,62862039.0
2024-08-18,41.55,44.075,41.1,43.4,40582778.0
2024-08-25,43.58,44.82,43.01,44.762,37856637.0
2024-09-01,44.84,46.01,43.475,44.23,34599781.0
2024-09-08,43.27,44.28,39.73,39.7413,42667284.0
2024-09-15,40.37,43.04,39.335,42.522,46126700.0
2024-09-22,42.7,45.85,42.51,44.5,49503743.0
2024-09-29,45.01,52.61,44.0,51.47,88057335.0
2024-10-06,51.88,52.7,49.28,50.83,45654859.0
2024-10-13,50.27,51.2,47.71,49.7675,36123008.0
2024-10-20,50.0,50.0,47.09,48.17,40500928.0
2024-10-27,48.72,50.12,46.515,46.71,43490075.0
2024-11-03,46.7,47.56,44.715,45.76,33963132.0
2024-11-10,45.7,49.21,44.4,46.1516,46802041.0
2024-11-17,46.64,46.64,42.0,42.73,57125156.0
2024-11-24,42.77,44.38,42.555,43.9644,41036043.0
2024-12-01,44.44,44.61,43.12,44.2,36392051.0
2024-12-08,44.04,44.83,42.03,42.15,49565525.0
2024-12-15,43.0,44.75,41.1,41.55,45885427.0
2024-12-22,41.61,41.68,37.64,39.2,54417400.0
2024-12-29,38.98,39.44,38.555,38.751,22376644.0
2025-01-05,38.91,39.0,37.185,37.8,31163797.0
2025-01-12,37.71,40.79,37.7,38.9,47391708.0
2025-01-19,38.61,40.81,38.5,40.46,46124835.0
2025-01-26,40.73,40.94,36.46,37.76,69348460.0
2025-02-02,37.35,37.4,35.46,35.9,61465741.0
2025-02-09,35.27,39.19,34.69,38.3,67403408.0
2025-02-16,38.56,41.0,37.19,39.52,67099980.0
2025-02-23,39.34,39.78,36.835,36.9,38694511.0
2025-03-02,37.23,39.11,36.02,36.9017,54422499.0
2025-03-09,37.16,39.01,34.262,36.8001,88119587.0
2025-03-16,36.33,38.95,33.98,38.79,78120093.0
2025-03-23,38.8,41.53,38.61,40.31,73032898.0
2025-03-30,40.99,44.39,38.25,38.3,84962996.0
