datetime,open,high,low,close,volume
2024-08-04,40.58,40.58,38.53,39.83,13248591.0
2024-08-11,37.79,38.93,37.07,38.1062,21337399.0
2024-08-18,38.6,40.56,38.4083,40.11,17251987.0
2024-08-25,40.21,42.35,39.995,41.75,13997230.0
2024-09-01,42.04,42.73,41.09,41.29,14643041.0
2024-09-08,41.63,42.15,40.309,40.309,13853548.0
2024-09-15,40.8,42.6966,40.29,42.51,14244158.0
2024-09-22,42.51,45.25,42.17,44.7,21374831.0
2024-09-29,44.61,45.6,44.2087,44.92,15085119.0
2024-10-06,44.58,45.2307,44.29,44.79,9987969.0
2024-10-13,44.73,47.45,44.02,46.378,23976082.0
2024-10-20,46.37,47.23,45.61,46.76,12815606.0
2024-10-27,46.58,47.72,46.19,46.25,16485868.0
2024-11-03,46.56,51.92,46.38,48.36,36000105.0
2024-11-10,48.54,49.1488,46.62,48.73,17649922.0
2024-11-17,48.72,49.4,46.31,46.5,16795490.0
2024-11-24,46.62,48.6,45.83,48.52,14606409.0
2024-12-01,48.94,49.26,47.79,48.55,13695127.0
2024-12-08,48.23,50.0,48.23,49.56,13593196.0
2024-12-15,49.58,49.7689,47.38,48.18,15749175.0
2024-12-22,48.2,49.05,46.04,47.3,17614562.0
2024-12-29,47.3,48.07,46.9039,47.78,6950832.0
2025-01-05,47.79,47.93,46.37,47.59,9836609.0
2025-01-12,47.94,48.73,46.91,47.01,10038898.0
2025-01-19,46.87,50.32,46.19,49.89,16331043.0
2025-01-26,50.25,54.53,49.86,54.01,23757696.0
2025-02-02,53.23,55.74,48.57,52.01,50453933.0
2025-02-09,51.09,54.31,50.17,52.81,22291174.0
2025-02-16,53.35,54.29,51.53,52.54,15307830.0
2025-02-23,52.81,53.18,51.0,51.06,12279289.0
2025-03-02,51.62,51.98,48.32,50.25,23335634.0
2025-03-09,50.15,50.8,44.1,46.22,26357831.0
2025-03-16,45.44,47.08,44.0,46.55,27783315.0
2025-03-23,46.68,50.0183,45.78,48.05,32541483.0
2025-03-30,48.72,50.369,45.555,45.817,20076860.0
